time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4741,0.3126,0.2747,0.3377,anxious,0.44,0.0
0.008333,N1,0.5123,0.2908,0.2583,0.3538,anxious,0.435,0.0
0.016667,N1,0.5255,0.2956,0.3217,0.3736,melancholic,0.365,0.0
0.025,N1,0.5137,0.2909,0.2865,0.3518,fearful,0.482,0.0
0.033333,N1,0.4821,0.3091,0.3203,0.3563,neutral,0.394,0.0
0.041667,N1,0.4759,0.3208,0.2944,0.3584,anxious,0.453,0.0
0.05,N1,0.4762,0.2947,0.3106,0.3653,fearful,0.368,0.0
0.058333,N1,0.5269,0.312,0.2748,0.3406,anxious,0.456,0.0
0.066667,N2,0.4846,0.2864,0.3178,0.3591,anxious,0.472,0.0
0.075,N2,0.4519,0.2915,0.2464,0.3716,anxious,0.527,0.0
0.083333,N2,0.4488,0.2567,0.2831,0.3506,serene,0.479,0.0
0.091667,N2,0.449,0.2894,0.2952,0.3421,anxious,0.481,0.0
0.1,N2,0.4478,0.2527,0.291,0.3491,anxious,0.43,0.0
0.108333,N2,0.442,0.3186,0.313,0.3211,fearful,0.421,0.0
0.116667,N2,0.4609,0.2417,0.2763,0.3396,serene,0.478,0.0
0.125,N2,0.4511,0.2818,0.3107,0.3606,anxious,0.445,0.0
0.133333,N2,0.4824,0.2702,0.3031,0.3419,fearful,0.488,0.0
0.141667,N2,0.4645,0.2825,0.2559,0.3205,fearful,0.496,0.0
0.15,N2,0.4377,0.2781,0.2872,0.3376,curious,0.406,0.0
0.158333,N2,0.4574,0.3146,0.2605,0.3281,melancholic,0.469,0.0
0.166667,N2,0.4689,0.3038,0.2688,0.3251,neutral,0.506,0.0
0.175,N2,0.468,0.3134,0.2905,0.3526,joyful,0.525,0.0
0.183333,N2,0.4531,0.2651,0.2661,0.3256,neutral,0.465,0.0
0.191667,N2,0.3988,0.2896,0.2972,0.3255,anxious,0.442,0.0
0.2,N2,0.4302,0.2789,0.3068,0.3613,anxious,0.45,0.0
0.208333,N2,0.4452,0.2233,0.2901,0.3104,curious,0.479,0.0
0.216667,N2,0.4605,0.286,0.2726,0.3,serene,0.486,0.0
0.225,N2,0.4479,0.2794,0.2776,0.3292,anxious,0.445,0.0
0.233333,N2,0.4197,0.2985,0.2784,0.3052,melancholic,0.434,0.0
0.241667,N2,0.4361,0.3045,0.2396,0.3166,fearful,0.505,0.0
0.25,N2,0.4456,0.274,0.2779,0.2988,anxious,0.442,0.0
0.258333,N2,0.4152,0.2864,0.2694,0.3349,melancholic,0.478,0.0
0.266667,N2,0.4439,0.3269,0.2675,0.3307,anxious,0.47,0.0
0.275,N2,0.4544,0.3037,0.2882,0.3378,melancholic,0.449,0.0
0.283333,N2,0.46,0.2575,0.2812,0.3559,curious,0.416,0.0
0.291667,N2,0.4578,0.2962,0.2923,0.309,anxious,0.491,0.0
0.3,N2,0.4402,0.2739,0.3131,0.314,neutral,0.485,0.0
0.308333,N2,0.4411,0.2444,0.2836,0.2964,neutral,0.462,0.0
0.316667,N2,0.4347,0.278,0.2871,0.3266,curious,0.547,0.0
0.325,N2,0.494,0.2941,0.3142,0.2917,anxious,0.546,0.0
0.333333,N2,0.4583,0.2428,0.2715,0.3136,melancholic,0.463,0.0
0.341667,N2,0.4667,0.2517,0.2818,0.2974,anxious,0.513,0.0
0.35,N2,0.4654,0.2651,0.287,0.3287,anxious,0.498,0.0
0.358333,N2,0.4637,0.2616,0.3002,0.3155,fearful,0.547,0.0
0.366667,N2,0.4413,0.312,0.2701,0.3009,anxious,0.498,0.0
0.375,N2,0.4519,0.2974,0.332,0.318,anxious,0.467,0.0
0.383333,N3,0.3025,0.2455,0.2056,0.2983,fearful,0.35,0.0
0.391667,N3,0.3242,0.2075,0.2202,0.3291,anxious,0.35,0.0
0.4,N3,0.3222,0.1901,0.2055,0.3436,anxious,0.35,0.0
