time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5219,0.3045,0.3365,0.3401,curious,0.355,0.0
0.083333,N2,0.4898,0.2776,0.275,0.3269,curious,0.455,0.0
0.166667,N2,0.4484,0.2542,0.2769,0.33,joyful,0.403,0.0
0.25,N2,0.4784,0.2708,0.2744,0.3119,neutral,0.385,0.0
0.333333,N3,0.3178,0.1906,0.1994,0.3187,neutral,0.35,0.0
0.416667,N3,0.3229,0.1899,0.1884,0.3004,neutral,0.35,0.0
0.5,N3,0.314,0.2237,0.2015,0.3226,melancholic,0.35,0.0
0.583333,N3,0.2835,0.1809,0.2113,0.3009,anxious,0.35,0.0
0.666667,N3,0.2767,0.1896,0.1955,0.299,joyful,0.35,0.0
0.75,N3,0.2823,0.1977,0.2341,0.3323,anxious,0.35,0.0
0.833333,N3,0.2946,0.2064,0.2201,0.2801,serene,0.35,0.0
0.916667,N2,0.4424,0.2884,0.2771,0.2763,neutral,0.393,0.0
