time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.492,0.3776,0.336,0.3474,anxious,0.394,0.0
0.008333,N1,0.5094,0.3584,0.2865,0.3513,curious,0.47,0.0
0.016667,N1,0.4977,0.352,0.276,0.3415,serene,0.401,0.0
0.025,N1,0.5049,0.3527,0.2978,0.3645,melancholic,0.444,0.0
0.033333,N1,0.5023,0.3498,0.3006,0.3521,neutral,0.401,0.0
0.041667,N1,0.5095,0.3331,0.3186,0.3246,joyful,0.453,0.0
0.05,N1,0.4648,0.3852,0.2759,0.3745,melancholic,0.41,0.0
0.058333,N1,0.5149,0.3711,0.3139,0.3377,neutral,0.399,0.0
0.066667,N1,0.4979,0.3462,0.3403,0.3752,joyful,0.436,0.0
0.075,N1,0.5119,0.348,0.3251,0.3058,anxious,0.412,0.0
0.083333,N2,0.4503,0.3393,0.2673,0.3455,fearful,0.455,0.0
0.091667,N2,0.4803,0.3049,0.2644,0.3765,joyful,0.506,0.0
0.1,N2,0.4773,0.3543,0.2362,0.3208,neutral,0.504,0.0
0.108333,N2,0.4662,0.3467,0.2405,0.3199,anxious,0.517,0.0
0.116667,N2,0.445,0.3262,0.2983,0.3327,neutral,0.43,0.0
0.125,N2,0.4278,0.3384,0.2723,0.3368,curious,0.431,0.0
0.133333,N2,0.4372,0.3276,0.2467,0.3713,anxious,0.46,0.0
0.141667,N2,0.4791,0.3294,0.2471,0.3126,fearful,0.482,0.0
0.15,N2,0.46,0.3359,0.3046,0.369,joyful,0.48,0.0
0.158333,N2,0.4698,0.3116,0.2708,0.3317,fearful,0.424,0.0
0.166667,N2,0.4362,0.3349,0.2844,0.3296,melancholic,0.452,0.0
0.175,N2,0.4519,0.3657,0.2967,0.3793,joyful,0.449,0.0
0.183333,N2,0.4535,0.3445,0.2494,0.3695,curious,0.521,0.0
0.191667,N2,0.4563,0.3234,0.2918,0.3354,anxious,0.495,0.0
0.2,N2,0.4648,0.3221,0.3122,0.3452,joyful,0.431,0.0
0.208333,N2,0.4613,0.3468,0.2977,0.3493,anxious,0.401,0.0
0.216667,N2,0.4337,0.3141,0.2795,0.3456,melancholic,0.471,0.0
0.225,N2,0.4775,0.3589,0.2672,0.3022,anxious,0.494,0.0
0.233333,N2,0.4665,0.3691,0.268,0.3133,joyful,0.469,0.0
0.241667,N2,0.4636,0.3102,0.2747,0.3252,neutral,0.482,0.0
0.25,N2,0.4428,0.2807,0.2998,0.3477,anxious,0.375,0.0
0.258333,N2,0.4648,0.3419,0.267,0.33,melancholic,0.432,0.0
0.266667,N2,0.4305,0.3109,0.2938,0.317,fearful,0.46,0.0
0.275,N2,0.4368,0.3437,0.2807,0.3481,anxious,0.445,0.0
0.283333,N2,0.4726,0.3231,0.2568,0.338,melancholic,0.509,0.0
0.291667,N2,0.4445,0.3244,0.2956,0.3329,anxious,0.494,0.0
0.3,N2,0.4411,0.3547,0.3013,0.3264,anxious,0.449,0.0
0.308333,N2,0.4413,0.3118,0.254,0.3256,fearful,0.477,0.0
0.316667,N2,0.3906,0.3615,0.3053,0.3148,anxious,0.42,0.0
0.325,N2,0.4178,0.327,0.2982,0.3514,melancholic,0.445,0.0
