time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5172,0.3058,0.2886,0.3494,neutral,0.372,0.0
0.083333,N2,0.4675,0.29,0.2874,0.3407,neutral,0.397,0.0
0.166667,N2,0.4532,0.2938,0.2719,0.3021,fearful,0.418,0.0
0.25,N2,0.4358,0.2659,0.2641,0.3478,curious,0.436,0.0
0.333333,N2,0.4655,0.2758,0.2563,0.3262,fearful,0.456,0.0
0.416667,N3,0.3404,0.2252,0.2058,0.3021,neutral,0.35,0.0
0.5,N3,0.2663,0.2245,0.222,0.2994,curious,0.35,0.0
0.583333,N3,0.3137,0.1778,0.1835,0.2991,fearful,0.315,0.0
0.666667,N3,0.3207,0.204,0.1968,0.3092,neutral,0.35,0.0
0.75,N3,0.3153,0.2239,0.2258,0.2858,joyful,0.35,0.0
0.833333,N2,0.439,0.2705,0.28,0.2817,neutral,0.427,0.0
0.916667,N2,0.4516,0.2789,0.2306,0.2725,neutral,0.409,0.0
