time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4971,0.2965,0.2978,0.364,melancholic,0.39,0.0
0.083333,N2,0.4201,0.2979,0.2909,0.3571,anxious,0.43,0.0
0.166667,N2,0.4631,0.2822,0.2652,0.3164,melancholic,0.449,0.0
0.25,N2,0.4762,0.3162,0.2815,0.3242,neutral,0.416,0.0
0.333333,N3,0.3175,0.1952,0.2075,0.3283,melancholic,0.35,0.0
0.416667,N3,0.2777,0.1969,0.1754,0.3359,anxious,0.35,0.0
0.5,N3,0.3133,0.1756,0.2169,0.29,neutral,0.35,0.0
0.583333,N3,0.2941,0.198,0.2079,0.3043,neutral,0.35,0.0
0.666667,N3,0.2875,0.1857,0.1906,0.3067,joyful,0.35,0.0
0.75,N3,0.3467,0.1905,0.1922,0.2884,curious,0.35,0.0
0.833333,N3,0.3285,0.1981,0.1715,0.2727,neutral,0.35,0.0
0.916667,N2,0.4211,0.2971,0.2835,0.2751,fearful,0.448,0.0
