time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.5135
0.0,mem::familiar_face,familiar_face,0.3934
0.0,mem::wonder,wonder,0.389
0.0,mem::dread,dread,0.382
0.0,mem::joy,joy,0.362
0.0,mem::recurring_journey,recurring_journey,0.351
0.0,event::code_review,code review,0.3437
0.0,mem::bright_light,bright_light,0.3344
0.0,mem::falling,falling,0.3324
0.0,mem::being_chased,being_chased,0.3247
0.0,mem::cold_water,cold_water,0.3163
0.0,mem::flying,flying,0.3041
0.833333,mem::dread,dread,0.4406
0.833333,mem::falling,falling,0.4273
0.833333,mem::being_chased,being_chased,0.4251
0.833333,mem::cold_water,cold_water,0.4229
0.833333,mem::childhood_home,childhood_home,0.3986
0.833333,mem::teeth_loosening,teeth_loosening,0.3923
0.833333,mem::grief,grief,0.3843
0.833333,mem::school_corridor,school_corridor,0.3787
0.833333,mem::being_late,being_late,0.3747
0.833333,mem::loud_crowd,loud_crowd,0.3704
0.833333,event::design_discussion,design discussion,0.3166
0.833333,mem::familiar_face,familiar_face,0.2623
