time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4963,0.3028,0.3025,0.3269,melancholic,0.434,0.0
0.008333,N1,0.5219,0.2872,0.2688,0.3803,neutral,0.409,0.0
0.016667,N1,0.4837,0.2911,0.3015,0.3412,curious,0.443,0.0
0.025,N1,0.5005,0.3013,0.2759,0.3434,neutral,0.463,0.0
0.033333,N1,0.4894,0.2958,0.2507,0.3677,curious,0.511,0.0
0.041667,N1,0.5187,0.3087,0.3042,0.3603,curious,0.458,0.0
0.05,N1,0.5064,0.3517,0.3087,0.3129,joyful,0.386,0.0
0.058333,N1,0.5033,0.2995,0.3067,0.3136,fearful,0.476,0.0
0.066667,N1,0.4781,0.2931,0.299,0.3389,anxious,0.456,0.0
0.075,N1,0.483,0.3002,0.2603,0.3525,anxious,0.435,0.0
0.083333,N2,0.4521,0.2901,0.3021,0.3464,fearful,0.491,0.0
0.091667,N2,0.4323,0.2691,0.2492,0.3509,anxious,0.526,0.0
0.1,N2,0.4527,0.2922,0.3336,0.2911,neutral,0.498,0.0
0.108333,N2,0.4233,0.2999,0.2656,0.3514,anxious,0.533,0.0
0.116667,N2,0.4639,0.2751,0.296,0.3516,anxious,0.471,0.0
0.125,N2,0.4905,0.2646,0.2781,0.3528,neutral,0.497,0.0
0.133333,N2,0.421,0.2964,0.2733,0.3494,neutral,0.474,0.0
0.141667,N2,0.4479,0.2567,0.2639,0.3449,melancholic,0.476,0.0
0.15,N2,0.4804,0.2486,0.2903,0.2995,joyful,0.493,0.0
0.158333,N2,0.4324,0.281,0.2824,0.3791,fearful,0.445,0.0
0.166667,N2,0.4569,0.2721,0.2876,0.3256,anxious,0.493,0.0
0.175,N2,0.4849,0.2921,0.2874,0.3197,joyful,0.5,0.0
0.183333,N2,0.4522,0.2949,0.2448,0.3518,serene,0.5,0.0
0.191667,N2,0.4554,0.2753,0.2602,0.3525,anxious,0.492,0.0
0.2,N2,0.4502,0.3086,0.2792,0.353,melancholic,0.497,0.0
0.208333,N2,0.4675,0.2978,0.2641,0.3475,anxious,0.514,0.0
0.216667,N2,0.4442,0.2851,0.2583,0.3248,fearful,0.502,0.0
0.225,N2,0.4328,0.2926,0.3031,0.3066,neutral,0.427,0.0
0.233333,N2,0.4613,0.2858,0.2862,0.3013,melancholic,0.483,0.0
0.241667,N2,0.447,0.2859,0.2847,0.3174,neutral,0.468,0.0
0.25,N2,0.4462,0.2818,0.2965,0.3159,anxious,0.499,0.0
0.258333,N2,0.4556,0.306,0.2589,0.3219,fearful,0.492,0.0
0.266667,N2,0.4588,0.2582,0.2254,0.3259,anxious,0.55,0.0
0.275,N2,0.4588,0.2744,0.2652,0.3213,anxious,0.556,0.0
0.283333,N2,0.4584,0.2868,0.2836,0.3364,anxious,0.52,0.0
0.291667,N2,0.4641,0.2979,0.2796,0.3721,melancholic,0.479,0.0
0.3,N2,0.468,0.2729,0.2484,0.35,anxious,0.512,0.0
0.308333,N2,0.4443,0.2719,0.2701,0.3103,anxious,0.469,0.0
0.316667,N2,0.4568,0.2552,0.2835,0.323,curious,0.507,0.0
0.325,N2,0.4391,0.3067,0.2363,0.3617,fearful,0.55,0.0
0.333333,N2,0.4719,0.3063,0.2927,0.3135,joyful,0.489,0.0
0.341667,N2,0.4343,0.2833,0.2529,0.3024,anxious,0.505,0.0
0.35,N2,0.4306,0.2698,0.2719,0.326,joyful,0.456,0.0
0.358333,N2,0.4602,0.2635,0.2839,0.3076,neutral,0.511,0.0
0.366667,N2,0.4374,0.2894,0.3113,0.3667,melancholic,0.463,0.0
0.375,N2,0.4633,0.2884,0.2759,0.3358,curious,0.443,0.0
0.383333,N2,0.443,0.3313,0.274,0.3411,anxious,0.547,0.0
0.391667,N2,0.4535,0.2758,0.2741,0.2753,joyful,0.534,0.0
0.4,N2,0.4431,0.2321,0.2633,0.3066,anxious,0.487,0.0
0.408333,N2,0.4695,0.2707,0.2872,0.3238,melancholic,0.513,0.0
0.416667,N2,0.4744,0.2908,0.2734,0.3411,anxious,0.459,0.0
0.425,N2,0.4056,0.2872,0.2988,0.2938,serene,0.486,0.0
0.433333,N2,0.4281,0.2834,0.3059,0.3158,fearful,0.465,0.0
0.441667,N2,0.4724,0.2674,0.2694,0.3047,curious,0.556,0.0
0.45,N2,0.4457,0.2537,0.3027,0.3182,anxious,0.466,0.0
0.458333,N2,0.4652,0.2742,0.2738,0.3,anxious,0.461,0.0
0.466667,N2,0.4682,0.2753,0.2793,0.3069,curious,0.459,0.0
0.475,N2,0.4588,0.2696,0.269,0.3438,melancholic,0.494,0.0
0.483333,N3,0.291,0.1632,0.2194,0.3478,anxious,0.35,0.0
0.491667,N3,0.3076,0.1753,0.2225,0.2961,anxious,0.35,0.0
0.5,N3,0.2948,0.2087,0.1637,0.2804,anxious,0.35,0.0
0.508333,N3,0.2985,0.1768,0.2493,0.3043,fearful,0.35,0.0
0.516667,N3,0.2971,0.1681,0.189,0.3,melancholic,0.35,0.0
0.525,N3,0.3076,0.2179,0.1885,0.2652,neutral,0.35,0.0
0.533333,N3,0.2871,0.179,0.1957,0.301,joyful,0.35,0.0
0.541667,N3,0.2994,0.1743,0.2035,0.3028,curious,0.35,0.0
0.55,N3,0.3207,0.2095,0.2109,0.3203,joyful,0.35,0.0
0.558333,N3,0.2762,0.1987,0.2275,0.2745,neutral,0.35,0.0
0.566667,N3,0.3129,0.1934,0.2053,0.3333,curious,0.35,0.0
0.575,N3,0.3236,0.174,0.1945,0.313,fearful,0.35,0.0
0.583333,N3,0.3168,0.1775,0.2001,0.2961,anxious,0.35,0.0
0.591667,N3,0.2881,0.2041,0.1849,0.3202,serene,0.35,0.0
0.6,N3,0.3266,0.189,0.1909,0.3198,anxious,0.35,0.0
0.608333,N3,0.306,0.2208,0.2108,0.2921,anxious,0.35,0.0
0.616667,N3,0.294,0.2131,0.223,0.2765,fearful,0.35,0.0
0.625,N3,0.3027,0.215,0.1975,0.2865,curious,0.35,0.0
0.633333,N3,0.3197,0.2271,0.2233,0.3071,fearful,0.35,0.0
0.641667,N3,0.311,0.2028,0.1638,0.3071,melancholic,0.35,0.0
0.65,N3,0.3032,0.195,0.192,0.2845,joyful,0.35,0.0
0.658333,N3,0.3223,0.2062,0.1829,0.3028,joyful,0.35,0.0
0.666667,N3,0.2666,0.1897,0.1899,0.3067,curious,0.35,0.0
0.675,N3,0.2993,0.2335,0.1958,0.2863,curious,0.35,0.0
0.683333,N3,0.3121,0.2063,0.2149,0.3066,anxious,0.35,0.0
0.691667,N3,0.3232,0.199,0.2196,0.3166,anxious,0.35,0.0
0.7,N3,0.3184,0.2186,0.2084,0.2937,anxious,0.35,0.0
0.708333,N3,0.2918,0.1384,0.224,0.3076,serene,0.35,0.0
0.716667,N3,0.3031,0.208,0.2068,0.2752,fearful,0.35,0.0
0.725,N3,0.301,0.2041,0.192,0.3064,curious,0.35,0.0
0.733333,N3,0.3238,0.2095,0.2014,0.2733,fearful,0.35,0.0
0.741667,N3,0.2945,0.2402,0.2221,0.286,anxious,0.35,0.0
0.75,N3,0.2854,0.2135,0.2035,0.2412,curious,0.35,0.0
0.758333,N3,0.3294,0.1952,0.1816,0.2996,fearful,0.35,0.0
0.766667,N3,0.293,0.19,0.2169,0.2839,anxious,0.35,0.0
0.775,N3,0.2976,0.206,0.2067,0.2708,anxious,0.35,0.0
