time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5518,0.299,0.2816,0.3365,melancholic,0.455,0.0
0.008333,N1,0.4859,0.3018,0.3175,0.3386,melancholic,0.471,0.0
0.016667,N1,0.4784,0.3173,0.2965,0.3547,anxious,0.455,0.0
0.025,N1,0.4965,0.3165,0.2955,0.3887,anxious,0.489,0.0
0.033333,N1,0.4956,0.3101,0.314,0.3487,anxious,0.446,0.0
0.041667,N1,0.4811,0.2694,0.2701,0.3393,anxious,0.5,0.0
0.05,N1,0.4954,0.3047,0.3277,0.3128,anxious,0.49,0.0
0.058333,N1,0.506,0.2769,0.2693,0.3496,anxious,0.447,0.0
0.066667,N1,0.4883,0.2728,0.2979,0.3542,melancholic,0.456,0.0
0.075,N1,0.5199,0.2858,0.2802,0.3424,serene,0.5,0.0
0.083333,N1,0.4729,0.2784,0.3519,0.3499,fearful,0.459,0.0
0.091667,N1,0.4957,0.3055,0.2919,0.352,curious,0.481,0.0
0.1,N2,0.4866,0.2636,0.2842,0.3351,anxious,0.45,0.0
0.108333,N2,0.4467,0.2863,0.25,0.3792,serene,0.45,0.0
0.116667,N2,0.4679,0.281,0.2578,0.3118,anxious,0.45,0.0
0.125,N2,0.4121,0.2231,0.2575,0.3698,joyful,0.45,0.0
0.133333,N2,0.4364,0.2585,0.2785,0.3365,fearful,0.45,0.0
0.141667,N2,0.4337,0.2702,0.2935,0.3758,neutral,0.45,0.0
0.15,N2,0.4665,0.3031,0.2821,0.3831,anxious,0.45,0.0
0.158333,N2,0.4582,0.2887,0.2523,0.3648,anxious,0.45,0.0
0.166667,N2,0.4523,0.2853,0.2772,0.3181,anxious,0.45,0.0
0.175,N2,0.4388,0.2758,0.3044,0.3217,anxious,0.45,0.0
0.183333,N2,0.4613,0.2673,0.2851,0.3075,fearful,0.45,0.0
0.191667,N2,0.4336,0.2834,0.2959,0.3201,anxious,0.45,0.0
0.2,N2,0.453,0.3085,0.2817,0.338,neutral,0.45,0.0
0.208333,N2,0.4393,0.2667,0.2971,0.3298,anxious,0.45,0.0
0.216667,N2,0.4237,0.2597,0.3013,0.36,anxious,0.45,0.0
0.225,N2,0.458,0.265,0.2687,0.3496,anxious,0.45,0.0
0.233333,N2,0.469,0.2654,0.2614,0.3222,curious,0.45,0.0
0.241667,N2,0.4305,0.26,0.2933,0.3256,anxious,0.45,0.0
0.25,N2,0.4352,0.2444,0.2517,0.3508,serene,0.45,0.0
0.258333,N2,0.4589,0.2869,0.2889,0.3485,anxious,0.45,0.0
0.266667,N2,0.4447,0.2748,0.2975,0.3271,melancholic,0.45,0.0
0.275,N2,0.4724,0.302,0.2848,0.3499,anxious,0.45,0.0
0.283333,N2,0.4482,0.292,0.2796,0.3247,anxious,0.45,0.0
0.291667,N2,0.4485,0.2838,0.2813,0.317,anxious,0.45,0.0
0.3,N2,0.4571,0.2544,0.2682,0.3347,fearful,0.45,0.0
0.308333,N2,0.4492,0.3314,0.2947,0.3361,fearful,0.45,0.0
0.316667,N2,0.4383,0.2594,0.2875,0.3282,fearful,0.45,0.0
0.325,N2,0.4208,0.2521,0.24,0.3446,anxious,0.45,0.0
0.333333,N2,0.4349,0.2759,0.296,0.308,anxious,0.45,0.0
0.341667,N2,0.4395,0.2448,0.2766,0.3503,anxious,0.45,0.0
0.35,N2,0.4208,0.2975,0.2657,0.3228,anxious,0.45,0.0
0.358333,N2,0.4364,0.2842,0.2916,0.3198,anxious,0.45,0.0
0.366667,N2,0.4805,0.2961,0.2432,0.3439,neutral,0.45,0.0
0.375,N2,0.4986,0.2953,0.2757,0.3072,curious,0.45,0.0
0.383333,N2,0.4552,0.2416,0.2416,0.339,anxious,0.45,0.0
0.391667,N2,0.4635,0.2873,0.264,0.3247,curious,0.45,0.0
0.4,N2,0.4396,0.2755,0.2709,0.3193,fearful,0.45,0.0
0.408333,N2,0.4332,0.2956,0.2692,0.3367,anxious,0.45,0.0
0.416667,N2,0.4814,0.2603,0.2921,0.3066,joyful,0.45,0.0
0.425,N2,0.411,0.28,0.2732,0.3062,anxious,0.45,0.0
0.433333,N2,0.4423,0.2635,0.262,0.3048,curious,0.45,0.0
0.441667,N2,0.4337,0.2843,0.3003,0.2819,anxious,0.45,0.0
0.45,N3,0.3138,0.2099,0.1791,0.3387,anxious,0.3,0.0
0.458333,N3,0.2987,0.2151,0.2074,0.3181,curious,0.3,0.0
0.466667,N3,0.3205,0.1887,0.2224,0.3084,anxious,0.3,0.0
0.475,N3,0.3007,0.1839,0.1847,0.3054,fearful,0.3,0.0
0.483333,N3,0.3025,0.1802,0.1999,0.3268,anxious,0.3,0.0
0.491667,N3,0.3163,0.2043,0.1436,0.3249,melancholic,0.3,0.0
0.5,N3,0.3092,0.195,0.2217,0.2995,melancholic,0.3,0.0
0.508333,N3,0.3133,0.2295,0.1947,0.3349,anxious,0.3,0.0
0.516667,N3,0.3343,0.2108,0.1575,0.2833,fearful,0.3,0.0
0.525,N3,0.3018,0.218,0.2214,0.3406,anxious,0.3,0.0
0.533333,N3,0.2989,0.2016,0.2376,0.2948,anxious,0.3,0.0
0.541667,N3,0.2938,0.2143,0.1724,0.3,anxious,0.3,0.0
0.55,N3,0.2807,0.2211,0.1452,0.3195,anxious,0.3,0.0
0.558333,N3,0.2966,0.2016,0.2026,0.3573,anxious,0.3,0.0
0.566667,N3,0.3177,0.215,0.2372,0.3208,anxious,0.3,0.0
0.575,N3,0.3022,0.1804,0.1821,0.3145,fearful,0.3,0.0
0.583333,N3,0.294,0.2237,0.1726,0.3273,neutral,0.3,0.0
0.591667,N3,0.3071,0.1896,0.1777,0.3234,anxious,0.3,0.0
0.6,N3,0.2983,0.2208,0.181,0.3561,anxious,0.3,0.0
0.608333,N3,0.321,0.2255,0.2077,0.33,anxious,0.3,0.0
0.616667,N3,0.2751,0.2218,0.1966,0.3255,curious,0.3,0.0
0.625,N3,0.2992,0.1946,0.196,0.3302,joyful,0.3,0.0
0.633333,N3,0.3078,0.2048,0.1946,0.2542,serene,0.3,0.0
0.641667,N3,0.3223,0.2078,0.202,0.2795,anxious,0.3,0.0
0.65,N3,0.3123,0.2047,0.1925,0.3069,joyful,0.3,0.0
0.658333,N3,0.3225,0.221,0.225,0.2823,anxious,0.3,0.0
0.666667,N3,0.3043,0.1928,0.175,0.2909,anxious,0.3,0.0
0.675,N3,0.308,0.2059,0.2125,0.3552,anxious,0.3,0.0
0.683333,N3,0.3151,0.1828,0.1766,0.3164,anxious,0.3,0.0
0.691667,N3,0.2927,0.1504,0.2048,0.2985,anxious,0.3,0.0
0.7,N3,0.2883,0.2195,0.2104,0.3146,anxious,0.3,0.0
0.708333,N3,0.3069,0.2294,0.2443,0.2627,melancholic,0.3,0.0
0.716667,N3,0.3103,0.2266,0.1972,0.2805,melancholic,0.3,0.0
