time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4977,0.3019,0.3264,0.3196,neutral,0.376,0.0
0.083333,N2,0.4626,0.2721,0.2433,0.3748,melancholic,0.478,0.0
0.166667,N2,0.4693,0.3054,0.275,0.3364,neutral,0.341,0.0
0.25,N2,0.4439,0.2866,0.2889,0.3217,joyful,0.464,0.0
0.333333,N2,0.4288,0.2495,0.2757,0.3211,neutral,0.441,0.0
0.416667,N3,0.2839,0.2147,0.2068,0.2992,curious,0.35,0.0
0.5,N3,0.298,0.1998,0.16,0.319,curious,0.35,0.0
0.583333,N3,0.3281,0.1731,0.1933,0.3245,curious,0.35,0.0
0.666667,N3,0.3296,0.1715,0.205,0.3141,melancholic,0.346,0.0
0.75,N3,0.3229,0.1598,0.1912,0.3023,melancholic,0.35,0.0
0.833333,N3,0.2935,0.1899,0.1575,0.2705,neutral,0.35,0.0
0.916667,N2,0.4352,0.273,0.3074,0.2676,fearful,0.377,0.0
