time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4664
0.0,event::code_review,code review,0.4108
0.0,mem::being_chased,being_chased,0.3663
0.0,mem::joy,joy,0.3354
0.0,mem::dread,dread,0.3324
0.0,mem::cold_water,cold_water,0.3138
0.0,mem::flying,flying,0.2602
0.0,mem::childhood_home,childhood_home,0.2518
0.0,mem::grief,grief,0.2514
0.0,mem::wonder,wonder,0.2346
0.0,mem::being_late,being_late,0.2319
0.0,mem::recurring_journey,recurring_journey,0.1872
0.833333,event::design_discussion,design discussion,0.4114
0.833333,mem::being_chased,being_chased,0.3764
0.833333,mem::dread,dread,0.3645
0.833333,mem::cold_water,cold_water,0.358
0.833333,mem::childhood_home,childhood_home,0.3363
0.833333,mem::grief,grief,0.3362
0.833333,mem::being_late,being_late,0.3293
0.833333,mem::teeth_loosening,teeth_loosening,0.3121
0.833333,mem::school_corridor,school_corridor,0.2946
0.833333,mem::loud_crowd,loud_crowd,0.2907
0.833333,mem::falling,falling,0.2844
0.833333,event::code_review,code review,0.2109
