time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4764,0.2896,0.2784,0.3521,melancholic,0.374,0.0
0.083333,N2,0.4557,0.2707,0.251,0.3185,neutral,0.469,0.0
0.166667,N2,0.4376,0.267,0.2377,0.3089,curious,0.462,0.0
0.25,N2,0.4357,0.2682,0.2887,0.302,curious,0.447,0.0
0.333333,N2,0.4464,0.2709,0.2874,0.3448,neutral,0.43,0.0
0.416667,N2,0.4534,0.3039,0.3468,0.2989,joyful,0.393,0.0
0.5,N3,0.2819,0.1707,0.207,0.3104,neutral,0.35,0.0
0.583333,N3,0.3248,0.1862,0.1823,0.2923,neutral,0.35,0.0
0.666667,N3,0.2862,0.2042,0.2179,0.283,melancholic,0.35,0.0
0.75,N3,0.2908,0.2282,0.2094,0.2941,anxious,0.35,0.0
0.833333,N3,0.3054,0.1447,0.1748,0.2827,neutral,0.35,0.0
0.916667,N3,0.33,0.2019,0.2122,0.3057,neutral,0.35,0.0
