time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4931,0.2882,0.3091,0.3018,curious,0.449,0.0
0.008333,N1,0.4719,0.298,0.3036,0.3593,fearful,0.445,0.0
0.016667,N1,0.528,0.323,0.3016,0.3536,anxious,0.482,0.0
0.025,N1,0.4544,0.3332,0.2992,0.3156,anxious,0.387,0.0
0.033333,N1,0.5036,0.3221,0.298,0.3474,neutral,0.445,0.0
0.041667,N1,0.5298,0.298,0.2705,0.335,melancholic,0.454,0.0
0.05,N1,0.4932,0.3119,0.2869,0.3576,curious,0.503,0.0
0.058333,N1,0.4919,0.2978,0.296,0.3473,anxious,0.473,0.0
0.066667,N1,0.5358,0.3276,0.3035,0.3483,neutral,0.474,0.0
0.075,N1,0.5038,0.2873,0.3354,0.3548,anxious,0.425,0.0
0.083333,N2,0.4463,0.2942,0.2727,0.3483,melancholic,0.503,0.0
0.091667,N2,0.454,0.2851,0.2883,0.3402,anxious,0.462,0.0
0.1,N2,0.4145,0.2686,0.2613,0.3514,curious,0.509,0.0
0.108333,N2,0.46,0.2859,0.2744,0.3555,melancholic,0.516,0.0
0.116667,N2,0.4761,0.2734,0.2884,0.3464,fearful,0.482,0.0
0.125,N2,0.4551,0.2631,0.2819,0.3443,anxious,0.499,0.0
0.133333,N2,0.4507,0.2574,0.2696,0.3151,anxious,0.478,0.0
0.141667,N2,0.4354,0.272,0.297,0.36,joyful,0.491,0.0
0.15,N2,0.4732,0.272,0.2791,0.3767,melancholic,0.533,0.0
0.158333,N2,0.4411,0.2605,0.288,0.3167,melancholic,0.491,0.0
0.166667,N2,0.4591,0.2685,0.2694,0.3631,joyful,0.481,0.0
0.175,N2,0.4501,0.2852,0.2744,0.3564,anxious,0.504,0.0
0.183333,N2,0.4169,0.3259,0.3036,0.3996,anxious,0.456,0.0
0.191667,N2,0.4669,0.3258,0.2467,0.3199,anxious,0.454,0.0
0.2,N2,0.4278,0.2917,0.3,0.292,fearful,0.463,0.0
0.208333,N2,0.4238,0.2864,0.2931,0.3163,curious,0.463,0.0
0.216667,N2,0.4281,0.2817,0.2804,0.3338,anxious,0.444,0.0
0.225,N2,0.4805,0.2895,0.271,0.3219,neutral,0.471,0.0
0.233333,N2,0.422,0.3147,0.2435,0.2919,curious,0.492,0.0
0.241667,N2,0.4607,0.304,0.294,0.3685,neutral,0.552,0.0
0.25,N2,0.4399,0.3011,0.3153,0.3268,anxious,0.485,0.0
0.258333,N2,0.4723,0.3126,0.2402,0.3212,anxious,0.488,0.0
0.266667,N2,0.4404,0.2932,0.2746,0.3257,anxious,0.513,0.0
0.275,N2,0.4477,0.2835,0.2819,0.3319,anxious,0.471,0.0
0.283333,N2,0.4857,0.3174,0.2766,0.3687,neutral,0.484,0.0
0.291667,N2,0.4639,0.2749,0.2917,0.3304,anxious,0.512,0.0
0.3,N2,0.468,0.2852,0.2802,0.3046,melancholic,0.433,0.0
0.308333,N2,0.449,0.3227,0.2898,0.3156,melancholic,0.52,0.0
0.316667,N2,0.4116,0.2734,0.2919,0.3153,anxious,0.455,0.0
0.325,N2,0.4206,0.301,0.3033,0.3237,anxious,0.429,0.0
0.333333,N2,0.422,0.2665,0.2729,0.3422,anxious,0.468,0.0
0.341667,N2,0.4566,0.2839,0.2627,0.3257,anxious,0.51,0.0
0.35,N2,0.4337,0.2293,0.2809,0.3177,curious,0.499,0.0
0.358333,N2,0.4639,0.2983,0.2844,0.3122,serene,0.485,0.0
0.366667,N2,0.496,0.3015,0.2696,0.291,anxious,0.512,0.0
0.375,N2,0.4508,0.2887,0.2882,0.2941,curious,0.48,0.0
0.383333,N2,0.4593,0.2691,0.2301,0.299,curious,0.511,0.0
0.391667,N2,0.4618,0.303,0.2934,0.3744,neutral,0.468,0.0
0.4,N2,0.4244,0.274,0.2413,0.2822,anxious,0.468,0.0
0.408333,N2,0.4502,0.2421,0.3305,0.3126,fearful,0.478,0.0
0.416667,N2,0.4579,0.3177,0.3051,0.3178,anxious,0.503,0.0
0.425,N2,0.4631,0.2847,0.2822,0.3279,anxious,0.52,0.0
0.433333,N2,0.4421,0.275,0.2666,0.3377,neutral,0.497,0.0
0.441667,N2,0.4412,0.2717,0.2761,0.3108,melancholic,0.491,0.0
0.45,N2,0.4818,0.2666,0.2794,0.3297,anxious,0.493,0.0
0.458333,N2,0.4388,0.2574,0.2449,0.3204,anxious,0.479,0.0
0.466667,N2,0.4487,0.2813,0.2617,0.3112,curious,0.547,0.0
0.475,N2,0.4182,0.2763,0.3109,0.2961,joyful,0.463,0.0
0.483333,N3,0.3096,0.1811,0.2017,0.3208,anxious,0.35,0.0
0.491667,N3,0.281,0.1671,0.1873,0.2893,fearful,0.35,0.0
0.5,N3,0.2744,0.167,0.1902,0.3218,anxious,0.35,0.0
0.508333,N3,0.3087,0.1722,0.2067,0.3124,fearful,0.35,0.0
0.516667,N3,0.3005,0.1968,0.1875,0.2826,curious,0.35,0.0
0.525,N3,0.3306,0.1929,0.1958,0.2995,joyful,0.35,0.0
0.533333,N3,0.2787,0.2175,0.1807,0.2973,anxious,0.35,0.0
0.541667,N3,0.2708,0.1922,0.2206,0.2686,fearful,0.35,0.0
0.55,N3,0.2933,0.188,0.1875,0.3566,anxious,0.35,0.0
0.558333,N3,0.2922,0.1803,0.2141,0.3056,anxious,0.35,0.0
0.566667,N3,0.3141,0.1999,0.2126,0.3343,neutral,0.35,0.0
0.575,N3,0.2928,0.2146,0.2055,0.2997,neutral,0.35,0.0
0.583333,N3,0.2984,0.2095,0.2111,0.3243,anxious,0.35,0.0
0.591667,N3,0.2979,0.1736,0.2137,0.3132,fearful,0.35,0.0
0.6,N3,0.2967,0.2083,0.232,0.2612,anxious,0.35,0.0
0.608333,N3,0.2953,0.2066,0.1875,0.2999,fearful,0.35,0.0
0.616667,N3,0.3327,0.1798,0.1848,0.3013,melancholic,0.35,0.0
0.625,N3,0.3101,0.2398,0.1733,0.2741,anxious,0.35,0.0
