time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4882
0.0,mem::school_corridor,school_corridor,0.3788
0.0,event::code_review,code review,0.3746
0.0,mem::dread,dread,0.3727
0.0,mem::recurring_journey,recurring_journey,0.3235
0.0,mem::falling,falling,0.3164
0.0,mem::bright_light,bright_light,0.2701
0.0,mem::being_chased,being_chased,0.2593
0.0,mem::cold_water,cold_water,0.2439
0.0,mem::grief,grief,0.2365
0.0,mem::loud_crowd,loud_crowd,0.2349
0.0,mem::being_late,being_late,0.1992
0.833333,event::design_discussion,design discussion,0.354
0.833333,mem::school_corridor,school_corridor,0.3105
0.833333,mem::dread,dread,0.3082
0.833333,mem::falling,falling,0.2858
0.833333,event::code_review,code review,0.2762
0.833333,mem::being_chased,being_chased,0.2632
0.833333,mem::cold_water,cold_water,0.2571
0.833333,mem::grief,grief,0.254
0.833333,mem::loud_crowd,loud_crowd,0.2533
0.833333,mem::being_late,being_late,0.2393
0.833333,mem::bright_light,bright_light,0.2346
0.833333,mem::teeth_loosening,teeth_loosening,0.2248
