time_hours,node_id,node_label,activation
0.0,mem::being_chased,being_chased,0.3962
0.0,event::code_review,code review,0.3872
0.0,mem::being_late,being_late,0.3822
0.0,mem::childhood_home,childhood_home,0.3518
0.0,mem::joy,joy,0.3293
0.0,mem::falling,falling,0.3265
0.0,mem::bright_light,bright_light,0.306
0.0,event::design_discussion,design discussion,0.2629
0.0,mem::teeth_loosening,teeth_loosening,0.2594
0.0,mem::school_corridor,school_corridor,0.2567
0.0,mem::cold_water,cold_water,0.2196
0.0,mem::flying,flying,0.1974
0.833333,mem::joy,joy,0.3039
0.833333,mem::bright_light,bright_light,0.2945
0.833333,mem::being_chased,being_chased,0.2925
0.833333,event::code_review,code review,0.2888
0.833333,mem::being_late,being_late,0.2869
0.833333,mem::childhood_home,childhood_home,0.2748
0.833333,mem::falling,falling,0.2647
0.833333,mem::flying,flying,0.2514
0.833333,event::design_discussion,design discussion,0.2394
0.833333,mem::teeth_loosening,teeth_loosening,0.2381
0.833333,mem::school_corridor,school_corridor,0.2369
0.833333,mem::wonder,wonder,0.2305
