time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4967,0.2998,0.3121,0.3322,anxious,0.404,0.0
0.008333,N1,0.497,0.2916,0.2967,0.3653,curious,0.404,0.0
0.016667,N1,0.4913,0.2887,0.3282,0.3612,melancholic,0.45,0.0
0.025,N1,0.4824,0.3076,0.3091,0.3428,curious,0.401,0.0
0.033333,N1,0.4905,0.2853,0.3136,0.3479,anxious,0.444,0.0
0.041667,N1,0.532,0.3027,0.2679,0.3421,anxious,0.467,0.0
0.05,N1,0.491,0.2834,0.3258,0.3221,melancholic,0.41,0.0
0.058333,N1,0.4993,0.3043,0.2985,0.3496,curious,0.4,0.0
0.066667,N3,0.2842,0.2081,0.1712,0.3598,joyful,0.35,0.0
0.075,N3,0.3264,0.1822,0.2351,0.3529,anxious,0.35,0.0
0.083333,N3,0.3119,0.2163,0.1902,0.3798,anxious,0.35,0.0
0.091667,N3,0.2717,0.181,0.1569,0.3372,anxious,0.35,0.0
0.1,N3,0.2842,0.2076,0.1803,0.3384,fearful,0.35,0.0
0.108333,N3,0.3043,0.2445,0.2,0.349,fearful,0.35,0.0
0.116667,N3,0.2986,0.1988,0.2336,0.3384,anxious,0.35,0.0
0.125,N3,0.3363,0.177,0.1752,0.3352,curious,0.35,0.0
0.133333,N3,0.2788,0.1962,0.2226,0.3087,anxious,0.35,0.0
0.141667,N3,0.2993,0.1755,0.1693,0.3273,anxious,0.35,0.0
0.15,N3,0.3024,0.2108,0.2239,0.3271,anxious,0.35,0.0
0.158333,N3,0.3194,0.1978,0.1876,0.3873,anxious,0.35,0.0
0.166667,N3,0.28,0.2367,0.2168,0.3551,anxious,0.35,0.0
0.175,N3,0.31,0.2157,0.1962,0.3171,neutral,0.35,0.0
0.183333,N3,0.2895,0.2034,0.2183,0.3182,anxious,0.35,0.0
0.191667,N3,0.2628,0.182,0.2409,0.3453,fearful,0.35,0.0
0.2,N3,0.2313,0.1947,0.2086,0.3103,anxious,0.35,0.0
0.208333,N3,0.3,0.1996,0.1967,0.343,anxious,0.35,0.0
0.216667,N3,0.3117,0.2185,0.1812,0.3219,anxious,0.35,0.0
0.225,N3,0.2905,0.1959,0.1948,0.3238,anxious,0.35,0.0
0.233333,N3,0.2717,0.234,0.1931,0.3132,melancholic,0.35,0.0
0.241667,N3,0.3052,0.172,0.2061,0.2787,neutral,0.35,0.0
0.25,N3,0.3413,0.1615,0.1984,0.3094,anxious,0.35,0.0
0.258333,N3,0.3185,0.2255,0.1918,0.3123,anxious,0.35,0.0
0.266667,N3,0.3115,0.2224,0.207,0.362,joyful,0.35,0.0
0.275,N3,0.3056,0.202,0.2194,0.3616,neutral,0.35,0.0
0.283333,N3,0.327,0.1776,0.1954,0.3269,melancholic,0.35,0.0
0.291667,N3,0.2869,0.1819,0.2014,0.3069,anxious,0.35,0.0
0.3,N2,0.4157,0.2883,0.2587,0.3522,curious,0.478,0.0
0.308333,N2,0.4574,0.2906,0.3022,0.2991,anxious,0.401,0.0
0.316667,N3,0.3311,0.2003,0.2033,0.336,anxious,0.35,0.0
0.325,N3,0.2896,0.1872,0.1972,0.3297,neutral,0.35,0.0
0.333333,N3,0.3243,0.1905,0.1873,0.3389,joyful,0.35,0.0
0.341667,N3,0.2887,0.2291,0.2206,0.3093,melancholic,0.35,0.0
0.35,N3,0.2891,0.2082,0.2064,0.3138,anxious,0.35,0.0
0.358333,N3,0.2773,0.2269,0.2166,0.3213,anxious,0.35,0.0
0.366667,N3,0.2763,0.2162,0.1913,0.3039,anxious,0.35,0.0
0.375,N3,0.3138,0.2151,0.2302,0.3424,melancholic,0.35,0.0
0.383333,N3,0.2882,0.2268,0.2182,0.3294,serene,0.35,0.0
0.391667,N3,0.2927,0.2192,0.2026,0.3254,curious,0.35,0.0
0.4,N3,0.3233,0.2008,0.2007,0.2857,serene,0.35,0.0
0.408333,N3,0.2972,0.2172,0.1759,0.3241,anxious,0.35,0.0
0.416667,N3,0.2755,0.1684,0.2162,0.2426,anxious,0.35,0.0
0.425,N3,0.2938,0.1888,0.1642,0.3102,anxious,0.337,0.0
0.433333,N3,0.3087,0.2067,0.1734,0.2973,anxious,0.35,0.0
0.441667,N3,0.2999,0.2146,0.1733,0.3116,anxious,0.35,0.0
0.45,N3,0.2763,0.1834,0.1976,0.299,anxious,0.35,0.0
0.458333,N3,0.2841,0.2427,0.2114,0.3334,serene,0.35,0.0
0.466667,N3,0.2788,0.2242,0.1903,0.3072,melancholic,0.345,0.0
0.475,N3,0.2842,0.1626,0.2033,0.3306,fearful,0.35,0.0
0.483333,N3,0.2968,0.1889,0.2074,0.3422,anxious,0.35,0.0
0.491667,N3,0.3434,0.203,0.2195,0.2974,anxious,0.35,0.0
0.5,N3,0.3004,0.2133,0.1834,0.3209,serene,0.35,0.0
0.508333,N3,0.2888,0.1853,0.19,0.3167,curious,0.35,0.0
0.516667,N3,0.2855,0.2178,0.2446,0.29,anxious,0.335,0.0
0.525,N3,0.3019,0.2448,0.2357,0.3285,anxious,0.35,0.0
0.533333,N3,0.2961,0.2018,0.2004,0.2822,melancholic,0.35,0.0
0.541667,N3,0.3164,0.229,0.1609,0.32,anxious,0.35,0.0
0.55,N3,0.3208,0.172,0.189,0.2878,anxious,0.35,0.0
0.558333,N3,0.3074,0.2257,0.2176,0.3041,anxious,0.35,0.0
0.566667,N3,0.2876,0.1865,0.1961,0.2995,serene,0.35,0.0
0.575,N3,0.3017,0.1574,0.1848,0.3114,melancholic,0.35,0.0
0.583333,N3,0.3224,0.1887,0.1859,0.2879,anxious,0.35,0.0
0.591667,N3,0.2875,0.1895,0.2147,0.326,melancholic,0.35,0.0
0.6,N3,0.3588,0.2355,0.2075,0.279,anxious,0.35,0.0
0.608333,N3,0.2916,0.2173,0.1656,0.3375,joyful,0.35,0.0
0.616667,N3,0.3105,0.1916,0.1976,0.2992,curious,0.35,0.0
0.625,N3,0.2932,0.2193,0.1862,0.2856,joyful,0.35,0.0
0.633333,N3,0.3063,0.1986,0.1797,0.2545,anxious,0.35,0.0
0.641667,N3,0.2885,0.2215,0.2155,0.3007,melancholic,0.35,0.0
0.65,N3,0.2497,0.2129,0.2037,0.3099,neutral,0.35,0.0
0.658333,N3,0.332,0.2075,0.1564,0.2969,curious,0.35,0.0
0.666667,N3,0.315,0.1806,0.2176,0.2834,joyful,0.35,0.0
0.675,N3,0.295,0.2039,0.1969,0.302,anxious,0.35,0.0
0.683333,N3,0.3275,0.2117,0.1753,0.3001,joyful,0.35,0.0
0.691667,N3,0.2864,0.2308,0.2417,0.303,joyful,0.35,0.0
0.7,N3,0.3042,0.1917,0.1957,0.3207,anxious,0.35,0.0
0.708333,N3,0.2742,0.1976,0.1819,0.3032,fearful,0.35,0.0
0.716667,N3,0.3176,0.1929,0.1825,0.329,neutral,0.35,0.0
0.725,N3,0.2902,0.2088,0.1959,0.2961,anxious,0.35,0.0
0.733333,N3,0.3059,0.202,0.2002,0.2909,anxious,0.35,0.0
0.741667,N3,0.3211,0.2164,0.1898,0.2972,joyful,0.35,0.0
0.75,N3,0.2978,0.1962,0.217,0.2829,melancholic,0.35,0.0
0.758333,N3,0.2955,0.2015,0.1847,0.2646,anxious,0.35,0.0
0.766667,N3,0.3006,0.2076,0.163,0.2795,anxious,0.35,0.0
0.775,N3,0.334,0.1919,0.2086,0.297,anxious,0.35,0.0
0.783333,N3,0.2783,0.2271,0.1757,0.3009,anxious,0.35,0.0
0.791667,N3,0.3064,0.2053,0.2068,0.2708,anxious,0.35,0.0
0.8,N2,0.4652,0.2623,0.3006,0.2773,anxious,0.459,0.0
0.808333,N2,0.4721,0.3145,0.2823,0.2732,melancholic,0.51,0.0
0.816667,N2,0.4323,0.3078,0.2584,0.2828,curious,0.49,0.0
0.825,N2,0.4225,0.2771,0.2929,0.2692,anxious,0.44,0.0
0.833333,N2,0.4446,0.293,0.2744,0.2503,anxious,0.4,0.0
0.841667,N2,0.4346,0.2669,0.2475,0.295,anxious,0.449,0.0
0.85,N2,0.4477,0.2703,0.278,0.3093,anxious,0.457,0.0
0.858333,N2,0.4552,0.2906,0.2796,0.2733,anxious,0.447,0.0
0.866667,N2,0.428,0.2659,0.2765,0.3025,anxious,0.459,0.0
0.875,N2,0.428,0.2997,0.2673,0.2739,anxious,0.447,0.0
0.883333,N2,0.4426,0.2671,0.2326,0.2641,serene,0.45,0.0
0.891667,N2,0.4363,0.2599,0.2617,0.3007,anxious,0.448,0.0
0.9,N2,0.4605,0.269,0.3196,0.2785,curious,0.477,0.0
0.908333,N2,0.4368,0.2649,0.2748,0.2983,anxious,0.442,0.0
0.916667,N2,0.4341,0.2705,0.2733,0.266,fearful,0.446,0.0
0.925,N2,0.4568,0.2674,0.2657,0.2724,anxious,0.426,0.0
0.933333,N2,0.459,0.3046,0.2647,0.2993,anxious,0.42,0.0
0.941667,N2,0.4605,0.2594,0.2674,0.2598,anxious,0.492,0.0
0.95,N2,0.424,0.2984,0.2608,0.2865,anxious,0.434,0.0
0.958333,N2,0.4486,0.2659,0.317,0.2664,anxious,0.407,0.0
0.966667,N2,0.4595,0.2886,0.2673,0.271,fearful,0.443,0.0
0.975,N2,0.4621,0.2897,0.2763,0.2463,anxious,0.479,0.0
0.983333,N2,0.4433,0.2793,0.2631,0.2831,fearful,0.447,0.0
0.991667,N2,0.467,0.2746,0.315,0.2724,anxious,0.421,0.0
1.0,N2,0.4239,0.2779,0.2884,0.2941,anxious,0.395,0.0
1.008333,N2,0.4519,0.2726,0.2757,0.2895,fearful,0.465,0.0
1.016667,N2,0.4397,0.2368,0.2663,0.2379,neutral,0.416,0.0
1.025,N2,0.4536,0.2788,0.2415,0.2682,anxious,0.465,0.0
1.033333,N2,0.4487,0.2748,0.2728,0.3246,anxious,0.481,0.0
1.041667,N2,0.4679,0.2599,0.3108,0.2944,anxious,0.463,0.0
