time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4844,0.31,0.304,0.3425,joyful,0.377,0.0
0.083333,N2,0.4484,0.2801,0.289,0.3481,melancholic,0.391,0.0
0.166667,N2,0.4444,0.3267,0.3281,0.3863,joyful,0.455,0.0
0.25,N2,0.4406,0.2688,0.2918,0.3014,joyful,0.346,0.0
0.333333,N2,0.483,0.27,0.2775,0.3385,melancholic,0.428,0.0
0.416667,N2,0.4345,0.293,0.2478,0.2945,melancholic,0.437,0.0
0.5,N3,0.2755,0.2004,0.1798,0.3116,anxious,0.35,0.0
0.583333,N3,0.2951,0.1688,0.2063,0.3052,melancholic,0.35,0.0
0.666667,N3,0.3344,0.1937,0.1965,0.2494,curious,0.35,0.0
0.75,N3,0.3066,0.1877,0.1849,0.2543,neutral,0.35,0.0
0.833333,N3,0.3117,0.1868,0.1804,0.3147,anxious,0.35,0.0
0.916667,N3,0.2893,0.1889,0.19,0.275,joyful,0.35,0.0
