time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5041,0.2897,0.2721,0.3567,neutral,0.415,0.0
0.083333,N2,0.4654,0.3015,0.2729,0.3443,curious,0.47,0.0
0.166667,N2,0.4472,0.2601,0.2658,0.3454,serene,0.412,0.0
0.25,N2,0.4529,0.3085,0.2839,0.3293,neutral,0.425,0.0
0.333333,N3,0.3224,0.2009,0.1698,0.3045,neutral,0.35,0.0
0.416667,N3,0.3282,0.1701,0.1597,0.3315,neutral,0.35,0.0
0.5,N3,0.2984,0.2219,0.2244,0.297,serene,0.335,0.0
0.583333,N3,0.2839,0.1781,0.2237,0.3012,neutral,0.35,0.0
0.666667,N3,0.3005,0.2106,0.2302,0.3088,curious,0.35,0.0
0.75,N3,0.3222,0.1707,0.204,0.2978,neutral,0.35,0.0
0.833333,N3,0.3077,0.1786,0.2041,0.3004,joyful,0.35,0.0
0.916667,N2,0.4908,0.2705,0.2969,0.2538,serene,0.436,0.0
