time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.3487
0.0,mem::flying,flying,0.3243
0.0,mem::being_chased,being_chased,0.3189
0.0,mem::loud_crowd,loud_crowd,0.3057
0.0,mem::school_corridor,school_corridor,0.2957
0.0,mem::teeth_loosening,teeth_loosening,0.2702
0.0,event::design_discussion,design discussion,0.2689
0.0,mem::being_late,being_late,0.2604
0.0,mem::cold_water,cold_water,0.2469
0.0,mem::joy,joy,0.2352
0.0,mem::wonder,wonder,0.2302
0.0,mem::falling,falling,0.2223
0.833333,event::code_review,code review,0.3218
0.833333,mem::flying,flying,0.3133
0.833333,event::design_discussion,design discussion,0.2938
0.833333,mem::joy,joy,0.2821
0.833333,mem::wonder,wonder,0.2803
0.833333,mem::bright_light,bright_light,0.2486
0.833333,mem::familiar_face,familiar_face,0.2382
0.833333,mem::being_chased,being_chased,0.2134
0.833333,mem::loud_crowd,loud_crowd,0.2073
0.833333,mem::school_corridor,school_corridor,0.2027
0.833333,mem::teeth_loosening,teeth_loosening,0.1913
0.833333,mem::being_late,being_late,0.1869
