time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.513,0.3255,0.3126,0.3477,fearful,0.406,0.0
0.083333,N2,0.4396,0.2701,0.2472,0.3784,serene,0.465,0.0
0.166667,N2,0.4739,0.2857,0.2817,0.363,melancholic,0.456,0.0
0.25,N2,0.4574,0.2792,0.2519,0.3456,neutral,0.468,0.0
0.333333,N2,0.4456,0.2679,0.2863,0.3233,curious,0.406,0.0
0.416667,N3,0.2646,0.1675,0.2102,0.2954,curious,0.35,0.0
0.5,N3,0.3227,0.1965,0.221,0.308,neutral,0.35,0.0
0.583333,N3,0.3611,0.1904,0.2283,0.3379,joyful,0.35,0.0
0.666667,N3,0.3252,0.1923,0.2052,0.3273,joyful,0.35,0.0
0.75,N3,0.3337,0.1998,0.1959,0.3083,neutral,0.35,0.0
0.833333,N2,0.4488,0.2879,0.274,0.2811,neutral,0.446,0.0
0.916667,N2,0.4428,0.3151,0.2224,0.2956,serene,0.406,0.0
