time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.496
0.0,event::design_discussion,design discussion,0.4871
0.0,mem::loud_crowd,loud_crowd,0.3961
0.0,mem::cold_water,cold_water,0.3509
0.0,mem::school_corridor,school_corridor,0.3166
0.0,mem::being_chased,being_chased,0.2966
0.0,mem::grief,grief,0.2768
0.0,mem::wonder,wonder,0.2766
0.0,mem::falling,falling,0.2116
0.0,mem::flying,flying,0.206
0.0,mem::being_late,being_late,0.2033
0.0,mem::joy,joy,0.191
0.833333,event::code_review,code review,0.4345
0.833333,mem::wonder,wonder,0.3578
0.833333,mem::flying,flying,0.333
0.833333,mem::joy,joy,0.3278
0.833333,mem::bright_light,bright_light,0.3261
0.833333,mem::familiar_face,familiar_face,0.2971
0.833333,event::design_discussion,design discussion,0.2939
0.833333,mem::loud_crowd,loud_crowd,0.2531
0.833333,mem::cold_water,cold_water,0.2326
0.833333,mem::school_corridor,school_corridor,0.217
0.833333,mem::being_chased,being_chased,0.2081
0.833333,mem::grief,grief,0.199
