time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5319,0.3304,0.312,0.3212,anxious,0.481,0.0
0.008333,N1,0.5098,0.286,0.3086,0.3818,melancholic,0.386,0.0
0.016667,N1,0.4695,0.2831,0.2927,0.3409,anxious,0.454,0.0
0.025,N1,0.5,0.3114,0.3374,0.3647,curious,0.43,0.0
0.033333,N1,0.4801,0.2956,0.3337,0.3301,curious,0.434,0.0
0.041667,N1,0.4966,0.3237,0.2791,0.3388,anxious,0.469,0.0
0.05,N1,0.4827,0.3065,0.3078,0.3812,fearful,0.471,0.0
0.058333,N1,0.4732,0.3293,0.274,0.3537,anxious,0.458,0.0
0.066667,N1,0.531,0.2809,0.2714,0.3443,anxious,0.482,0.0
0.075,N1,0.4932,0.3162,0.2818,0.3558,fearful,0.445,0.0
0.083333,N2,0.4388,0.2757,0.3024,0.3477,serene,0.524,0.0
0.091667,N2,0.4635,0.2769,0.3141,0.3665,fearful,0.452,0.0
0.1,N2,0.4746,0.2223,0.256,0.345,melancholic,0.55,0.0
0.108333,N2,0.4542,0.276,0.2977,0.3363,anxious,0.452,0.0
0.116667,N2,0.42,0.2176,0.278,0.3556,neutral,0.498,0.0
0.125,N2,0.4408,0.2721,0.2608,0.3624,fearful,0.475,0.0
0.133333,N2,0.4637,0.29,0.2354,0.3226,fearful,0.5,0.0
0.141667,N2,0.4105,0.2872,0.2959,0.3241,joyful,0.437,0.0
0.15,N2,0.4436,0.2674,0.2716,0.3526,anxious,0.536,0.0
0.158333,N2,0.4348,0.2851,0.2908,0.3439,fearful,0.43,0.0
0.166667,N2,0.461,0.283,0.2336,0.3301,curious,0.518,0.0
0.175,N2,0.4425,0.295,0.2817,0.3492,anxious,0.502,0.0
0.183333,N2,0.4806,0.3109,0.2712,0.2976,fearful,0.481,0.0
0.191667,N2,0.4357,0.2894,0.2895,0.3538,fearful,0.448,0.0
0.2,N2,0.4247,0.2557,0.2839,0.3194,joyful,0.443,0.0
0.208333,N2,0.4544,0.2771,0.3099,0.345,anxious,0.461,0.0
0.216667,N2,0.4705,0.2612,0.2668,0.3498,anxious,0.491,0.0
0.225,N2,0.4567,0.2826,0.2929,0.3292,anxious,0.525,0.0
0.233333,N2,0.4629,0.2755,0.2973,0.3454,joyful,0.5,0.0
0.241667,N2,0.4644,0.2661,0.2649,0.3097,anxious,0.522,0.0
0.25,N2,0.4418,0.2792,0.264,0.2956,neutral,0.502,0.0
0.258333,N2,0.4093,0.2871,0.2697,0.3418,anxious,0.478,0.0
0.266667,N2,0.497,0.2824,0.2782,0.2973,anxious,0.525,0.0
0.275,N2,0.465,0.2759,0.271,0.3369,anxious,0.51,0.0
0.283333,N2,0.4592,0.2784,0.2727,0.3271,anxious,0.546,0.0
0.291667,N2,0.4543,0.2732,0.2978,0.3414,fearful,0.549,0.0
