time_hours,node_id,node_label,activation
0.0,event::deadline,deadline,0.3853
0.0,mem::joy,joy,0.3461
0.0,mem::school_corridor,school_corridor,0.3071
0.0,mem::falling,falling,0.2931
0.0,mem::wonder,wonder,0.2792
0.0,mem::flying,flying,0.229
0.0,mem::being_late,being_late,0.2255
0.0,mem::teeth_loosening,teeth_loosening,0.2255
0.0,mem::bright_light,bright_light,0.2231
0.0,mem::familiar_face,familiar_face,0.2079
0.0,mem::dread,dread,0.2042
0.0,mem::childhood_home,childhood_home,0.1869
0.083333,mem::school_corridor,school_corridor,0.706
0.083333,mem::falling,falling,0.7018
0.083333,mem::being_late,being_late,0.6817
0.083333,mem::teeth_loosening,teeth_loosening,0.6817
0.083333,mem::dread,dread,0.6754
0.083333,mem::childhood_home,childhood_home,0.6703
0.083333,mem::cold_water,cold_water,0.6639
0.083333,mem::loud_crowd,loud_crowd,0.66
0.083333,mem::grief,grief,0.6485
0.083333,mem::being_chased,being_chased,0.6445
0.083333,event::deadline,deadline,0.3605
0.083333,mem::joy,joy,0.3237
0.166667,mem::school_corridor,school_corridor,0.8021
0.166667,mem::falling,falling,0.8005
0.166667,mem::being_late,being_late,0.7929
0.166667,mem::teeth_loosening,teeth_loosening,0.7929
0.166667,mem::dread,dread,0.7904
0.166667,mem::childhood_home,childhood_home,0.7884
0.166667,mem::cold_water,cold_water,0.7861
0.166667,mem::loud_crowd,loud_crowd,0.7847
0.166667,mem::grief,grief,0.7802
0.166667,mem::being_chased,being_chased,0.7786
0.166667,event::deadline,deadline,0.4007
0.166667,mem::joy,joy,0.3704
0.25,mem::school_corridor,school_corridor,0.8532
0.25,mem::falling,falling,0.8528
0.25,mem::being_late,being_late,0.8507
0.25,mem::teeth_loosening,teeth_loosening,0.8507
0.25,mem::dread,dread,0.8497
0.25,mem::childhood_home,childhood_home,0.8492
0.25,mem::cold_water,cold_water,0.8485
0.25,mem::loud_crowd,loud_crowd,0.8481
0.25,mem::grief,grief,0.8468
0.25,mem::being_chased,being_chased,0.8463
0.25,event::deadline,deadline,0.4338
0.25,mem::joy,joy,0.4089
0.333333,mem::school_corridor,school_corridor,0.8584
0.333333,mem::falling,falling,0.8581
0.333333,mem::being_late,being_late,0.8573
0.333333,mem::teeth_loosening,teeth_loosening,0.8573
0.333333,mem::dread,dread,0.8571
0.333333,mem::childhood_home,childhood_home,0.857
0.333333,mem::cold_water,cold_water,0.8566
0.333333,mem::loud_crowd,loud_crowd,0.8566
0.333333,mem::grief,grief,0.8559
0.333333,mem::being_chased,being_chased,0.8558
0.333333,event::deadline,deadline,0.4617
0.333333,mem::joy,joy,0.4412
0.416667,mem::school_corridor,school_corridor,0.8421
0.416667,mem::falling,falling,0.8419
0.416667,mem::being_late,being_late,0.8415
0.416667,mem::teeth_loosening,teeth_loosening,0.8415
0.416667,mem::dread,dread,0.8414
0.416667,mem::childhood_home,childhood_home,0.8413
0.416667,mem::cold_water,cold_water,0.8411
0.416667,mem::loud_crowd,loud_crowd,0.8411
0.416667,mem::grief,grief,0.8409
0.416667,mem::being_chased,being_chased,0.8408
0.416667,event::deadline,deadline,0.5414
0.416667,mem::joy,joy,0.5265
0.5,mem::school_corridor,school_corridor,0.8536
0.5,mem::falling,falling,0.8535
0.5,mem::being_late,being_late,0.8533
0.5,mem::teeth_loosening,teeth_loosening,0.8533
0.5,mem::dread,dread,0.8533
0.5,mem::childhood_home,childhood_home,0.8532
0.5,mem::cold_water,cold_water,0.8531
0.5,mem::loud_crowd,loud_crowd,0.8531
0.5,mem::being_chased,being_chased,0.853
0.5,mem::grief,grief,0.853
0.5,event::deadline,deadline,0.5065
0.5,mem::joy,joy,0.4925
0.583333,mem::school_corridor,school_corridor,0.8617
0.583333,mem::falling,falling,0.8616
0.583333,mem::childhood_home,childhood_home,0.8615
0.583333,mem::being_late,being_late,0.8615
0.583333,mem::teeth_loosening,teeth_loosening,0.8615
0.583333,mem::cold_water,cold_water,0.8615
0.583333,mem::loud_crowd,loud_crowd,0.8615
0.583333,mem::dread,dread,0.8615
0.583333,mem::being_chased,being_chased,0.8614
0.583333,mem::grief,grief,0.8614
0.583333,event::deadline,deadline,0.5697
0.583333,mem::joy,joy,0.5595
0.666667,mem::childhood_home,childhood_home,0.8603
0.666667,mem::school_corridor,school_corridor,0.8603
0.666667,mem::falling,falling,0.8603
0.666667,mem::being_chased,being_chased,0.8603
0.666667,mem::being_late,being_late,0.8603
0.666667,mem::teeth_loosening,teeth_loosening,0.8603
0.666667,mem::cold_water,cold_water,0.8603
0.666667,mem::loud_crowd,loud_crowd,0.8603
0.666667,mem::grief,grief,0.8603
0.666667,mem::dread,dread,0.8603
0.666667,event::deadline,deadline,0.5794
0.666667,mem::joy,joy,0.5711
0.75,mem::childhood_home,childhood_home,0.8704
0.75,mem::school_corridor,school_corridor,0.8704
0.75,mem::falling,falling,0.8704
0.75,mem::being_chased,being_chased,0.8704
0.75,mem::being_late,being_late,0.8704
0.75,mem::teeth_loosening,teeth_loosening,0.8704
0.75,mem::cold_water,cold_water,0.8704
0.75,mem::loud_crowd,loud_crowd,0.8704
0.75,mem::grief,grief,0.8704
0.75,mem::dread,dread,0.8704
0.75,event::deadline,deadline,0.5421
0.75,mem::joy,joy,0.5343
0.833333,mem::childhood_home,childhood_home,0.8755
0.833333,mem::school_corridor,school_corridor,0.8755
0.833333,mem::falling,falling,0.8755
0.833333,mem::being_chased,being_chased,0.8755
0.833333,mem::being_late,being_late,0.8755
0.833333,mem::teeth_loosening,teeth_loosening,0.8755
0.833333,mem::cold_water,cold_water,0.8755
0.833333,mem::loud_crowd,loud_crowd,0.8755
0.833333,mem::grief,grief,0.8755
0.833333,mem::dread,dread,0.8755
0.833333,event::deadline,deadline,0.5071
0.833333,mem::joy,joy,0.4998
