time_hours,node_id,node_label,activation
0.0,mem::being_late,being_late,0.3783
0.0,mem::familiar_face,familiar_face,0.3713
0.0,mem::cold_water,cold_water,0.3683
0.0,mem::grief,grief,0.3557
0.0,event::had_a_long_meeting,had a long meeting,0.2517
0.0,mem::recurring_journey,recurring_journey,0.2286
0.0,mem::being_chased,being_chased,0.2198
0.0,mem::dread,dread,0.2178
0.0,mem::loud_crowd,loud_crowd,0.2124
0.0,mem::joy,joy,0.2098
0.0,mem::falling,falling,0.1974
0.0,mem::wonder,wonder,0.1878
0.083333,mem::being_late,being_late,0.5282
0.083333,mem::cold_water,cold_water,0.5217
0.083333,mem::familiar_face,familiar_face,0.5199
0.083333,mem::grief,grief,0.5138
0.083333,event::had_a_long_meeting,had a long meeting,0.4437
0.083333,mem::being_chased,being_chased,0.427
0.083333,mem::dread,dread,0.4259
0.083333,mem::loud_crowd,loud_crowd,0.4225
0.083333,mem::joy,joy,0.4171
0.083333,mem::falling,falling,0.4128
0.083333,mem::childhood_home,childhood_home,0.4054
0.083333,mem::wonder,wonder,0.4031
0.166667,mem::being_late,being_late,0.6526
0.166667,mem::cold_water,cold_water,0.649
0.166667,mem::grief,grief,0.6446
0.166667,mem::being_chased,being_chased,0.5959
0.166667,mem::dread,dread,0.5952
0.166667,mem::loud_crowd,loud_crowd,0.5932
0.166667,mem::falling,falling,0.588
0.166667,mem::childhood_home,childhood_home,0.5837
0.166667,mem::teeth_loosening,teeth_loosening,0.5807
0.166667,mem::familiar_face,familiar_face,0.5796
0.166667,mem::school_corridor,school_corridor,0.5756
0.166667,event::had_a_long_meeting,had a long meeting,0.5245
0.25,mem::being_late,being_late,0.703
0.25,mem::cold_water,cold_water,0.7007
0.25,mem::grief,grief,0.6978
0.25,mem::being_chased,being_chased,0.6667
0.25,mem::dread,dread,0.6663
0.25,mem::loud_crowd,loud_crowd,0.6652
0.25,mem::falling,falling,0.6618
0.25,mem::childhood_home,childhood_home,0.6591
0.25,mem::teeth_loosening,teeth_loosening,0.6571
0.25,mem::school_corridor,school_corridor,0.6539
0.25,mem::familiar_face,familiar_face,0.618
0.25,event::had_a_long_meeting,had a long meeting,0.5781
0.333333,mem::being_late,being_late,0.7476
0.333333,mem::cold_water,cold_water,0.7461
0.333333,mem::grief,grief,0.7446
0.333333,mem::being_chased,being_chased,0.727
0.333333,mem::dread,dread,0.7268
0.333333,mem::loud_crowd,loud_crowd,0.7261
0.333333,mem::falling,falling,0.7243
0.333333,mem::childhood_home,childhood_home,0.7228
0.333333,mem::teeth_loosening,teeth_loosening,0.7217
0.333333,mem::school_corridor,school_corridor,0.7201
0.333333,mem::familiar_face,familiar_face,0.6527
0.333333,event::had_a_long_meeting,had a long meeting,0.6238
0.416667,mem::being_late,being_late,0.7594
0.416667,mem::cold_water,cold_water,0.7584
0.416667,mem::grief,grief,0.7575
0.416667,mem::familiar_face,familiar_face,0.7467
0.416667,mem::being_chased,being_chased,0.7463
