time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4771,0.3155,0.3282,0.3245,neutral,0.422,0.0
0.008333,N1,0.5142,0.3284,0.3436,0.3662,neutral,0.398,0.0
0.016667,N1,0.5038,0.3045,0.2954,0.3017,joyful,0.355,0.0
0.025,N1,0.5465,0.2992,0.3231,0.3505,neutral,0.372,0.0
0.033333,N1,0.4844,0.3153,0.3045,0.321,joyful,0.43,0.0
0.041667,N1,0.5285,0.2597,0.3585,0.3682,fearful,0.373,0.0
0.05,N1,0.5617,0.318,0.2972,0.318,melancholic,0.381,0.0
0.058333,N1,0.4955,0.3286,0.3093,0.3341,neutral,0.368,0.0
0.066667,N2,0.4347,0.2834,0.225,0.3399,joyful,0.42,0.0
0.075,N2,0.4706,0.259,0.27,0.3249,melancholic,0.436,0.0
0.083333,N2,0.4772,0.2495,0.274,0.3244,neutral,0.373,0.0
0.091667,N2,0.4651,0.2859,0.288,0.3608,neutral,0.352,0.0
0.1,N2,0.4351,0.3161,0.3018,0.3089,fearful,0.401,0.0
0.108333,N2,0.4382,0.2789,0.2763,0.3571,neutral,0.403,0.0
0.116667,N2,0.4806,0.2915,0.2789,0.3311,melancholic,0.356,0.0
0.125,N2,0.4649,0.2392,0.2845,0.3244,joyful,0.416,0.0
0.133333,N2,0.4621,0.2185,0.2847,0.3725,fearful,0.437,0.0
0.141667,N2,0.4475,0.2656,0.2611,0.3265,melancholic,0.389,0.0
0.15,N2,0.4639,0.2709,0.2645,0.3119,serene,0.37,0.0
0.158333,N2,0.4197,0.305,0.2727,0.3219,neutral,0.419,0.0
0.166667,N2,0.4763,0.2999,0.2978,0.3137,neutral,0.44,0.0
0.175,N2,0.4401,0.2871,0.278,0.3359,neutral,0.424,0.0
0.183333,N2,0.4444,0.2465,0.2834,0.3578,joyful,0.392,0.0
0.191667,N2,0.447,0.2757,0.2783,0.3149,curious,0.456,0.0
0.2,N2,0.449,0.2705,0.29,0.3478,joyful,0.409,0.0
0.208333,N2,0.4704,0.2911,0.2572,0.3419,anxious,0.408,0.0
0.216667,N2,0.4483,0.2536,0.2523,0.3347,anxious,0.419,0.0
0.225,N2,0.4535,0.2988,0.2746,0.3585,curious,0.433,0.0
0.233333,N2,0.4675,0.2599,0.2848,0.2767,neutral,0.446,0.0
0.241667,N2,0.4604,0.2694,0.2834,0.3369,melancholic,0.409,0.0
0.25,N2,0.4365,0.2801,0.2984,0.3136,neutral,0.411,0.0
0.258333,N2,0.436,0.2939,0.2953,0.3603,neutral,0.364,0.0
0.266667,N2,0.4392,0.2547,0.2279,0.3546,anxious,0.385,0.0
0.275,N2,0.469,0.2901,0.2463,0.3512,melancholic,0.415,0.0
0.283333,N2,0.4534,0.26,0.2871,0.3184,anxious,0.386,0.0
0.291667,N2,0.5096,0.255,0.2993,0.3339,melancholic,0.481,0.0
0.3,N2,0.4567,0.2699,0.2936,0.328,joyful,0.361,0.0
0.308333,N2,0.4496,0.2814,0.2834,0.3191,neutral,0.435,0.0
0.316667,N2,0.4452,0.2472,0.2702,0.3511,neutral,0.37,0.0
0.325,N2,0.4674,0.3177,0.2696,0.3268,neutral,0.413,0.0
0.333333,N2,0.4432,0.2408,0.2799,0.3233,joyful,0.439,0.0
0.341667,N2,0.4312,0.2616,0.2383,0.2985,neutral,0.424,0.0
0.35,N2,0.4462,0.3088,0.288,0.3287,anxious,0.432,0.0
0.358333,N2,0.4245,0.2757,0.2523,0.3228,fearful,0.343,0.0
0.366667,N2,0.4564,0.2955,0.2924,0.3101,serene,0.415,0.0
0.375,N2,0.4496,0.282,0.3209,0.3075,joyful,0.387,0.0
0.383333,N2,0.4155,0.2586,0.2763,0.3214,joyful,0.401,0.0
0.391667,N2,0.4702,0.2621,0.2745,0.3203,joyful,0.482,0.0
0.4,N2,0.4377,0.2612,0.2795,0.3082,fearful,0.39,0.0
0.408333,N2,0.4467,0.2745,0.3061,0.3192,serene,0.359,0.0
0.416667,N2,0.4009,0.2796,0.289,0.3052,neutral,0.377,0.0
0.425,N2,0.4912,0.274,0.2827,0.2911,serene,0.414,0.0
0.433333,N2,0.4682,0.279,0.3111,0.3035,curious,0.432,0.0
0.441667,N2,0.4604,0.2802,0.263,0.3316,joyful,0.438,0.0
0.45,N2,0.4786,0.2867,0.2732,0.3072,melancholic,0.422,0.0
0.458333,N2,0.4162,0.2747,0.2882,0.3311,joyful,0.382,0.0
0.466667,N3,0.3077,0.1799,0.1648,0.2842,neutral,0.35,0.0
0.475,N3,0.3129,0.2104,0.2156,0.3086,serene,0.35,0.0
0.483333,N3,0.2912,0.1977,0.189,0.2649,curious,0.35,0.0
0.491667,N3,0.2987,0.1839,0.2078,0.3038,joyful,0.35,0.0
0.5,N3,0.3047,0.1886,0.1874,0.3182,melancholic,0.35,0.0
