time_hours,node_id,node_label,activation
0.0,mem::joy,joy,0.3959
0.0,mem::recurring_journey,recurring_journey,0.3884
0.0,mem::falling,falling,0.3866
0.0,mem::childhood_home,childhood_home,0.3751
0.0,mem::bright_light,bright_light,0.3568
0.0,mem::being_chased,being_chased,0.3183
0.0,mem::wonder,wonder,0.3033
0.0,mem::being_late,being_late,0.2796
0.0,event::had_a_long_meeting,had a long meeting,0.2574
0.0,mem::loud_crowd,loud_crowd,0.2422
0.0,mem::school_corridor,school_corridor,0.2372
0.0,mem::dread,dread,0.234
0.083333,mem::joy,joy,0.5827
0.083333,mem::bright_light,bright_light,0.5606
0.083333,mem::wonder,wonder,0.5307
0.083333,event::had_a_long_meeting,had a long meeting,0.5049
0.083333,mem::flying,flying,0.4905
0.083333,mem::familiar_face,familiar_face,0.456
0.083333,mem::recurring_journey,recurring_journey,0.3634
0.083333,mem::falling,falling,0.3616
0.083333,mem::childhood_home,childhood_home,0.3509
0.083333,mem::being_chased,being_chased,0.2978
0.083333,mem::being_late,being_late,0.2616
0.083333,mem::loud_crowd,loud_crowd,0.2266
0.166667,mem::joy,joy,0.6196
0.166667,mem::bright_light,bright_light,0.6038
0.166667,mem::wonder,wonder,0.5821
0.166667,event::had_a_long_meeting,had a long meeting,0.5633
0.166667,mem::flying,flying,0.5529
0.166667,mem::familiar_face,familiar_face,0.5278
0.166667,mem::falling,falling,0.5174
0.166667,mem::childhood_home,childhood_home,0.5107
0.166667,mem::being_chased,being_chased,0.4768
0.166667,mem::being_late,being_late,0.4538
0.166667,mem::loud_crowd,loud_crowd,0.4313
0.166667,mem::school_corridor,school_corridor,0.4283
0.25,mem::joy,joy,0.6472
0.25,mem::bright_light,bright_light,0.6356
0.25,mem::wonder,wonder,0.62
0.25,event::had_a_long_meeting,had a long meeting,0.6063
0.25,mem::flying,flying,0.5988
0.25,mem::familiar_face,familiar_face,0.5807
0.25,mem::falling,falling,0.5805
0.25,mem::childhood_home,childhood_home,0.5756
0.25,mem::being_chased,being_chased,0.5511
0.25,mem::being_late,being_late,0.5344
0.25,mem::loud_crowd,loud_crowd,0.5181
0.25,mem::school_corridor,school_corridor,0.5159
0.333333,mem::falling,falling,0.7337
0.333333,mem::childhood_home,childhood_home,0.7316
0.333333,mem::being_chased,being_chased,0.721
0.333333,mem::being_late,being_late,0.7137
0.333333,mem::loud_crowd,loud_crowd,0.7068
0.333333,mem::school_corridor,school_corridor,0.7057
0.333333,mem::dread,dread,0.7053
0.333333,mem::teeth_loosening,teeth_loosening,0.7011
0.333333,mem::cold_water,cold_water,0.6974
0.333333,mem::grief,grief,0.6837
0.333333,mem::joy,joy,0.6677
0.333333,mem::bright_light,bright_light,0.6594
0.416667,mem::falling,falling,0.7531
0.416667,mem::childhood_home,childhood_home,0.7517
0.416667,mem::being_chased,being_chased,0.7449
0.416667,mem::being_late,being_late,0.7403
0.416667,mem::loud_crowd,loud_crowd,0.7359
0.416667,mem::school_corridor,school_corridor,0.7353
0.416667,mem::dread,dread,0.7349
0.416667,mem::teeth_loosening,teeth_loosening,0.7322
0.416667,mem::cold_water,cold_water,0.73
0.416667,mem::grief,grief,0.7212
0.416667,mem::joy,joy,0.6886
0.416667,mem::bright_light,bright_light,0.6826
0.5,mem::falling,falling,0.7253
0.5,mem::childhood_home,childhood_home,0.7243
0.5,mem::being_chased,being_chased,0.7187
0.5,mem::being_late,being_late,0.7148
0.5,mem::loud_crowd,loud_crowd,0.711
0.5,mem::school_corridor,school_corridor,0.7107
0.5,mem::dread,dread,0.7104
0.5,mem::teeth_loosening,teeth_loosening,0.7082
0.5,mem::cold_water,cold_water,0.7062
0.5,mem::joy,joy,0.7045
0.5,mem::bright_light,bright_light,0.7002
0.5,mem::grief,grief,0.6991
0.583333,mem::falling,falling,0.8075
0.583333,mem::childhood_home,childhood_home,0.8071
0.583333,mem::being_chased,being_chased,0.805
0.583333,mem::being_late,being_late,0.8035
0.583333,mem::loud_crowd,loud_crowd,0.802
0.583333,mem::school_corridor,school_corridor,0.8019
0.583333,mem::dread,dread,0.8017
0.583333,mem::teeth_loosening,teeth_loosening,0.8009
0.583333,mem::cold_water,cold_water,0.8001
0.583333,mem::grief,grief,0.7974
0.583333,mem::joy,joy,0.7141
0.583333,mem::bright_light,bright_light,0.7109
0.666667,mem::falling,falling,0.8122
0.666667,mem::childhood_home,childhood_home,0.8121
0.666667,mem::being_chased,being_chased,0.8109
0.666667,mem::being_late,being_late,0.81
0.666667,mem::loud_crowd,loud_crowd,0.8093
0.666667,mem::school_corridor,school_corridor,0.8092
0.666667,mem::dread,dread,0.809
0.666667,mem::teeth_loosening,teeth_loosening,0.8087
0.666667,mem::cold_water,cold_water,0.8082
0.666667,mem::grief,grief,0.8065
0.666667,mem::joy,joy,0.7198
0.666667,mem::bright_light,bright_light,0.7174
0.75,mem::falling,falling,0.7768
0.75,mem::childhood_home,childhood_home,0.7767
0.75,mem::being_chased,being_chased,0.7757
0.75,mem::being_late,being_late,0.775
0.75,mem::loud_crowd,loud_crowd,0.7745
0.75,mem::school_corridor,school_corridor,0.7744
0.75,mem::dread,dread,0.7742
0.75,mem::teeth_loosening,teeth_loosening,0.774
0.75,mem::cold_water,cold_water,0.7735
0.75,mem::grief,grief,0.7721
0.75,mem::joy,joy,0.7232
0.75,mem::bright_light,bright_light,0.7216
0.833333,mem::falling,falling,0.7887
0.833333,mem::childhood_home,childhood_home,0.7886
0.833333,mem::being_chased,being_chased,0.788
0.833333,mem::being_late,being_late,0.7877
0.833333,mem::loud_crowd,loud_crowd,0.7874
0.833333,mem::school_corridor,school_corridor,0.7873
0.833333,mem::dread,dread,0.7872
