time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5298,0.2921,0.2707,0.3567,neutral,0.385,0.0
0.008333,N1,0.4946,0.3096,0.278,0.3487,neutral,0.295,0.0
0.016667,N1,0.5265,0.2584,0.2893,0.3462,joyful,0.35,0.0
0.025,N1,0.4877,0.2915,0.2714,0.3276,curious,0.367,0.0
0.033333,N1,0.5082,0.2595,0.3073,0.3459,fearful,0.34,0.0
0.041667,N1,0.5259,0.2763,0.304,0.3434,curious,0.36,0.0
0.05,N1,0.5215,0.2823,0.2952,0.3153,serene,0.359,0.0
0.058333,N1,0.4776,0.2888,0.2874,0.3448,anxious,0.35,0.0
0.066667,N2,0.4788,0.2568,0.266,0.4056,neutral,0.46,0.0
0.075,N2,0.4382,0.272,0.2631,0.3515,joyful,0.347,0.0
0.083333,N2,0.4494,0.2437,0.2779,0.312,joyful,0.408,0.0
0.091667,N2,0.4268,0.2561,0.2473,0.3191,curious,0.412,0.0
0.1,N2,0.4491,0.226,0.2868,0.353,fearful,0.387,0.0
0.108333,N2,0.4458,0.2766,0.2892,0.3292,joyful,0.366,0.0
0.116667,N2,0.4223,0.2705,0.2735,0.3438,neutral,0.425,0.0
0.125,N2,0.4562,0.2492,0.2714,0.3748,joyful,0.337,0.0
0.133333,N2,0.4211,0.2924,0.2629,0.3464,melancholic,0.386,0.0
0.141667,N2,0.4411,0.2564,0.2677,0.3642,serene,0.431,0.0
0.15,N2,0.4436,0.2111,0.2594,0.3382,neutral,0.42,0.0
0.158333,N2,0.4314,0.2549,0.2841,0.343,joyful,0.388,0.0
0.166667,N2,0.4493,0.2474,0.2948,0.3322,fearful,0.35,0.0
0.175,N2,0.4499,0.2287,0.2957,0.3183,curious,0.421,0.0
0.183333,N2,0.4706,0.263,0.2683,0.3324,joyful,0.407,0.0
0.191667,N2,0.456,0.2512,0.2893,0.3299,neutral,0.409,0.0
0.2,N2,0.4703,0.2718,0.2693,0.3352,melancholic,0.365,0.0
