time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4912,0.3183,0.2723,0.376,anxious,0.424,0.0
0.008333,N1,0.4783,0.2945,0.2686,0.3393,melancholic,0.357,0.0
0.016667,N1,0.4829,0.2981,0.2974,0.3337,melancholic,0.41,0.0
0.025,N1,0.4958,0.2966,0.2952,0.3623,neutral,0.379,0.0
0.033333,N1,0.4824,0.2969,0.3382,0.352,fearful,0.397,0.0
0.041667,N1,0.4946,0.313,0.3023,0.3585,joyful,0.427,0.0
0.05,N1,0.5061,0.2687,0.2697,0.3414,anxious,0.428,0.0
0.058333,N1,0.5132,0.3006,0.2903,0.3645,anxious,0.432,0.0
0.066667,N1,0.4787,0.2687,0.3032,0.3323,anxious,0.43,0.0
0.075,N1,0.4849,0.2789,0.3138,0.3407,neutral,0.456,0.0
0.083333,N1,0.5025,0.3073,0.2774,0.3461,anxious,0.431,0.0
0.091667,N1,0.5347,0.3327,0.2835,0.3656,anxious,0.464,0.0
0.1,N2,0.473,0.3124,0.2855,0.3689,melancholic,0.436,0.0
0.108333,N2,0.4558,0.2642,0.2949,0.31,anxious,0.477,0.0
0.116667,N2,0.4323,0.2818,0.3122,0.3533,anxious,0.461,0.0
0.125,N2,0.4294,0.2259,0.2721,0.3498,anxious,0.472,0.0
0.133333,N2,0.4393,0.2702,0.2817,0.3123,melancholic,0.47,0.0
0.141667,N2,0.4481,0.302,0.2743,0.3391,fearful,0.469,0.0
0.15,N2,0.463,0.265,0.2819,0.3196,fearful,0.478,0.0
0.158333,N2,0.4931,0.2875,0.2771,0.3459,serene,0.525,0.0
0.166667,N2,0.4452,0.2642,0.278,0.3479,anxious,0.455,0.0
0.175,N2,0.4606,0.2797,0.2817,0.3169,anxious,0.451,0.0
0.183333,N2,0.4656,0.272,0.2527,0.33,curious,0.505,0.0
0.191667,N2,0.4754,0.2663,0.3401,0.3489,curious,0.457,0.0
0.2,N2,0.4501,0.2844,0.2845,0.3154,anxious,0.424,0.0
0.208333,N2,0.4471,0.2419,0.3048,0.3228,anxious,0.465,0.0
0.216667,N2,0.451,0.2823,0.3017,0.3074,anxious,0.435,0.0
0.225,N2,0.4555,0.3002,0.2806,0.2901,anxious,0.499,0.0
0.233333,N2,0.4716,0.2708,0.2752,0.3371,anxious,0.503,0.0
0.241667,N2,0.453,0.2898,0.2955,0.3253,serene,0.531,0.0
0.25,N2,0.4461,0.2657,0.2657,0.342,anxious,0.477,0.0
0.258333,N2,0.4655,0.2823,0.2645,0.3507,melancholic,0.45,0.0
0.266667,N2,0.4573,0.2566,0.2558,0.333,anxious,0.522,0.0
0.275,N2,0.4622,0.2796,0.3094,0.3339,fearful,0.457,0.0
0.283333,N2,0.44,0.2818,0.302,0.329,anxious,0.449,0.0
0.291667,N2,0.4394,0.2826,0.266,0.3289,anxious,0.456,0.0
0.3,N2,0.4393,0.2561,0.2707,0.3136,anxious,0.44,0.0
0.308333,N2,0.4642,0.2698,0.2837,0.2846,anxious,0.526,0.0
0.316667,N2,0.4449,0.2635,0.2701,0.3366,anxious,0.489,0.0
0.325,N2,0.4348,0.2808,0.274,0.3233,curious,0.468,0.0
0.333333,N2,0.4172,0.3095,0.3315,0.3587,curious,0.464,0.0
0.341667,N2,0.4345,0.2401,0.2917,0.3233,fearful,0.443,0.0
0.35,N2,0.4692,0.2758,0.2956,0.303,joyful,0.492,0.0
0.358333,N2,0.4551,0.299,0.2965,0.3238,anxious,0.488,0.0
0.366667,N2,0.449,0.2733,0.2919,0.3868,anxious,0.505,0.0
0.375,N2,0.4693,0.3015,0.2936,0.328,anxious,0.481,0.0
0.383333,N2,0.4623,0.2448,0.2591,0.2933,anxious,0.508,0.0
0.391667,N2,0.4595,0.265,0.3244,0.333,curious,0.43,0.0
0.4,N2,0.4368,0.2658,0.2854,0.329,anxious,0.469,0.0
0.408333,N2,0.4287,0.2605,0.2894,0.2625,melancholic,0.456,0.0
0.416667,N2,0.4093,0.2879,0.3156,0.2998,anxious,0.422,0.0
0.425,N2,0.4419,0.2887,0.2997,0.3188,serene,0.484,0.0
0.433333,N2,0.4626,0.2661,0.2546,0.3283,melancholic,0.508,0.0
0.441667,N2,0.4392,0.3194,0.2937,0.3337,anxious,0.424,0.0
0.45,N3,0.2841,0.2114,0.19,0.2705,melancholic,0.35,0.0
0.458333,N3,0.2606,0.2283,0.2112,0.3144,anxious,0.35,0.0
0.466667,N3,0.3082,0.1995,0.21,0.319,fearful,0.35,0.0
0.475,N3,0.2817,0.219,0.2051,0.2836,fearful,0.35,0.0
0.483333,N3,0.3066,0.1939,0.1803,0.3069,curious,0.35,0.0
0.491667,N3,0.2717,0.2047,0.1949,0.274,anxious,0.35,0.0
0.5,N3,0.3067,0.2042,0.2004,0.3039,fearful,0.35,0.0
0.508333,N3,0.3246,0.212,0.1482,0.2822,fearful,0.35,0.0
0.516667,N3,0.2957,0.1807,0.2161,0.2806,melancholic,0.35,0.0
0.525,N3,0.3267,0.2228,0.2358,0.2994,melancholic,0.35,0.0
0.533333,N3,0.3195,0.1516,0.1571,0.2824,anxious,0.35,0.0
0.541667,N3,0.3213,0.2051,0.2136,0.3005,fearful,0.35,0.0
0.55,N3,0.3009,0.2256,0.1925,0.303,serene,0.35,0.0
0.558333,N3,0.3,0.1905,0.2396,0.2874,joyful,0.35,0.0
0.566667,N3,0.2894,0.1854,0.2196,0.3043,anxious,0.35,0.0
0.575,N3,0.2828,0.1666,0.2148,0.3094,anxious,0.35,0.0
0.583333,N3,0.3142,0.1886,0.1851,0.2781,anxious,0.35,0.0
0.591667,N3,0.2894,0.1902,0.164,0.3056,anxious,0.35,0.0
0.6,N3,0.3064,0.202,0.1891,0.2961,anxious,0.35,0.0
0.608333,N3,0.2895,0.1996,0.1917,0.3483,anxious,0.35,0.0
0.616667,N3,0.2767,0.1669,0.2129,0.2704,anxious,0.35,0.0
0.625,N3,0.2814,0.2354,0.1935,0.3067,anxious,0.35,0.0
0.633333,N3,0.3067,0.1769,0.2029,0.3213,anxious,0.35,0.0
0.641667,N3,0.2976,0.1988,0.2552,0.2523,anxious,0.35,0.0
0.65,N3,0.3287,0.1481,0.1633,0.2793,melancholic,0.35,0.0
0.658333,N3,0.3107,0.2029,0.1335,0.2912,anxious,0.35,0.0
0.666667,N3,0.3294,0.201,0.231,0.2911,melancholic,0.35,0.0
0.675,N3,0.3183,0.1625,0.219,0.3099,anxious,0.35,0.0
0.683333,N3,0.2962,0.2109,0.1875,0.2792,anxious,0.35,0.0
0.691667,N3,0.3415,0.2075,0.1982,0.3201,melancholic,0.35,0.0
0.7,N3,0.2674,0.1873,0.1929,0.3216,anxious,0.35,0.0
0.708333,N3,0.2805,0.2059,0.2289,0.3071,anxious,0.35,0.0
0.716667,N3,0.2491,0.1892,0.2158,0.3023,neutral,0.35,0.0
0.725,N3,0.3346,0.2035,0.1978,0.288,fearful,0.35,0.0
0.733333,N3,0.2874,0.2032,0.1702,0.2548,anxious,0.35,0.0
0.741667,N3,0.3036,0.2238,0.1992,0.3141,anxious,0.35,0.0
0.75,N3,0.2653,0.2246,0.1714,0.2698,serene,0.35,0.0
0.758333,N3,0.3034,0.1831,0.2274,0.3049,fearful,0.35,0.0
0.766667,N3,0.3265,0.2022,0.1962,0.2956,anxious,0.35,0.0
0.775,N3,0.2743,0.1944,0.1891,0.329,joyful,0.35,0.0
0.783333,N3,0.3115,0.1772,0.1916,0.2997,anxious,0.35,0.0
0.791667,N3,0.2561,0.1856,0.1783,0.2737,anxious,0.35,0.0
0.8,N3,0.3156,0.2458,0.1707,0.2803,joyful,0.35,0.0
0.808333,N3,0.3003,0.2112,0.2247,0.2649,anxious,0.35,0.0
0.816667,N3,0.3225,0.2051,0.2005,0.2928,melancholic,0.35,0.0
0.825,N3,0.2838,0.15,0.1728,0.2522,anxious,0.35,0.0
0.833333,N3,0.3055,0.2001,0.2577,0.2418,fearful,0.35,0.0
0.841667,N3,0.3028,0.2058,0.1713,0.2426,anxious,0.35,0.0
0.85,N3,0.3166,0.2473,0.2034,0.2931,anxious,0.35,0.0
0.858333,N3,0.2932,0.2077,0.206,0.2791,anxious,0.35,0.0
0.866667,N3,0.2967,0.2082,0.2208,0.2907,melancholic,0.35,0.0
0.875,N3,0.3346,0.2275,0.214,0.288,curious,0.35,0.0
0.883333,N3,0.3233,0.1918,0.2382,0.3143,anxious,0.35,0.0
0.891667,N3,0.3408,0.2135,0.2043,0.2803,serene,0.35,0.0
0.9,N3,0.2956,0.1959,0.2097,0.2696,anxious,0.35,0.0
0.908333,N3,0.3193,0.1564,0.1639,0.2823,joyful,0.35,0.0
0.916667,N3,0.2762,0.1772,0.202,0.2622,melancholic,0.35,0.0
