time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4848,0.3584,0.3247,0.344,fearful,0.419,0.0
0.008333,N1,0.5188,0.3449,0.3055,0.3388,joyful,0.461,0.0
0.016667,N1,0.4952,0.3536,0.3075,0.3435,anxious,0.435,0.0
0.025,N1,0.5166,0.361,0.2818,0.3195,anxious,0.438,0.0
0.033333,N1,0.5067,0.3631,0.3127,0.3443,neutral,0.478,0.0
0.041667,N1,0.5156,0.379,0.3293,0.3551,melancholic,0.454,0.0
0.05,N1,0.4818,0.3614,0.289,0.3486,curious,0.373,0.0
0.058333,N1,0.5079,0.3575,0.3065,0.3519,anxious,0.402,0.0
0.066667,N1,0.491,0.3793,0.3229,0.388,melancholic,0.475,0.0
0.075,N1,0.4949,0.3393,0.306,0.308,neutral,0.45,0.0
0.083333,N2,0.4483,0.3747,0.2708,0.3419,joyful,0.461,0.0
0.091667,N2,0.4595,0.3273,0.2797,0.3778,joyful,0.457,0.0
0.1,N2,0.4509,0.3065,0.3121,0.3185,neutral,0.422,0.0
0.108333,N2,0.44,0.3625,0.264,0.3806,curious,0.459,0.0
0.116667,N2,0.4293,0.3057,0.2493,0.3659,anxious,0.496,0.0
0.125,N2,0.4202,0.3399,0.2717,0.3559,anxious,0.455,0.0
0.133333,N2,0.4208,0.3452,0.2713,0.3343,melancholic,0.441,0.0
0.141667,N2,0.4681,0.3408,0.3024,0.3068,anxious,0.452,0.0
0.15,N2,0.4577,0.3456,0.2759,0.3332,anxious,0.441,0.0
0.158333,N2,0.4658,0.3542,0.2731,0.2921,anxious,0.508,0.0
0.166667,N2,0.4639,0.3261,0.2586,0.3281,joyful,0.432,0.0
0.175,N2,0.3979,0.3086,0.3043,0.3225,melancholic,0.433,0.0
0.183333,N2,0.4871,0.3453,0.3057,0.3462,melancholic,0.496,0.0
0.191667,N2,0.4435,0.3062,0.2923,0.3262,anxious,0.505,0.0
0.2,N2,0.4166,0.2943,0.3081,0.3152,melancholic,0.44,0.0
0.208333,N2,0.4559,0.3035,0.301,0.3075,fearful,0.472,0.0
0.216667,N2,0.447,0.3455,0.2715,0.3297,neutral,0.489,0.0
0.225,N2,0.4362,0.3423,0.2895,0.3365,anxious,0.445,0.0
0.233333,N2,0.4426,0.3684,0.2484,0.3332,melancholic,0.479,0.0
0.241667,N2,0.4284,0.3472,0.2603,0.3365,anxious,0.46,0.0
0.25,N2,0.4427,0.3619,0.2737,0.3406,serene,0.443,0.0
0.258333,N2,0.4606,0.3046,0.2934,0.3363,fearful,0.497,0.0
0.266667,N2,0.4834,0.3857,0.2518,0.313,fearful,0.475,0.0
0.275,N2,0.444,0.3087,0.2993,0.3251,anxious,0.491,0.0
