time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4849,0.2972,0.3122,0.3616,neutral,0.422,0.0
0.008333,N1,0.4934,0.2607,0.3087,0.3389,anxious,0.384,0.0
0.016667,N1,0.473,0.2943,0.2616,0.3569,neutral,0.413,0.0
0.025,N1,0.5253,0.302,0.2893,0.3911,melancholic,0.453,0.0
0.033333,N1,0.5473,0.2767,0.2968,0.314,fearful,0.435,0.0
0.041667,N1,0.4867,0.3428,0.3428,0.3468,neutral,0.39,0.0
0.05,N1,0.5077,0.2977,0.3138,0.3434,joyful,0.398,0.0
0.058333,N1,0.4618,0.27,0.3298,0.3489,melancholic,0.397,0.0
0.066667,N1,0.5155,0.3379,0.2858,0.3462,curious,0.409,0.0
0.075,N1,0.5203,0.2579,0.3275,0.3292,joyful,0.421,0.0
0.083333,N2,0.4311,0.2849,0.2828,0.3422,anxious,0.45,0.0
0.091667,N2,0.4757,0.2858,0.2701,0.3737,joyful,0.45,0.0
0.1,N2,0.4439,0.256,0.2506,0.3061,melancholic,0.45,0.0
0.108333,N2,0.4497,0.3022,0.2837,0.3341,joyful,0.45,0.0
0.116667,N2,0.4624,0.2869,0.3012,0.3324,melancholic,0.45,0.0
0.125,N2,0.4786,0.2713,0.2663,0.3015,serene,0.45,0.0
0.133333,N2,0.4397,0.2817,0.299,0.3229,neutral,0.45,0.0
0.141667,N2,0.4282,0.2876,0.2532,0.3224,curious,0.45,0.0
0.15,N2,0.4207,0.2971,0.2813,0.324,joyful,0.45,0.0
0.158333,N2,0.4407,0.2489,0.3101,0.3803,curious,0.45,0.0
0.166667,N2,0.4571,0.2647,0.242,0.3183,neutral,0.45,0.0
0.175,N2,0.458,0.258,0.2629,0.3312,serene,0.45,0.0
0.183333,N2,0.4657,0.2508,0.2552,0.3084,serene,0.45,0.0
0.191667,N2,0.4734,0.2943,0.277,0.3214,joyful,0.45,0.0
0.2,N2,0.4843,0.2823,0.2255,0.3295,neutral,0.45,0.0
0.208333,N2,0.4333,0.2751,0.2701,0.3253,curious,0.45,0.0
0.216667,N2,0.4423,0.3131,0.2714,0.307,curious,0.45,0.0
0.225,N2,0.4792,0.3083,0.2508,0.2645,neutral,0.45,0.0
0.233333,N2,0.4402,0.2822,0.2619,0.336,neutral,0.45,0.0
0.241667,N2,0.4149,0.3095,0.2911,0.3232,neutral,0.45,0.0
0.25,N2,0.4854,0.3061,0.3037,0.2941,neutral,0.45,0.0
0.258333,N2,0.4101,0.2489,0.287,0.3704,fearful,0.427,0.0
0.266667,N2,0.4311,0.2621,0.3076,0.33,joyful,0.45,0.0
0.275,N2,0.4677,0.314,0.2892,0.342,joyful,0.415,0.0
0.283333,N2,0.4578,0.2602,0.285,0.3229,anxious,0.45,0.0
0.291667,N2,0.4618,0.2856,0.3119,0.3296,curious,0.45,0.0
0.3,N2,0.4301,0.2839,0.2761,0.3357,neutral,0.45,0.0
0.308333,N2,0.4485,0.2853,0.3022,0.3435,fearful,0.45,0.0
0.316667,N2,0.4578,0.2708,0.2652,0.2944,neutral,0.45,0.0
0.325,N2,0.4432,0.2519,0.2406,0.3413,neutral,0.45,0.0
0.333333,N2,0.4719,0.3023,0.3057,0.3331,curious,0.45,0.0
0.341667,N2,0.4504,0.2711,0.272,0.3068,anxious,0.45,0.0
0.35,N3,0.3016,0.2238,0.1953,0.3273,joyful,0.3,0.0
0.358333,N3,0.2832,0.2096,0.2242,0.3552,neutral,0.3,0.0
0.366667,N3,0.2696,0.1837,0.2289,0.3242,joyful,0.292,0.0
0.375,N3,0.3251,0.1457,0.1935,0.2735,joyful,0.3,0.0
0.383333,N3,0.2845,0.1807,0.1976,0.3197,melancholic,0.3,0.0
0.391667,N3,0.3024,0.1864,0.1841,0.3237,neutral,0.3,0.0
0.4,N3,0.2499,0.2251,0.2335,0.3236,curious,0.3,0.0
0.408333,N3,0.3187,0.1562,0.2469,0.3157,anxious,0.3,0.0
0.416667,N3,0.2837,0.1884,0.1879,0.3451,curious,0.3,0.0
0.425,N3,0.3275,0.1859,0.2164,0.3032,fearful,0.3,0.0
0.433333,N3,0.2838,0.2172,0.2017,0.304,serene,0.3,0.0
0.441667,N3,0.3092,0.1847,0.1699,0.3013,melancholic,0.3,0.0
0.45,N3,0.2842,0.1614,0.2031,0.3006,neutral,0.3,0.0
0.458333,N3,0.3156,0.158,0.1921,0.3384,neutral,0.3,0.0
0.466667,N3,0.3018,0.1943,0.1947,0.3308,neutral,0.3,0.0
0.475,N3,0.3196,0.1899,0.219,0.3169,joyful,0.3,0.0
0.483333,N3,0.2743,0.2255,0.217,0.3145,anxious,0.3,0.0
0.491667,N3,0.3143,0.2043,0.1948,0.3234,neutral,0.3,0.0
0.5,N3,0.2959,0.206,0.2255,0.3414,neutral,0.3,0.0
0.508333,N3,0.3091,0.2401,0.1954,0.2771,neutral,0.3,0.0
0.516667,N3,0.2853,0.2373,0.2606,0.2948,joyful,0.3,0.0
0.525,N3,0.3152,0.2017,0.1911,0.3422,fearful,0.3,0.0
0.533333,N3,0.26,0.2263,0.2187,0.3135,anxious,0.3,0.0
0.541667,N3,0.2985,0.1742,0.1783,0.3356,neutral,0.3,0.0
0.55,N3,0.3249,0.2347,0.2235,0.2931,curious,0.3,0.0
0.558333,N3,0.3392,0.1667,0.1828,0.3172,neutral,0.3,0.0
0.566667,N3,0.3231,0.2051,0.1749,0.3225,joyful,0.3,0.0
0.575,N3,0.2796,0.2127,0.1914,0.3144,curious,0.3,0.0
0.583333,N3,0.2974,0.2363,0.2211,0.2824,curious,0.3,0.0
0.591667,N3,0.2608,0.1794,0.1832,0.3016,joyful,0.3,0.0
0.6,N3,0.2949,0.2291,0.2123,0.3186,curious,0.3,0.0
0.608333,N3,0.3051,0.1982,0.197,0.2981,melancholic,0.3,0.0
0.616667,N3,0.31,0.2087,0.1817,0.293,joyful,0.3,0.0
0.625,N3,0.3231,0.1962,0.1825,0.3152,serene,0.3,0.0
0.633333,N3,0.3087,0.2233,0.2165,0.277,melancholic,0.3,0.0
0.641667,N3,0.249,0.2024,0.1906,0.2831,joyful,0.3,0.0
0.65,N3,0.3109,0.1998,0.1818,0.3077,anxious,0.3,0.0
0.658333,N3,0.2971,0.2152,0.2087,0.2747,neutral,0.3,0.0
0.666667,N3,0.2832,0.1639,0.2044,0.2847,neutral,0.3,0.0
0.675,N3,0.3334,0.1796,0.2193,0.2823,melancholic,0.3,0.0
0.683333,N3,0.3027,0.2039,0.2314,0.3175,anxious,0.3,0.0
0.691667,N3,0.3144,0.1407,0.1871,0.2836,anxious,0.3,0.0
0.7,N3,0.2875,0.2097,0.2183,0.3108,curious,0.3,0.0
0.708333,N3,0.2619,0.1946,0.2094,0.2902,curious,0.3,0.0
0.716667,N3,0.2933,0.2003,0.1981,0.2763,curious,0.3,0.0
0.725,N3,0.3013,0.2078,0.2327,0.3025,anxious,0.3,0.0
0.733333,N3,0.3061,0.1863,0.1993,0.2535,fearful,0.3,0.0
0.741667,N3,0.29,0.1912,0.1645,0.2784,anxious,0.3,0.0
0.75,N3,0.3108,0.1683,0.1771,0.3254,joyful,0.3,0.0
0.758333,N3,0.3095,0.1795,0.205,0.317,joyful,0.3,0.0
0.766667,N3,0.2731,0.194,0.2049,0.287,neutral,0.3,0.0
0.775,N3,0.2863,0.1643,0.2211,0.2894,curious,0.3,0.0
0.783333,N3,0.2896,0.1928,0.1865,0.2863,neutral,0.3,0.0
0.791667,N3,0.3163,0.2352,0.1855,0.291,curious,0.3,0.0
0.8,N3,0.2799,0.2134,0.2126,0.3233,neutral,0.3,0.0
0.808333,N3,0.3556,0.1971,0.1969,0.2676,neutral,0.3,0.0
0.816667,N3,0.2692,0.2016,0.1643,0.3036,melancholic,0.3,0.0
0.825,N3,0.2998,0.2243,0.196,0.2842,anxious,0.3,0.0
0.833333,N3,0.3122,0.2104,0.2154,0.3085,neutral,0.3,0.0
0.841667,N3,0.3096,0.1971,0.2253,0.2325,curious,0.3,0.0
0.85,N3,0.3019,0.2439,0.1849,0.3129,neutral,0.3,0.0
0.858333,N3,0.2643,0.1832,0.203,0.2931,neutral,0.3,0.0
0.866667,N2,0.4369,0.2735,0.2942,0.3141,neutral,0.45,0.0
0.875,N2,0.4433,0.2465,0.2706,0.2556,curious,0.45,0.0
0.883333,N2,0.454,0.2455,0.2688,0.2891,neutral,0.45,0.0
0.891667,N2,0.4174,0.2575,0.2977,0.2734,joyful,0.45,0.0
0.9,N2,0.4548,0.2774,0.2532,0.2921,curious,0.45,0.0
0.908333,N2,0.4802,0.2853,0.2785,0.2863,curious,0.45,0.0
