time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5201,0.3172,0.2985,0.3303,neutral,0.362,0.0
0.083333,N2,0.4334,0.3067,0.2919,0.3411,curious,0.451,0.0
0.166667,N2,0.4121,0.2714,0.3134,0.3091,neutral,0.383,0.0
0.25,N2,0.4473,0.2808,0.291,0.3597,serene,0.391,0.0
0.333333,N2,0.4506,0.2784,0.3112,0.2967,neutral,0.469,0.0
0.416667,N3,0.3103,0.2214,0.2327,0.3065,neutral,0.35,0.0
0.5,N3,0.3098,0.1727,0.2006,0.2778,melancholic,0.35,0.0
0.583333,N3,0.2903,0.1762,0.1749,0.3135,neutral,0.35,0.0
0.666667,N3,0.2837,0.2018,0.2058,0.2877,anxious,0.35,0.0
0.75,N3,0.311,0.1756,0.1533,0.2951,neutral,0.35,0.0
0.833333,N3,0.3133,0.24,0.1884,0.2765,neutral,0.35,0.0
0.916667,N2,0.4536,0.2759,0.2787,0.2651,anxious,0.435,0.0
