time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4947,0.2972,0.3045,0.3689,neutral,0.423,0.0
0.008333,N1,0.5129,0.3201,0.2607,0.3168,neutral,0.358,0.0
0.016667,N1,0.5142,0.3215,0.2928,0.3312,curious,0.402,0.0
0.025,N1,0.4765,0.2986,0.255,0.3602,curious,0.345,0.0
0.033333,N1,0.5367,0.308,0.2833,0.3485,neutral,0.436,0.0
0.041667,N1,0.4964,0.3033,0.2787,0.3342,anxious,0.388,0.0
0.05,N1,0.4864,0.3064,0.2849,0.3323,joyful,0.337,0.0
0.058333,N1,0.5139,0.28,0.2872,0.3919,neutral,0.357,0.0
0.066667,N1,0.4766,0.2673,0.2914,0.3431,neutral,0.382,0.0
0.075,N1,0.5191,0.2835,0.3497,0.3265,curious,0.39,0.0
0.083333,N1,0.4932,0.3019,0.2425,0.2817,neutral,0.381,0.0
0.091667,N1,0.4865,0.3064,0.2898,0.3179,curious,0.317,0.0
0.1,N2,0.4407,0.2652,0.2736,0.3681,curious,0.376,0.0
0.108333,N2,0.4648,0.2771,0.2962,0.3518,joyful,0.417,0.0
0.116667,N2,0.4263,0.3211,0.2623,0.3432,neutral,0.405,0.0
0.125,N2,0.4458,0.275,0.2857,0.362,curious,0.436,0.0
0.133333,N2,0.4687,0.2706,0.2778,0.3222,neutral,0.427,0.0
0.141667,N2,0.4537,0.2632,0.2976,0.3465,neutral,0.47,0.0
0.15,N2,0.4772,0.3301,0.2599,0.3563,melancholic,0.416,0.0
0.158333,N2,0.4508,0.2899,0.301,0.3004,anxious,0.411,0.0
0.166667,N2,0.4476,0.2736,0.2416,0.3619,neutral,0.403,0.0
0.175,N2,0.4604,0.289,0.2676,0.3297,joyful,0.46,0.0
0.183333,N2,0.4591,0.2852,0.2728,0.3414,curious,0.387,0.0
0.191667,N2,0.4155,0.3153,0.2948,0.3484,melancholic,0.36,0.0
0.2,N2,0.4684,0.3069,0.2912,0.3438,neutral,0.42,0.0
0.208333,N2,0.459,0.2782,0.2534,0.3382,fearful,0.406,0.0
0.216667,N2,0.4609,0.2699,0.2618,0.3261,joyful,0.352,0.0
0.225,N2,0.431,0.2956,0.294,0.2851,curious,0.355,0.0
0.233333,N2,0.4315,0.2884,0.2677,0.3434,neutral,0.418,0.0
0.241667,N2,0.4359,0.2808,0.3139,0.3099,neutral,0.432,0.0
0.25,N2,0.421,0.2849,0.3172,0.3503,anxious,0.39,0.0
0.258333,N2,0.4576,0.2659,0.2739,0.3269,fearful,0.429,0.0
0.266667,N2,0.4483,0.2775,0.2815,0.3065,fearful,0.413,0.0
0.275,N2,0.452,0.2627,0.3018,0.3278,joyful,0.394,0.0
0.283333,N2,0.4267,0.2943,0.2841,0.3155,curious,0.406,0.0
0.291667,N2,0.4727,0.2564,0.2909,0.3051,neutral,0.398,0.0
0.3,N2,0.4317,0.2873,0.2652,0.3274,curious,0.391,0.0
0.308333,N2,0.4676,0.286,0.2576,0.3019,joyful,0.384,0.0
0.316667,N2,0.4344,0.2351,0.2595,0.2976,melancholic,0.448,0.0
0.325,N2,0.4127,0.2807,0.3006,0.3665,joyful,0.462,0.0
0.333333,N2,0.4315,0.2778,0.2985,0.3225,melancholic,0.406,0.0
0.341667,N2,0.4561,0.2667,0.2561,0.3403,anxious,0.428,0.0
0.35,N2,0.4334,0.3029,0.2566,0.3462,anxious,0.365,0.0
0.358333,N2,0.4504,0.3091,0.3057,0.3576,fearful,0.443,0.0
0.366667,N2,0.409,0.2937,0.28,0.3208,neutral,0.348,0.0
0.375,N2,0.4203,0.2783,0.2673,0.3024,neutral,0.403,0.0
0.383333,N2,0.4388,0.2523,0.2729,0.3058,melancholic,0.445,0.0
0.391667,N2,0.4369,0.2714,0.2772,0.2906,joyful,0.35,0.0
0.4,N3,0.304,0.2135,0.2137,0.2812,neutral,0.35,0.0
0.408333,N3,0.2979,0.1656,0.1804,0.2844,melancholic,0.336,0.0
0.416667,N3,0.302,0.2019,0.178,0.3285,joyful,0.35,0.0
0.425,N3,0.3041,0.1991,0.2264,0.3263,neutral,0.336,0.0
0.433333,N3,0.3236,0.1899,0.1916,0.2961,joyful,0.341,0.0
0.441667,N3,0.3045,0.2197,0.2379,0.3246,melancholic,0.336,0.0
0.45,N3,0.2931,0.182,0.2097,0.2667,neutral,0.35,0.0
0.458333,N3,0.3178,0.2108,0.1798,0.3221,serene,0.35,0.0
0.466667,N3,0.2645,0.2332,0.2188,0.3001,fearful,0.337,0.0
0.475,N3,0.3074,0.2088,0.2268,0.3098,anxious,0.319,0.0
0.483333,N3,0.318,0.1925,0.2337,0.2777,joyful,0.35,0.0
0.491667,N3,0.3116,0.2285,0.1522,0.2884,curious,0.35,0.0
0.5,N3,0.334,0.1772,0.1769,0.3064,joyful,0.35,0.0
0.508333,N3,0.2925,0.2024,0.2187,0.3037,curious,0.35,0.0
0.516667,N3,0.3151,0.1981,0.1736,0.3436,joyful,0.35,0.0
0.525,N3,0.3351,0.2241,0.2252,0.3256,joyful,0.35,0.0
0.533333,N3,0.2929,0.1566,0.1612,0.3053,anxious,0.35,0.0
0.541667,N3,0.3057,0.2234,0.2198,0.3155,fearful,0.336,0.0
0.55,N3,0.3033,0.2077,0.2291,0.2804,neutral,0.35,0.0
0.558333,N3,0.2963,0.2108,0.2009,0.2895,neutral,0.332,0.0
0.566667,N3,0.3388,0.2113,0.2358,0.3334,neutral,0.35,0.0
0.575,N3,0.3151,0.2004,0.2052,0.3122,joyful,0.35,0.0
0.583333,N3,0.2726,0.1839,0.182,0.3163,neutral,0.283,0.0
