time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.4729
0.0,mem::childhood_home,childhood_home,0.4441
0.0,mem::loud_crowd,loud_crowd,0.4172
0.0,mem::teeth_loosening,teeth_loosening,0.3925
0.0,mem::being_late,being_late,0.3828
0.0,mem::school_corridor,school_corridor,0.3678
0.0,event::design_discussion,design discussion,0.3462
0.0,mem::grief,grief,0.3413
0.0,mem::flying,flying,0.3376
0.0,mem::cold_water,cold_water,0.3189
0.0,mem::falling,falling,0.3026
0.0,mem::dread,dread,0.2995
0.833333,event::code_review,code review,0.3834
0.833333,mem::flying,flying,0.3295
0.833333,mem::joy,joy,0.3124
0.833333,mem::wonder,wonder,0.3044
0.833333,mem::bright_light,bright_light,0.2794
0.833333,mem::childhood_home,childhood_home,0.2698
0.833333,mem::loud_crowd,loud_crowd,0.2577
0.833333,mem::familiar_face,familiar_face,0.2464
0.833333,mem::teeth_loosening,teeth_loosening,0.2464
0.833333,mem::being_late,being_late,0.2422
0.833333,mem::school_corridor,school_corridor,0.2355
0.833333,event::design_discussion,design discussion,0.2257
