time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.491,0.3154,0.2884,0.3538,anxious,0.361,0.0
0.083333,N2,0.4555,0.2965,0.2679,0.3617,neutral,0.429,0.0
0.166667,N2,0.4246,0.2589,0.2843,0.3568,neutral,0.478,0.0
0.25,N2,0.4442,0.2692,0.2935,0.3038,melancholic,0.448,0.0
0.333333,N2,0.4386,0.2691,0.2508,0.3324,neutral,0.431,0.0
0.416667,N3,0.315,0.2119,0.2385,0.3505,curious,0.35,0.0
0.5,N3,0.2935,0.2099,0.2257,0.3248,curious,0.35,0.0
0.583333,N3,0.2785,0.207,0.2201,0.2898,curious,0.35,0.0
0.666667,N3,0.2995,0.1789,0.1509,0.3198,serene,0.35,0.0
0.75,N2,0.4352,0.2879,0.2968,0.3173,curious,0.468,0.0
0.833333,N2,0.4598,0.2565,0.2956,0.2866,joyful,0.46,0.0
0.916667,N2,0.4484,0.2966,0.2867,0.2577,joyful,0.445,0.0
