time_hours,node_id,node_label,activation
0.0,event::bright_light,bright_light,0.4963
0.0,event::joy,joy,0.4734
0.0,mem::joy,joy,0.452
0.0,mem::school_corridor,school_corridor,0.3583
0.0,mem::loud_crowd,loud_crowd,0.3411
0.0,mem::flying,flying,0.321
0.0,mem::dread,dread,0.2887
0.0,event::had_a_long_meeting,had a long meeting,0.2776
0.0,mem::bright_light,bright_light,0.2518
0.0,mem::cold_water,cold_water,0.2449
0.0,mem::familiar_face,familiar_face,0.2423
0.0,mem::falling,falling,0.2252
0.083333,event::bright_light,bright_light,0.5996
0.083333,event::joy,joy,0.5852
0.083333,mem::joy,joy,0.5715
0.083333,mem::flying,flying,0.4878
0.083333,mem::school_corridor,school_corridor,0.4598
0.083333,mem::loud_crowd,loud_crowd,0.4472
0.083333,mem::bright_light,bright_light,0.4436
0.083333,mem::familiar_face,familiar_face,0.4378
0.083333,mem::wonder,wonder,0.422
0.083333,mem::dread,dread,0.4092
0.083333,event::had_a_long_meeting,had a long meeting,0.4014
0.083333,mem::cold_water,cold_water,0.3778
0.166667,event::bright_light,bright_light,0.663
0.166667,event::joy,joy,0.6538
0.166667,mem::joy,joy,0.6451
0.166667,mem::flying,flying,0.5917
0.166667,mem::bright_light,bright_light,0.5635
0.166667,mem::familiar_face,familiar_face,0.5598
0.166667,mem::wonder,wonder,0.5497
0.166667,mem::school_corridor,school_corridor,0.5341
0.166667,mem::loud_crowd,loud_crowd,0.5251
0.166667,mem::dread,dread,0.4975
0.166667,event::had_a_long_meeting,had a long meeting,0.4919
0.166667,mem::cold_water,cold_water,0.4747
0.25,event::bright_light,bright_light,0.6519
0.25,event::joy,joy,0.6443
0.25,mem::joy,joy,0.6371
0.25,mem::flying,flying,0.5932
0.25,mem::bright_light,bright_light,0.5701
0.25,mem::familiar_face,familiar_face,0.567
0.25,mem::wonder,wonder,0.5586
0.25,mem::school_corridor,school_corridor,0.5501
0.25,mem::loud_crowd,loud_crowd,0.5427
0.25,mem::dread,dread,0.52
0.25,event::had_a_long_meeting,had a long meeting,0.5154
0.25,mem::cold_water,cold_water,0.5011
0.333333,event::bright_light,bright_light,0.7794
0.333333,event::joy,joy,0.7764
0.333333,mem::joy,joy,0.7737
0.333333,mem::flying,flying,0.7569
0.333333,mem::bright_light,bright_light,0.7482
0.333333,mem::familiar_face,familiar_face,0.7469
0.333333,mem::wonder,wonder,0.7437
0.333333,mem::school_corridor,school_corridor,0.6034
0.333333,mem::loud_crowd,loud_crowd,0.5981
0.333333,mem::dread,dread,0.5816
0.333333,event::had_a_long_meeting,had a long meeting,0.5783
0.333333,mem::cold_water,cold_water,0.568
0.416667,event::bright_light,bright_light,0.7808
0.416667,event::joy,joy,0.779
0.416667,mem::joy,joy,0.7773
0.416667,mem::flying,flying,0.7665
0.416667,mem::bright_light,bright_light,0.7609
0.416667,mem::familiar_face,familiar_face,0.7601
0.416667,mem::wonder,wonder,0.7581
0.416667,mem::school_corridor,school_corridor,0.6409
0.416667,mem::loud_crowd,loud_crowd,0.6371
0.416667,mem::dread,dread,0.6251
0.416667,event::had_a_long_meeting,had a long meeting,0.6227
0.416667,mem::cold_water,cold_water,0.6153
0.5,event::bright_light,bright_light,0.7965
0.5,event::joy,joy,0.7955
0.5,mem::joy,joy,0.7945
0.5,mem::flying,flying,0.7885
0.5,mem::bright_light,bright_light,0.7852
0.5,mem::familiar_face,familiar_face,0.7849
0.5,mem::wonder,wonder,0.7839
0.5,mem::school_corridor,school_corridor,0.6959
0.5,mem::loud_crowd,loud_crowd,0.6938
0.5,mem::dread,dread,0.6859
0.5,event::had_a_long_meeting,had a long meeting,0.6843
0.5,mem::cold_water,cold_water,0.6797
0.583333,event::bright_light,bright_light,0.7732
0.583333,event::joy,joy,0.7725
0.583333,mem::joy,joy,0.7717
0.583333,mem::flying,flying,0.7675
0.583333,mem::bright_light,bright_light,0.7649
0.583333,mem::familiar_face,familiar_face,0.7648
0.583333,mem::wonder,wonder,0.7642
0.583333,mem::school_corridor,school_corridor,0.7097
0.583333,mem::loud_crowd,loud_crowd,0.7082
0.583333,mem::dread,dread,0.7025
0.583333,event::had_a_long_meeting,had a long meeting,0.7013
0.583333,mem::cold_water,cold_water,0.6979
0.666667,event::bright_light,bright_light,0.78
0.666667,event::joy,joy,0.7795
0.666667,mem::joy,joy,0.7788
0.666667,mem::flying,flying,0.7762
0.666667,mem::bright_light,bright_light,0.7745
0.666667,mem::familiar_face,familiar_face,0.7744
0.666667,mem::wonder,wonder,0.7741
0.666667,mem::school_corridor,school_corridor,0.6904
0.666667,mem::loud_crowd,loud_crowd,0.6891
0.666667,mem::dread,dread,0.6844
0.666667,event::had_a_long_meeting,had a long meeting,0.6834
0.666667,mem::cold_water,cold_water,0.6806
0.75,event::bright_light,bright_light,0.8162
0.75,event::joy,joy,0.816
0.75,mem::joy,joy,0.8156
0.75,mem::flying,flying,0.8147
0.75,mem::bright_light,bright_light,0.8139
0.75,mem::familiar_face,familiar_face,0.8138
0.75,mem::wonder,wonder,0.8137
0.75,mem::school_corridor,school_corridor,0.7033
0.75,mem::loud_crowd,loud_crowd,0.7023
0.75,mem::dread,dread,0.6989
0.75,event::had_a_long_meeting,had a long meeting,0.6982
0.75,mem::cold_water,cold_water,0.6961
0.833333,event::bright_light,bright_light,0.8331
0.833333,event::joy,joy,0.833
0.833333,mem::joy,joy,0.8327
0.833333,mem::flying,flying,0.8323
0.833333,mem::bright_light,bright_light,0.8319
0.833333,mem::familiar_face,familiar_face,0.8318
0.833333,mem::wonder,wonder,0.8318
0.833333,mem::school_corridor,school_corridor,0.6872
0.833333,mem::loud_crowd,loud_crowd,0.6864
0.833333,mem::dread,dread,0.6836
0.833333,event::had_a_long_meeting,had a long meeting,0.683
0.833333,mem::cold_water,cold_water,0.6813
0.916667,event::bright_light,bright_light,0.8218
0.916667,event::joy,joy,0.8218
0.916667,mem::joy,joy,0.8216
0.916667,mem::flying,flying,0.8213
0.916667,mem::bright_light,bright_light,0.8211
0.916667,mem::familiar_face,familiar_face,0.821
0.916667,mem::wonder,wonder,0.821
0.916667,mem::school_corridor,school_corridor,0.6697
0.916667,mem::loud_crowd,loud_crowd,0.669
0.916667,mem::dread,dread,0.6667
0.916667,event::had_a_long_meeting,had a long meeting,0.6663
0.916667,mem::cold_water,cold_water,0.6649
