time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5024,0.2962,0.3544,0.3467,neutral,0.372,0.0
0.008333,N1,0.497,0.251,0.2854,0.3415,neutral,0.377,0.0
0.016667,N1,0.4625,0.2853,0.2897,0.3379,curious,0.356,0.0
0.025,N1,0.5122,0.36,0.2816,0.3538,serene,0.404,0.0
0.033333,N1,0.4979,0.2755,0.3298,0.3226,joyful,0.394,0.0
0.041667,N1,0.491,0.3061,0.3174,0.3518,anxious,0.372,0.0
0.05,N1,0.5167,0.2947,0.3071,0.3626,neutral,0.387,0.0
0.058333,N1,0.5018,0.3025,0.3042,0.3361,joyful,0.307,0.0
0.066667,N1,0.474,0.3001,0.2825,0.3421,anxious,0.36,0.0
0.075,N1,0.5197,0.273,0.2842,0.3328,curious,0.376,0.0
0.083333,N2,0.4814,0.2605,0.2367,0.3284,neutral,0.435,0.0
0.091667,N2,0.4618,0.2673,0.3016,0.3378,curious,0.377,0.0
0.1,N2,0.4358,0.2695,0.2772,0.3396,curious,0.405,0.0
0.108333,N2,0.4838,0.2848,0.285,0.3475,joyful,0.495,0.0
0.116667,N2,0.4606,0.2596,0.278,0.345,anxious,0.355,0.0
0.125,N2,0.458,0.2683,0.2438,0.3476,neutral,0.386,0.0
0.133333,N2,0.4588,0.2926,0.2541,0.3477,serene,0.393,0.0
0.141667,N2,0.4305,0.2903,0.2544,0.3531,fearful,0.458,0.0
0.15,N2,0.4448,0.2987,0.2679,0.3322,melancholic,0.404,0.0
0.158333,N2,0.4607,0.2817,0.2775,0.3412,joyful,0.43,0.0
0.166667,N2,0.4569,0.2917,0.2811,0.3318,joyful,0.393,0.0
0.175,N2,0.4216,0.2814,0.2481,0.3439,curious,0.412,0.0
0.183333,N2,0.442,0.2681,0.3474,0.3296,melancholic,0.365,0.0
0.191667,N2,0.4363,0.2637,0.287,0.3449,anxious,0.378,0.0
0.2,N2,0.47,0.3089,0.3036,0.3554,curious,0.385,0.0
0.208333,N2,0.4562,0.3015,0.2479,0.3615,neutral,0.35,0.0
0.216667,N2,0.4251,0.2727,0.2847,0.346,neutral,0.384,0.0
0.225,N2,0.4538,0.2666,0.3263,0.2941,melancholic,0.393,0.0
0.233333,N2,0.4377,0.2578,0.278,0.343,curious,0.438,0.0
0.241667,N2,0.4722,0.2664,0.2702,0.3613,serene,0.409,0.0
0.25,N2,0.4518,0.3194,0.2935,0.3472,neutral,0.423,0.0
0.258333,N2,0.4246,0.3032,0.2911,0.321,joyful,0.425,0.0
0.266667,N2,0.4706,0.2772,0.2761,0.3022,melancholic,0.351,0.0
0.275,N2,0.4553,0.3151,0.2518,0.3005,joyful,0.406,0.0
0.283333,N2,0.469,0.2853,0.2839,0.3082,anxious,0.366,0.0
0.291667,N2,0.4796,0.2668,0.2807,0.3172,joyful,0.4,0.0
0.3,N2,0.4691,0.2832,0.2581,0.3326,curious,0.458,0.0
0.308333,N2,0.4429,0.31,0.2739,0.3307,curious,0.341,0.0
0.316667,N2,0.4768,0.2803,0.3166,0.3119,anxious,0.407,0.0
0.325,N2,0.4666,0.2731,0.2947,0.3503,anxious,0.377,0.0
0.333333,N2,0.4347,0.294,0.2707,0.2869,neutral,0.411,0.0
0.341667,N2,0.4606,0.2997,0.2758,0.3138,joyful,0.423,0.0
0.35,N3,0.2929,0.2105,0.1995,0.3075,serene,0.35,0.0
0.358333,N3,0.3036,0.1823,0.2075,0.3553,neutral,0.334,0.0
0.366667,N3,0.309,0.2277,0.1945,0.3526,melancholic,0.326,0.0
0.375,N3,0.3358,0.2007,0.1681,0.3294,joyful,0.35,0.0
0.383333,N3,0.2906,0.2368,0.2447,0.3633,neutral,0.323,0.0
0.391667,N3,0.2529,0.2142,0.2265,0.3285,curious,0.35,0.0
