time_hours,node_id,node_label,activation
0.0,mem::being_chased,being_chased,0.3746
0.0,mem::loud_crowd,loud_crowd,0.3686
0.0,mem::childhood_home,childhood_home,0.3556
0.0,mem::cold_water,cold_water,0.3417
0.0,mem::school_corridor,school_corridor,0.3317
0.0,mem::being_late,being_late,0.3148
0.0,mem::flying,flying,0.3138
0.0,mem::wonder,wonder,0.2975
0.0,mem::dread,dread,0.2357
0.0,event::had_a_long_meeting,had a long meeting,0.2216
0.0,mem::joy,joy,0.2208
0.0,mem::familiar_face,familiar_face,0.2008
0.083333,mem::childhood_home,childhood_home,0.9934
0.083333,mem::school_corridor,school_corridor,0.9934
0.083333,mem::being_chased,being_chased,0.9934
0.083333,mem::being_late,being_late,0.9934
0.083333,mem::cold_water,cold_water,0.9934
0.083333,mem::loud_crowd,loud_crowd,0.9934
0.083333,mem::dread,dread,0.944
0.083333,event::had_a_long_meeting,had a long meeting,0.9309
0.083333,mem::grief,grief,0.8916
0.083333,mem::teeth_loosening,teeth_loosening,0.8788
0.083333,mem::falling,falling,0.8676
0.083333,mem::flying,flying,0.5867
0.166667,mem::childhood_home,childhood_home,0.9608
0.166667,mem::school_corridor,school_corridor,0.9608
0.166667,mem::falling,falling,0.9608
0.166667,mem::being_chased,being_chased,0.9608
0.166667,mem::being_late,being_late,0.9608
0.166667,mem::teeth_loosening,teeth_loosening,0.9608
0.166667,mem::cold_water,cold_water,0.9608
0.166667,mem::loud_crowd,loud_crowd,0.9608
0.166667,mem::grief,grief,0.9608
0.166667,mem::dread,dread,0.9608
0.166667,event::had_a_long_meeting,had a long meeting,0.9608
0.166667,mem::flying,flying,0.8479
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::bright_light,bright_light,1.0
0.25,mem::joy,joy,1.0
0.25,mem::wonder,wonder,1.0
0.25,mem::childhood_home,childhood_home,0.9418
0.25,mem::school_corridor,school_corridor,0.9418
0.25,mem::falling,falling,0.9418
0.25,mem::being_chased,being_chased,0.9418
0.25,mem::being_late,being_late,0.9418
0.25,mem::teeth_loosening,teeth_loosening,0.9418
0.25,mem::cold_water,cold_water,0.9418
0.333333,mem::childhood_home,childhood_home,1.0
0.333333,mem::school_corridor,school_corridor,1.0
0.333333,mem::falling,falling,1.0
0.333333,mem::being_chased,being_chased,1.0
0.333333,mem::being_late,being_late,1.0
0.333333,mem::teeth_loosening,teeth_loosening,1.0
0.333333,mem::cold_water,cold_water,1.0
0.333333,mem::loud_crowd,loud_crowd,1.0
0.333333,mem::grief,grief,1.0
0.333333,mem::dread,dread,1.0
0.333333,event::had_a_long_meeting,had a long meeting,1.0
0.333333,mem::familiar_face,familiar_face,0.9737
0.416667,mem::childhood_home,childhood_home,0.9934
0.416667,mem::school_corridor,school_corridor,0.9934
0.416667,mem::falling,falling,0.9934
0.416667,mem::being_chased,being_chased,0.9934
0.416667,mem::being_late,being_late,0.9934
0.416667,mem::teeth_loosening,teeth_loosening,0.9934
0.416667,mem::cold_water,cold_water,0.9934
0.416667,mem::loud_crowd,loud_crowd,0.9934
0.416667,mem::grief,grief,0.9934
0.416667,mem::dread,dread,0.9934
0.416667,event::had_a_long_meeting,had a long meeting,0.9934
0.416667,mem::familiar_face,familiar_face,0.9481
0.5,mem::childhood_home,childhood_home,1.0
0.5,mem::school_corridor,school_corridor,1.0
0.5,mem::falling,falling,1.0
0.5,mem::being_chased,being_chased,1.0
0.5,mem::being_late,being_late,1.0
0.5,mem::teeth_loosening,teeth_loosening,1.0
0.5,mem::cold_water,cold_water,1.0
0.5,mem::loud_crowd,loud_crowd,1.0
0.5,mem::grief,grief,1.0
0.5,mem::dread,dread,1.0
0.5,event::had_a_long_meeting,had a long meeting,1.0
0.5,mem::familiar_face,familiar_face,0.9868
0.583333,mem::childhood_home,childhood_home,1.0
0.583333,mem::school_corridor,school_corridor,1.0
0.583333,mem::falling,falling,1.0
