time_hours,node_id,node_label,activation
0.0,mem::bright_light,bright_light,0.4433
0.0,mem::loud_crowd,loud_crowd,0.3922
0.0,mem::familiar_face,familiar_face,0.3903
0.0,mem::wonder,wonder,0.3809
0.0,mem::teeth_loosening,teeth_loosening,0.3781
0.0,mem::being_chased,being_chased,0.3335
0.0,mem::falling,falling,0.3282
0.0,mem::childhood_home,childhood_home,0.3258
0.0,mem::joy,joy,0.3254
0.0,mem::grief,grief,0.3205
0.0,event::sunrise_nap,sunrise nap,0.3056
0.0,event::early_run,early run,0.3047
0.083333,mem::loud_crowd,loud_crowd,0.5802
0.083333,mem::teeth_loosening,teeth_loosening,0.5724
0.083333,mem::being_chased,being_chased,0.5474
0.083333,mem::falling,falling,0.5442
0.083333,mem::childhood_home,childhood_home,0.5429
0.083333,mem::grief,grief,0.54
0.083333,event::early_run,early run,0.5312
0.083333,mem::bright_light,bright_light,0.469
0.083333,mem::school_corridor,school_corridor,0.4672
0.083333,mem::dread,dread,0.4522
0.083333,mem::cold_water,cold_water,0.4506
0.083333,mem::familiar_face,familiar_face,0.4253
0.166667,mem::loud_crowd,loud_crowd,0.6853
0.166667,mem::teeth_loosening,teeth_loosening,0.6809
0.166667,mem::being_chased,being_chased,0.6669
0.166667,mem::falling,falling,0.6652
0.166667,mem::childhood_home,childhood_home,0.6644
0.166667,mem::grief,grief,0.6628
0.166667,event::early_run,early run,0.6578
0.166667,mem::school_corridor,school_corridor,0.6219
0.166667,mem::dread,dread,0.6136
0.166667,mem::cold_water,cold_water,0.6126
0.166667,mem::being_late,being_late,0.594
0.166667,mem::bright_light,bright_light,0.4943
0.25,mem::loud_crowd,loud_crowd,0.6925
0.25,mem::teeth_loosening,teeth_loosening,0.6895
0.25,mem::being_chased,being_chased,0.6793
0.25,mem::falling,falling,0.678
0.25,mem::childhood_home,childhood_home,0.6775
0.25,mem::grief,grief,0.6764
0.25,event::early_run,early run,0.6726
0.25,mem::school_corridor,school_corridor,0.6468
0.25,mem::dread,dread,0.6407
0.25,mem::cold_water,cold_water,0.6399
0.25,mem::being_late,being_late,0.6265
0.25,mem::bright_light,bright_light,0.5151
0.333333,mem::loud_crowd,loud_crowd,0.7032
0.333333,mem::teeth_loosening,teeth_loosening,0.7009
0.333333,mem::being_chased,being_chased,0.6936
0.333333,mem::falling,falling,0.6927
0.333333,mem::childhood_home,childhood_home,0.6923
0.333333,mem::grief,grief,0.6914
0.333333,event::early_run,early run,0.6887
0.333333,mem::school_corridor,school_corridor,0.67
0.333333,mem::dread,dread,0.6655
0.333333,mem::cold_water,cold_water,0.665
0.333333,mem::being_late,being_late,0.6553
0.333333,mem::bright_light,bright_light,0.575
0.416667,mem::loud_crowd,loud_crowd,0.7384
0.416667,mem::teeth_loosening,teeth_loosening,0.7369
0.416667,mem::being_chased,being_chased,0.7323
0.416667,mem::falling,falling,0.7317
0.416667,mem::childhood_home,childhood_home,0.7314
0.416667,mem::grief,grief,0.7309
0.416667,event::early_run,early run,0.7291
0.416667,mem::school_corridor,school_corridor,0.7172
0.416667,mem::dread,dread,0.7144
0.416667,mem::cold_water,cold_water,0.7141
0.416667,mem::being_late,being_late,0.7078
0.416667,mem::bright_light,bright_light,0.7042
0.5,mem::loud_crowd,loud_crowd,0.7596
0.5,mem::teeth_loosening,teeth_loosening,0.7585
0.5,mem::being_chased,being_chased,0.7557
0.5,mem::falling,falling,0.7553
0.5,mem::childhood_home,childhood_home,0.7551
0.5,mem::grief,grief,0.7548
0.5,event::early_run,early run,0.7537
0.5,mem::school_corridor,school_corridor,0.746
0.5,mem::dread,dread,0.7442
0.5,mem::cold_water,cold_water,0.744
0.5,mem::being_late,being_late,0.7401
0.5,mem::bright_light,bright_light,0.7099
0.583333,mem::loud_crowd,loud_crowd,0.7723
0.583333,mem::teeth_loosening,teeth_loosening,0.7716
0.583333,mem::being_chased,being_chased,0.7697
0.583333,mem::falling,falling,0.7694
0.583333,mem::childhood_home,childhood_home,0.7693
0.583333,mem::grief,grief,0.7691
0.583333,event::early_run,early run,0.7686
0.583333,mem::school_corridor,school_corridor,0.7636
0.583333,mem::dread,dread,0.7624
0.583333,mem::cold_water,cold_water,0.7623
0.583333,mem::being_late,being_late,0.7598
0.583333,mem::bright_light,bright_light,0.7542
0.666667,mem::loud_crowd,loud_crowd,0.7791
0.666667,mem::teeth_loosening,teeth_loosening,0.7788
0.666667,mem::being_chased,being_chased,0.7774
0.666667,mem::falling,falling,0.7773
0.666667,mem::childhood_home,childhood_home,0.7772
0.666667,mem::grief,grief,0.7771
0.666667,event::early_run,early run,0.7767
0.666667,mem::school_corridor,school_corridor,0.7736
0.666667,mem::cold_water,cold_water,0.7727
0.666667,mem::dread,dread,0.7727
0.666667,mem::being_late,being_late,0.7713
0.666667,mem::bright_light,bright_light,0.762
0.75,mem::loud_crowd,loud_crowd,0.7799
0.75,mem::teeth_loosening,teeth_loosening,0.7798
0.75,mem::being_chased,being_chased,0.779
0.75,mem::childhood_home,childhood_home,0.7789
0.75,mem::falling,falling,0.7789
0.75,mem::grief,grief,0.7788
0.75,event::early_run,early run,0.7785
0.75,mem::school_corridor,school_corridor,0.7765
0.75,mem::cold_water,cold_water,0.7759
0.75,mem::dread,dread,0.7759
0.75,mem::being_late,being_late,0.775
0.75,mem::bright_light,bright_light,0.7565
0.833333,mem::bright_light,bright_light,0.7667
0.833333,mem::familiar_face,familiar_face,0.7655
0.833333,mem::wonder,wonder,0.7652
0.833333,mem::joy,joy,0.7638
0.833333,event::sunrise_nap,sunrise nap,0.7634
0.833333,mem::flying,flying,0.762
0.833333,mem::loud_crowd,loud_crowd,0.7297
0.833333,mem::teeth_loosening,teeth_loosening,0.7296
0.833333,mem::being_chased,being_chased,0.7288
0.833333,mem::childhood_home,childhood_home,0.7287
0.833333,mem::falling,falling,0.7287
0.833333,mem::grief,grief,0.7286
0.916667,mem::bright_light,bright_light,0.7853
0.916667,mem::familiar_face,familiar_face,0.7847
0.916667,mem::wonder,wonder,0.7845
0.916667,mem::joy,joy,0.7838
0.916667,event::sunrise_nap,sunrise nap,0.7836
0.916667,mem::flying,flying,0.7828
0.916667,mem::loud_crowd,loud_crowd,0.7322
0.916667,mem::teeth_loosening,teeth_loosening,0.7321
0.916667,mem::being_chased,being_chased,0.7316
