time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5217,0.281,0.344,0.3671,joyful,0.399,0.0
0.008333,N1,0.5112,0.3177,0.2951,0.3224,joyful,0.374,0.0
0.016667,N1,0.4839,0.2961,0.2891,0.334,neutral,0.42,0.0
0.025,N1,0.4997,0.3241,0.297,0.3086,melancholic,0.383,0.0
0.033333,N1,0.4891,0.2909,0.2916,0.3475,melancholic,0.373,0.0
0.041667,N1,0.5418,0.2932,0.3159,0.3541,curious,0.393,0.0
0.05,N1,0.5071,0.2929,0.2881,0.3592,neutral,0.38,0.0
0.058333,N1,0.4687,0.295,0.3123,0.3626,neutral,0.323,0.0
0.066667,N1,0.5031,0.29,0.2836,0.3302,fearful,0.347,0.0
0.075,N1,0.4913,0.2938,0.3253,0.332,neutral,0.325,0.0
0.083333,N1,0.5092,0.3314,0.2741,0.347,anxious,0.3,0.0
0.091667,N1,0.487,0.325,0.3181,0.3562,fearful,0.372,0.0
0.1,N2,0.4686,0.2894,0.2862,0.3335,neutral,0.392,0.0
0.108333,N2,0.4238,0.2271,0.2969,0.3708,neutral,0.374,0.0
0.116667,N2,0.4407,0.2486,0.2828,0.3713,neutral,0.395,0.0
0.125,N2,0.477,0.3116,0.304,0.3316,anxious,0.338,0.0
0.133333,N2,0.4453,0.2585,0.2814,0.3457,neutral,0.444,0.0
0.141667,N2,0.4658,0.2571,0.2819,0.3488,joyful,0.405,0.0
0.15,N2,0.4236,0.2639,0.218,0.347,melancholic,0.413,0.0
0.158333,N2,0.428,0.3075,0.2956,0.3676,neutral,0.411,0.0
0.166667,N2,0.4586,0.3042,0.3019,0.352,anxious,0.376,0.0
0.175,N2,0.4293,0.286,0.245,0.325,melancholic,0.353,0.0
0.183333,N2,0.4894,0.2954,0.2782,0.3204,fearful,0.4,0.0
0.191667,N2,0.4571,0.2808,0.2859,0.3792,neutral,0.443,0.0
0.2,N2,0.437,0.2942,0.2479,0.3308,neutral,0.407,0.0
0.208333,N2,0.4493,0.3033,0.3009,0.3359,curious,0.414,0.0
0.216667,N2,0.4854,0.2714,0.3205,0.3503,neutral,0.415,0.0
0.225,N2,0.415,0.2932,0.2764,0.3356,serene,0.44,0.0
0.233333,N2,0.4311,0.2723,0.2812,0.3352,neutral,0.342,0.0
0.241667,N2,0.4427,0.2675,0.3274,0.349,neutral,0.41,0.0
0.25,N2,0.4743,0.2742,0.2591,0.3269,curious,0.407,0.0
0.258333,N2,0.4314,0.3138,0.2589,0.3786,joyful,0.423,0.0
0.266667,N2,0.443,0.3019,0.2544,0.2966,neutral,0.439,0.0
0.275,N2,0.4376,0.241,0.245,0.3721,curious,0.402,0.0
0.283333,N2,0.4564,0.2524,0.2837,0.3249,curious,0.36,0.0
0.291667,N2,0.4378,0.3372,0.2754,0.3319,fearful,0.366,0.0
0.3,N2,0.4661,0.2512,0.2282,0.3477,anxious,0.429,0.0
0.308333,N2,0.4101,0.2796,0.2382,0.3477,curious,0.403,0.0
0.316667,N2,0.457,0.2914,0.2985,0.3037,neutral,0.411,0.0
0.325,N2,0.4549,0.2889,0.2748,0.3211,neutral,0.407,0.0
0.333333,N2,0.4442,0.2631,0.2551,0.3553,joyful,0.408,0.0
0.341667,N2,0.3913,0.2657,0.3073,0.3237,neutral,0.363,0.0
0.35,N2,0.4755,0.3299,0.2751,0.3273,joyful,0.471,0.0
