time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.5352
0.0,mem::school_corridor,school_corridor,0.4591
0.0,mem::cold_water,cold_water,0.4246
0.0,mem::dread,dread,0.4082
0.0,mem::teeth_loosening,teeth_loosening,0.4069
0.0,mem::wonder,wonder,0.3962
0.0,mem::being_chased,being_chased,0.3953
0.0,mem::flying,flying,0.362
0.0,mem::childhood_home,childhood_home,0.3314
0.0,mem::falling,falling,0.3074
0.0,mem::being_late,being_late,0.2854
0.0,mem::loud_crowd,loud_crowd,0.2383
0.083333,event::had_a_long_meeting,had a long meeting,0.5882
0.083333,mem::wonder,wonder,0.5813
0.083333,mem::flying,flying,0.562
0.083333,mem::school_corridor,school_corridor,0.5329
0.083333,mem::cold_water,cold_water,0.508
0.083333,mem::dread,dread,0.4962
0.083333,mem::teeth_loosening,teeth_loosening,0.4952
0.083333,mem::being_chased,being_chased,0.4868
0.083333,mem::familiar_face,familiar_face,0.4763
0.083333,mem::bright_light,bright_light,0.4504
0.083333,mem::childhood_home,childhood_home,0.4405
0.083333,mem::falling,falling,0.4233
0.166667,event::had_a_long_meeting,had a long meeting,0.6309
0.166667,mem::wonder,wonder,0.6221
0.166667,mem::flying,flying,0.6082
0.166667,mem::school_corridor,school_corridor,0.591
0.166667,mem::cold_water,cold_water,0.5729
0.166667,mem::dread,dread,0.5643
0.166667,mem::teeth_loosening,teeth_loosening,0.5636
0.166667,mem::being_chased,being_chased,0.5576
0.166667,mem::familiar_face,familiar_face,0.546
0.166667,mem::bright_light,bright_light,0.5274
0.166667,mem::childhood_home,childhood_home,0.524
0.166667,mem::falling,falling,0.5115
0.25,event::had_a_long_meeting,had a long meeting,0.6639
0.25,mem::wonder,wonder,0.6495
0.25,mem::flying,flying,0.6395
0.25,mem::school_corridor,school_corridor,0.6351
0.25,mem::cold_water,cold_water,0.6219
0.25,mem::dread,dread,0.6157
0.25,mem::teeth_loosening,teeth_loosening,0.6153
0.25,mem::being_chased,being_chased,0.6109
0.25,mem::familiar_face,familiar_face,0.5943
0.25,mem::childhood_home,childhood_home,0.5866
0.25,mem::bright_light,bright_light,0.5808
0.25,mem::falling,falling,0.5774
0.333333,mem::wonder,wonder,0.7191
0.333333,mem::flying,flying,0.7135
0.333333,mem::familiar_face,familiar_face,0.6881
0.333333,mem::bright_light,bright_light,0.6804
0.333333,mem::joy,joy,0.6706
0.333333,event::had_a_long_meeting,had a long meeting,0.6525
0.333333,mem::school_corridor,school_corridor,0.629
0.333333,mem::cold_water,cold_water,0.618
0.333333,mem::dread,dread,0.613
0.333333,mem::teeth_loosening,teeth_loosening,0.6126
0.333333,mem::being_chased,being_chased,0.6089
0.333333,mem::childhood_home,childhood_home,0.5891
0.416667,mem::wonder,wonder,0.7219
0.416667,mem::flying,flying,0.7179
0.416667,event::had_a_long_meeting,had a long meeting,0.7051
0.416667,mem::familiar_face,familiar_face,0.6996
0.416667,mem::bright_light,bright_light,0.694
0.416667,mem::school_corridor,school_corridor,0.69
0.416667,mem::joy,joy,0.6868
0.416667,mem::cold_water,cold_water,0.6829
0.416667,mem::dread,dread,0.6799
0.416667,mem::teeth_loosening,teeth_loosening,0.6797
0.416667,mem::being_chased,being_chased,0.6773
0.416667,mem::childhood_home,childhood_home,0.6646
0.5,event::had_a_long_meeting,had a long meeting,0.7854
0.5,mem::school_corridor,school_corridor,0.779
0.5,mem::cold_water,cold_water,0.7758
0.5,mem::teeth_loosening,teeth_loosening,0.7744
0.5,mem::dread,dread,0.7744
0.5,mem::being_chased,being_chased,0.7733
