time_hours,node_id,node_label,activation
0.0,event::deadline,deadline,0.4689
0.0,mem::grief,grief,0.451
0.0,mem::school_corridor,school_corridor,0.4239
0.0,mem::being_late,being_late,0.4044
0.0,mem::recurring_journey,recurring_journey,0.3771
0.0,mem::bright_light,bright_light,0.3314
0.0,mem::falling,falling,0.3023
0.0,mem::being_chased,being_chased,0.2978
0.0,mem::childhood_home,childhood_home,0.2953
0.0,mem::dread,dread,0.2895
0.0,mem::cold_water,cold_water,0.2879
0.0,mem::teeth_loosening,teeth_loosening,0.272
0.083333,event::deadline,deadline,0.7359
0.083333,mem::grief,grief,0.7298
0.083333,mem::school_corridor,school_corridor,0.7208
0.083333,mem::being_late,being_late,0.7141
0.083333,mem::falling,falling,0.6798
0.083333,mem::being_chased,being_chased,0.6783
0.083333,mem::childhood_home,childhood_home,0.6776
0.083333,mem::dread,dread,0.6755
0.083333,mem::cold_water,cold_water,0.675
0.083333,mem::teeth_loosening,teeth_loosening,0.6696
0.083333,mem::loud_crowd,loud_crowd,0.6472
0.083333,mem::bright_light,bright_light,0.3768
0.166667,event::deadline,deadline,0.8152
0.166667,mem::grief,grief,0.8131
0.166667,mem::school_corridor,school_corridor,0.8095
0.166667,mem::being_late,being_late,0.8071
0.166667,mem::falling,falling,0.7938
0.166667,mem::being_chased,being_chased,0.7933
0.166667,mem::childhood_home,childhood_home,0.793
0.166667,mem::dread,dread,0.792
0.166667,mem::cold_water,cold_water,0.7919
0.166667,mem::teeth_loosening,teeth_loosening,0.7899
0.166667,mem::loud_crowd,loud_crowd,0.7815
0.166667,mem::bright_light,bright_light,0.4692
0.25,event::deadline,deadline,0.8395
0.25,mem::grief,grief,0.8388
0.25,mem::school_corridor,school_corridor,0.8373
0.25,mem::being_late,being_late,0.8363
0.25,mem::falling,falling,0.8313
0.25,mem::being_chased,being_chased,0.831
0.25,mem::childhood_home,childhood_home,0.8309
0.25,mem::cold_water,cold_water,0.8306
0.25,mem::dread,dread,0.8306
0.25,mem::teeth_loosening,teeth_loosening,0.8299
0.25,mem::loud_crowd,loud_crowd,0.8266
0.25,mem::bright_light,bright_light,0.493
0.333333,event::deadline,deadline,0.8675
0.333333,mem::grief,grief,0.8672
0.333333,mem::school_corridor,school_corridor,0.8668
0.333333,mem::being_late,being_late,0.8667
0.333333,mem::childhood_home,childhood_home,0.8653
0.333333,mem::falling,falling,0.8653
0.333333,mem::being_chased,being_chased,0.8653
0.333333,mem::cold_water,cold_water,0.8652
0.333333,mem::dread,dread,0.8652
0.333333,mem::teeth_loosening,teeth_loosening,0.865
0.333333,mem::loud_crowd,loud_crowd,0.864
0.333333,mem::bright_light,bright_light,0.4612
0.416667,event::deadline,deadline,0.8694
