time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.482
0.0,mem::childhood_home,childhood_home,0.3777
0.0,mem::being_chased,being_chased,0.3349
0.0,mem::bright_light,bright_light,0.3191
0.0,mem::joy,joy,0.315
0.0,mem::flying,flying,0.305
0.0,mem::wonder,wonder,0.2928
0.0,mem::teeth_loosening,teeth_loosening,0.28
0.0,mem::dread,dread,0.2781
0.0,event::design_discussion,design discussion,0.268
0.0,mem::recurring_journey,recurring_journey,0.2666
0.0,mem::school_corridor,school_corridor,0.2394
0.833333,event::code_review,code review,0.3906
0.833333,mem::bright_light,bright_light,0.3337
0.833333,mem::joy,joy,0.3322
0.833333,mem::flying,flying,0.3286
0.833333,mem::wonder,wonder,0.3244
0.833333,mem::familiar_face,familiar_face,0.3017
0.833333,mem::childhood_home,childhood_home,0.2551
0.833333,mem::being_chased,being_chased,0.2358
0.833333,mem::teeth_loosening,teeth_loosening,0.2111
0.833333,mem::dread,dread,0.2101
0.833333,event::design_discussion,design discussion,0.2056
0.833333,mem::school_corridor,school_corridor,0.1928
