time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.481,0.3155,0.2936,0.3802,curious,0.384,0.0
0.008333,N1,0.5371,0.3227,0.3245,0.3177,melancholic,0.345,0.0
0.016667,N1,0.4944,0.2786,0.3056,0.358,neutral,0.356,0.0
0.025,N1,0.4844,0.3066,0.3326,0.3478,joyful,0.353,0.0
0.033333,N1,0.4732,0.2862,0.3113,0.3465,melancholic,0.388,0.0
0.041667,N1,0.4935,0.308,0.296,0.3591,neutral,0.363,0.0
0.05,N1,0.5288,0.2964,0.256,0.3167,neutral,0.362,0.0
0.058333,N1,0.4854,0.3013,0.3231,0.3264,joyful,0.29,0.0
0.066667,N2,0.4283,0.3016,0.2882,0.3165,joyful,0.409,0.0
0.075,N2,0.4106,0.2754,0.3087,0.3372,neutral,0.401,0.0
0.083333,N2,0.4203,0.282,0.2757,0.3431,neutral,0.364,0.0
0.091667,N2,0.4385,0.279,0.2444,0.3523,joyful,0.441,0.0
0.1,N2,0.4262,0.2905,0.2859,0.3462,neutral,0.443,0.0
0.108333,N2,0.4307,0.2815,0.2763,0.3181,melancholic,0.389,0.0
0.116667,N2,0.4259,0.2817,0.2527,0.3246,joyful,0.409,0.0
0.125,N2,0.44,0.3217,0.2709,0.3514,neutral,0.442,0.0
0.133333,N2,0.4162,0.2679,0.2875,0.3467,anxious,0.4,0.0
0.141667,N2,0.4614,0.2832,0.2757,0.3622,curious,0.405,0.0
0.15,N2,0.4298,0.2742,0.2802,0.3379,anxious,0.378,0.0
0.158333,N2,0.4959,0.286,0.2513,0.3127,joyful,0.436,0.0
0.166667,N2,0.3921,0.2717,0.2651,0.3566,melancholic,0.397,0.0
0.175,N2,0.4588,0.281,0.2929,0.3244,serene,0.459,0.0
0.183333,N2,0.4388,0.2716,0.2734,0.3435,neutral,0.396,0.0
0.191667,N2,0.4445,0.2481,0.3093,0.3279,neutral,0.406,0.0
0.2,N2,0.4225,0.2939,0.2725,0.3323,joyful,0.389,0.0
0.208333,N2,0.3848,0.2868,0.2981,0.3129,joyful,0.339,0.0
0.216667,N2,0.4399,0.2856,0.3013,0.3317,neutral,0.439,0.0
0.225,N2,0.4544,0.2868,0.2868,0.325,joyful,0.402,0.0
0.233333,N2,0.4383,0.2937,0.2741,0.3712,curious,0.404,0.0
0.241667,N2,0.4528,0.2991,0.2762,0.3667,neutral,0.449,0.0
0.25,N2,0.4477,0.263,0.2901,0.3091,melancholic,0.357,0.0
0.258333,N2,0.4444,0.2541,0.2713,0.3391,fearful,0.395,0.0
0.266667,N2,0.4359,0.2918,0.2771,0.2763,melancholic,0.363,0.0
0.275,N2,0.4447,0.2697,0.2815,0.352,neutral,0.406,0.0
0.283333,N2,0.4637,0.2939,0.2794,0.3208,joyful,0.397,0.0
