time_hours,node_id,node_label,activation
0.0,mem::dread,dread,0.3949
0.0,mem::familiar_face,familiar_face,0.3507
0.0,mem::teeth_loosening,teeth_loosening,0.3255
0.0,mem::grief,grief,0.3207
0.0,mem::childhood_home,childhood_home,0.3113
0.0,mem::flying,flying,0.3074
0.0,mem::joy,joy,0.2971
0.0,mem::cold_water,cold_water,0.2507
0.0,mem::falling,falling,0.2302
0.0,event::had_a_long_meeting,had a long meeting,0.2127
0.0,mem::school_corridor,school_corridor,0.2109
0.0,mem::wonder,wonder,0.2032
0.083333,mem::dread,dread,0.8105
0.083333,mem::familiar_face,familiar_face,0.7576
0.083333,mem::teeth_loosening,teeth_loosening,0.7457
0.083333,mem::grief,grief,0.7411
0.083333,mem::childhood_home,childhood_home,0.7323
0.083333,mem::flying,flying,0.7171
0.083333,mem::joy,joy,0.7074
0.083333,mem::cold_water,cold_water,0.6757
0.083333,mem::falling,falling,0.6565
0.083333,mem::school_corridor,school_corridor,0.6383
0.083333,event::had_a_long_meeting,had a long meeting,0.6285
0.083333,mem::wonder,wonder,0.6196
0.166667,mem::childhood_home,childhood_home,1.0
0.166667,mem::school_corridor,school_corridor,1.0
0.166667,mem::falling,falling,1.0
0.166667,mem::being_chased,being_chased,1.0
0.166667,mem::being_late,being_late,1.0
0.166667,mem::teeth_loosening,teeth_loosening,1.0
0.166667,mem::cold_water,cold_water,1.0
0.166667,mem::loud_crowd,loud_crowd,1.0
0.166667,mem::grief,grief,1.0
0.166667,mem::dread,dread,1.0
0.166667,mem::familiar_face,familiar_face,0.85
0.166667,mem::flying,flying,0.8121
0.25,mem::familiar_face,familiar_face,1.0
0.25,mem::flying,flying,1.0
0.25,mem::joy,joy,1.0
0.25,event::had_a_long_meeting,had a long meeting,0.9812
0.25,mem::wonder,wonder,0.9733
0.25,mem::childhood_home,childhood_home,0.9418
0.25,mem::school_corridor,school_corridor,0.9418
0.25,mem::falling,falling,0.9418
0.25,mem::being_chased,being_chased,0.9418
0.25,mem::being_late,being_late,0.9418
0.25,mem::teeth_loosening,teeth_loosening,0.9418
0.25,mem::cold_water,cold_water,0.9418
0.333333,mem::childhood_home,childhood_home,0.9934
