time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5205,0.2689,0.3047,0.3131,curious,0.376,0.0
0.008333,N1,0.5085,0.2902,0.2562,0.3375,neutral,0.315,0.0
0.016667,N1,0.4896,0.2929,0.267,0.3345,joyful,0.322,0.0
0.025,N1,0.481,0.3098,0.2657,0.3669,joyful,0.385,0.0
0.033333,N1,0.5329,0.287,0.2989,0.3379,joyful,0.411,0.0
0.041667,N1,0.5046,0.2956,0.3113,0.3134,melancholic,0.357,0.0
0.05,N1,0.4947,0.313,0.3302,0.3378,curious,0.369,0.0
0.058333,N1,0.4946,0.2785,0.268,0.3547,anxious,0.398,0.0
0.066667,N1,0.4728,0.3082,0.3039,0.3295,neutral,0.387,0.0
0.075,N1,0.5006,0.3202,0.3185,0.3497,melancholic,0.373,0.0
0.083333,N1,0.4679,0.3,0.3573,0.3669,neutral,0.37,0.0
0.091667,N1,0.5397,0.295,0.296,0.3412,joyful,0.353,0.0
0.1,N2,0.455,0.2864,0.3027,0.3585,curious,0.405,0.0
0.108333,N2,0.4134,0.2891,0.2531,0.3397,neutral,0.414,0.0
0.116667,N2,0.4756,0.3012,0.2944,0.3894,melancholic,0.424,0.0
0.125,N2,0.4659,0.3002,0.2653,0.3359,melancholic,0.41,0.0
0.133333,N2,0.4733,0.3002,0.2861,0.3689,neutral,0.454,0.0
0.141667,N2,0.4474,0.287,0.294,0.3356,curious,0.401,0.0
0.15,N2,0.4378,0.2394,0.2615,0.3631,fearful,0.41,0.0
0.158333,N2,0.4552,0.2567,0.2819,0.3503,neutral,0.403,0.0
0.166667,N2,0.4839,0.3181,0.2951,0.3193,melancholic,0.41,0.0
0.175,N2,0.4978,0.2869,0.3266,0.3298,melancholic,0.34,0.0
0.183333,N2,0.4423,0.2635,0.2735,0.337,neutral,0.429,0.0
0.191667,N2,0.4643,0.2405,0.2631,0.3481,curious,0.445,0.0
0.2,N2,0.4593,0.2944,0.3014,0.3404,curious,0.321,0.0
0.208333,N2,0.4525,0.2718,0.2684,0.3347,neutral,0.38,0.0
0.216667,N2,0.4731,0.2712,0.2778,0.2893,neutral,0.435,0.0
0.225,N2,0.4777,0.2755,0.3031,0.3199,neutral,0.405,0.0
0.233333,N2,0.4413,0.2999,0.2524,0.3065,neutral,0.402,0.0
0.241667,N2,0.4769,0.2762,0.3041,0.3257,joyful,0.39,0.0
0.25,N2,0.4717,0.3114,0.2835,0.306,joyful,0.406,0.0
0.258333,N2,0.473,0.2816,0.2619,0.3275,anxious,0.392,0.0
0.266667,N2,0.4536,0.2557,0.3047,0.3317,curious,0.409,0.0
0.275,N2,0.4399,0.2886,0.2952,0.3238,neutral,0.387,0.0
0.283333,N2,0.4315,0.2607,0.2725,0.3287,neutral,0.438,0.0
0.291667,N2,0.4463,0.2952,0.3187,0.3595,curious,0.417,0.0
0.3,N2,0.4926,0.2599,0.2848,0.354,joyful,0.428,0.0
0.308333,N2,0.4472,0.3022,0.2346,0.2925,curious,0.449,0.0
0.316667,N2,0.4808,0.2948,0.2655,0.3174,melancholic,0.425,0.0
0.325,N2,0.459,0.2757,0.2613,0.2935,melancholic,0.435,0.0
0.333333,N2,0.4082,0.3069,0.2635,0.3302,neutral,0.468,0.0
0.341667,N2,0.3888,0.2989,0.2862,0.3289,neutral,0.375,0.0
0.35,N2,0.4137,0.2717,0.2869,0.3324,neutral,0.426,0.0
0.358333,N2,0.4511,0.2486,0.3015,0.3011,melancholic,0.446,0.0
0.366667,N3,0.3083,0.2092,0.2016,0.3277,joyful,0.333,0.0
0.375,N3,0.3075,0.2156,0.1616,0.3123,serene,0.35,0.0
0.383333,N3,0.3038,0.1896,0.1827,0.3449,neutral,0.35,0.0
0.391667,N3,0.2859,0.1569,0.2131,0.325,curious,0.35,0.0
0.4,N3,0.2672,0.1842,0.1723,0.3078,melancholic,0.35,0.0
0.408333,N3,0.2958,0.1815,0.2085,0.2963,neutral,0.35,0.0
0.416667,N3,0.2839,0.1879,0.2014,0.2954,fearful,0.35,0.0
0.425,N3,0.3139,0.197,0.1814,0.3172,curious,0.35,0.0
0.433333,N3,0.3017,0.1979,0.2201,0.3105,joyful,0.329,0.0
0.441667,N3,0.3114,0.203,0.195,0.3332,joyful,0.348,0.0
0.45,N3,0.2977,0.2159,0.1856,0.2876,joyful,0.35,0.0
0.458333,N3,0.3161,0.1904,0.2379,0.3123,curious,0.35,0.0
0.466667,N3,0.2915,0.1931,0.2125,0.3014,neutral,0.328,0.0
0.475,N3,0.2949,0.1564,0.1867,0.2858,curious,0.338,0.0
0.483333,N3,0.3171,0.2288,0.2001,0.304,joyful,0.35,0.0
0.491667,N3,0.3037,0.1998,0.253,0.3077,anxious,0.35,0.0
0.5,N3,0.29,0.214,0.1995,0.2969,curious,0.35,0.0
0.508333,N3,0.3141,0.1919,0.212,0.3036,fearful,0.35,0.0
0.516667,N3,0.3228,0.2224,0.2003,0.3055,neutral,0.334,0.0
0.525,N3,0.3221,0.2245,0.2013,0.2943,neutral,0.33,0.0
0.533333,N3,0.3026,0.2325,0.2134,0.3313,anxious,0.35,0.0
0.541667,N3,0.2785,0.2438,0.1709,0.2778,neutral,0.291,0.0
0.55,N3,0.3492,0.1507,0.2027,0.3015,joyful,0.35,0.0
0.558333,N3,0.2683,0.1785,0.2003,0.3118,joyful,0.323,0.0
0.566667,N3,0.3027,0.2207,0.2191,0.3232,melancholic,0.35,0.0
0.575,N3,0.2761,0.2207,0.1697,0.2774,neutral,0.35,0.0
0.583333,N3,0.3097,0.189,0.1854,0.3184,neutral,0.35,0.0
0.591667,N3,0.303,0.1965,0.1836,0.3431,curious,0.35,0.0
0.6,N3,0.3023,0.2038,0.1791,0.2838,melancholic,0.35,0.0
0.608333,N3,0.2918,0.208,0.1923,0.3126,melancholic,0.349,0.0
0.616667,N3,0.3098,0.2033,0.1825,0.2922,joyful,0.35,0.0
0.625,N3,0.2701,0.2274,0.2146,0.2611,joyful,0.35,0.0
0.633333,N3,0.2881,0.1856,0.2052,0.2939,melancholic,0.35,0.0
0.641667,N3,0.3253,0.1695,0.1849,0.2663,anxious,0.35,0.0
0.65,N3,0.2682,0.2009,0.2121,0.3185,neutral,0.35,0.0
0.658333,N3,0.3066,0.1851,0.1685,0.3139,curious,0.35,0.0
0.666667,N3,0.29,0.1795,0.1864,0.3231,curious,0.348,0.0
0.675,N3,0.2881,0.223,0.2228,0.3125,joyful,0.344,0.0
0.683333,N3,0.3053,0.2149,0.1909,0.2662,fearful,0.341,0.0
0.691667,N3,0.2623,0.2187,0.1772,0.3089,joyful,0.35,0.0
0.7,N3,0.3005,0.1803,0.1797,0.2539,joyful,0.35,0.0
0.708333,N3,0.2852,0.171,0.2209,0.2682,curious,0.333,0.0
0.716667,N3,0.287,0.2189,0.1914,0.2661,melancholic,0.35,0.0
0.725,N3,0.3313,0.2086,0.2154,0.2871,neutral,0.344,0.0
0.733333,N3,0.2981,0.1696,0.1957,0.2675,neutral,0.35,0.0
0.741667,N3,0.2965,0.1783,0.1914,0.2722,curious,0.35,0.0
0.75,N3,0.2765,0.2064,0.1887,0.3149,serene,0.35,0.0
0.758333,N3,0.3016,0.2115,0.2218,0.2955,neutral,0.35,0.0
0.766667,N3,0.3231,0.2012,0.1769,0.2877,joyful,0.35,0.0
0.775,N3,0.2996,0.2113,0.2053,0.2831,melancholic,0.35,0.0
0.783333,N2,0.4597,0.3213,0.326,0.3209,melancholic,0.406,0.0
0.791667,N2,0.4561,0.262,0.2317,0.34,neutral,0.387,0.0
0.8,N2,0.4915,0.3044,0.3181,0.3135,joyful,0.397,0.0
0.808333,N2,0.4703,0.2698,0.2592,0.2306,curious,0.459,0.0
0.816667,N2,0.4614,0.2755,0.2592,0.2861,curious,0.475,0.0
0.825,N2,0.5122,0.2774,0.2796,0.2509,neutral,0.396,0.0
0.833333,N2,0.453,0.3058,0.3057,0.2977,joyful,0.402,0.0
0.841667,N2,0.467,0.2714,0.3211,0.2925,neutral,0.347,0.0
0.85,N2,0.4111,0.3024,0.2651,0.257,curious,0.432,0.0
0.858333,N2,0.4339,0.3075,0.2782,0.282,melancholic,0.397,0.0
0.866667,N2,0.4534,0.2396,0.2785,0.2808,curious,0.394,0.0
0.875,N2,0.4329,0.2847,0.2615,0.3161,neutral,0.371,0.0
0.883333,N2,0.4359,0.3,0.2484,0.2596,joyful,0.423,0.0
0.891667,N2,0.4696,0.2986,0.297,0.2657,neutral,0.43,0.0
0.9,N2,0.4289,0.2554,0.2676,0.2886,neutral,0.417,0.0
0.908333,N2,0.4441,0.3075,0.2668,0.2853,melancholic,0.373,0.0
0.916667,N2,0.479,0.2782,0.279,0.2607,anxious,0.404,0.0
0.925,N2,0.4615,0.2873,0.2997,0.2703,curious,0.414,0.0
0.933333,N2,0.4318,0.2603,0.2315,0.279,joyful,0.423,0.0
0.941667,N2,0.4208,0.2787,0.2852,0.2599,curious,0.413,0.0
0.95,N2,0.4378,0.3014,0.2929,0.2892,melancholic,0.375,0.0
0.958333,N2,0.4602,0.2493,0.2837,0.2589,joyful,0.451,0.0
0.966667,N2,0.4437,0.2869,0.3052,0.2583,anxious,0.389,0.0
0.975,N2,0.4573,0.2735,0.2776,0.2723,anxious,0.4,0.0
0.983333,N2,0.4417,0.2752,0.2654,0.2514,neutral,0.366,0.0
0.991667,N2,0.4738,0.287,0.2629,0.257,joyful,0.382,0.0
