time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5254,0.2849,0.3165,0.3586,anxious,0.362,0.0
0.083333,N2,0.453,0.2653,0.2555,0.344,neutral,0.451,0.0
0.166667,N2,0.4795,0.2665,0.2969,0.3334,curious,0.415,0.0
0.25,N2,0.4913,0.3064,0.2757,0.3101,neutral,0.46,0.0
0.333333,N3,0.3144,0.1877,0.207,0.3537,neutral,0.35,0.0
0.416667,N3,0.3038,0.2195,0.1909,0.3521,neutral,0.341,0.0
0.5,N3,0.3233,0.1991,0.2352,0.329,joyful,0.35,0.0
0.583333,N3,0.2691,0.2,0.1851,0.3173,neutral,0.35,0.0
0.666667,N3,0.2865,0.1877,0.1899,0.3276,curious,0.332,0.0
0.75,N3,0.2809,0.2053,0.2097,0.2869,neutral,0.35,0.0
0.833333,N3,0.3289,0.2408,0.2474,0.2754,neutral,0.35,0.0
0.916667,N2,0.4283,0.2834,0.2427,0.274,curious,0.433,0.0
