time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.401
0.0,mem::grief,grief,0.396
0.0,mem::loud_crowd,loud_crowd,0.3955
0.0,mem::falling,falling,0.3825
0.0,mem::recurring_journey,recurring_journey,0.3617
0.0,mem::familiar_face,familiar_face,0.3514
0.0,mem::childhood_home,childhood_home,0.3349
0.0,mem::flying,flying,0.3251
0.0,mem::joy,joy,0.3124
0.0,mem::being_chased,being_chased,0.2993
0.0,mem::cold_water,cold_water,0.2981
0.0,mem::teeth_loosening,teeth_loosening,0.2974
0.833333,event::design_discussion,design discussion,0.3315
0.833333,mem::grief,grief,0.3297
0.833333,mem::loud_crowd,loud_crowd,0.3295
0.833333,mem::falling,falling,0.325
0.833333,mem::childhood_home,childhood_home,0.3082
0.833333,mem::being_chased,being_chased,0.2959
0.833333,mem::cold_water,cold_water,0.2953
0.833333,mem::teeth_loosening,teeth_loosening,0.2952
0.833333,event::code_review,code review,0.2932
0.833333,mem::school_corridor,school_corridor,0.288
0.833333,mem::dread,dread,0.2362
0.833333,mem::familiar_face,familiar_face,0.2281
