time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4793,0.3099,0.314,0.3374,serene,0.386,0.0
0.008333,N1,0.5151,0.2913,0.2718,0.3669,serene,0.315,0.0
0.016667,N1,0.4714,0.3179,0.3007,0.3746,neutral,0.297,0.0
0.025,N1,0.5033,0.3269,0.2603,0.3703,curious,0.371,0.0
0.033333,N1,0.5256,0.2926,0.3048,0.3327,melancholic,0.383,0.0
0.041667,N1,0.5053,0.2626,0.2793,0.361,fearful,0.397,0.0
0.05,N1,0.4663,0.3122,0.2968,0.3855,neutral,0.342,0.0
0.058333,N1,0.5446,0.2849,0.2977,0.3683,neutral,0.376,0.0
0.066667,N1,0.4742,0.309,0.2789,0.3787,melancholic,0.333,0.0
0.075,N1,0.4835,0.2978,0.2691,0.3331,joyful,0.38,0.0
0.083333,N1,0.4709,0.3381,0.3215,0.3693,neutral,0.374,0.0
0.091667,N1,0.4743,0.3102,0.2838,0.3241,joyful,0.341,0.0
0.1,N2,0.4451,0.2205,0.2991,0.3605,anxious,0.417,0.0
0.108333,N2,0.4568,0.253,0.29,0.3426,melancholic,0.422,0.0
0.116667,N2,0.4199,0.2605,0.2792,0.3524,neutral,0.36,0.0
0.125,N2,0.4885,0.2629,0.2443,0.3383,joyful,0.388,0.0
0.133333,N2,0.4703,0.2434,0.2636,0.3411,joyful,0.392,0.0
0.141667,N2,0.4251,0.3199,0.2997,0.3455,curious,0.416,0.0
0.15,N2,0.441,0.2567,0.2876,0.3514,anxious,0.374,0.0
0.158333,N2,0.4652,0.2524,0.2835,0.3212,serene,0.393,0.0
0.166667,N2,0.4556,0.2794,0.251,0.3216,curious,0.431,0.0
0.175,N2,0.4673,0.2758,0.2845,0.3374,serene,0.474,0.0
0.183333,N2,0.4533,0.2833,0.2659,0.3425,curious,0.46,0.0
0.191667,N2,0.4628,0.3,0.262,0.3324,joyful,0.423,0.0
0.2,N2,0.4121,0.2771,0.274,0.3299,curious,0.425,0.0
0.208333,N2,0.4342,0.2938,0.2956,0.3599,melancholic,0.431,0.0
