time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.533,0.3026,0.2993,0.3465,anxious,0.459,0.0
0.008333,N1,0.5205,0.3311,0.3257,0.3582,anxious,0.392,0.0
0.016667,N1,0.4878,0.3036,0.3306,0.354,curious,0.367,0.0
0.025,N1,0.4997,0.3172,0.3427,0.3573,melancholic,0.438,0.0
0.033333,N1,0.5047,0.3362,0.2778,0.336,joyful,0.454,0.0
0.041667,N1,0.4958,0.3182,0.3185,0.36,anxious,0.394,0.0
0.05,N1,0.4784,0.295,0.3113,0.3741,anxious,0.402,0.0
0.058333,N1,0.5312,0.2905,0.3139,0.3529,serene,0.359,0.0
0.066667,N3,0.2733,0.2228,0.2416,0.3523,anxious,0.35,0.0
0.075,N3,0.3247,0.1818,0.2038,0.364,melancholic,0.35,0.0
0.083333,N3,0.3178,0.2096,0.2032,0.3559,fearful,0.35,0.0
0.091667,N3,0.284,0.2051,0.2146,0.3535,anxious,0.338,0.0
0.1,N3,0.3129,0.2205,0.2081,0.3691,neutral,0.35,0.0
0.108333,N3,0.2695,0.1951,0.2112,0.3963,anxious,0.336,0.0
0.116667,N3,0.2821,0.2284,0.2128,0.3519,anxious,0.35,0.0
0.125,N3,0.2922,0.2379,0.1662,0.3413,anxious,0.347,0.0
0.133333,N3,0.2575,0.2096,0.2421,0.361,serene,0.35,0.0
0.141667,N3,0.323,0.2039,0.206,0.3609,curious,0.35,0.0
0.15,N3,0.3132,0.2091,0.2014,0.3232,anxious,0.35,0.0
0.158333,N3,0.3064,0.215,0.2027,0.3299,anxious,0.35,0.0
0.166667,N3,0.2984,0.2247,0.1923,0.3375,anxious,0.35,0.0
0.175,N3,0.3178,0.1885,0.2043,0.322,anxious,0.35,0.0
0.183333,N3,0.2701,0.218,0.195,0.3391,anxious,0.35,0.0
0.191667,N3,0.3008,0.2281,0.1961,0.3277,anxious,0.35,0.0
0.2,N3,0.2975,0.2046,0.205,0.3681,neutral,0.35,0.0
0.208333,N3,0.2892,0.2169,0.203,0.3451,anxious,0.35,0.0
0.216667,N3,0.312,0.2105,0.2228,0.3203,joyful,0.35,0.0
0.225,N3,0.3055,0.2032,0.1834,0.3335,anxious,0.35,0.0
0.233333,N3,0.2884,0.2389,0.1926,0.3221,neutral,0.35,0.0
0.241667,N3,0.2985,0.183,0.2073,0.3482,fearful,0.35,0.0
0.25,N3,0.2656,0.1456,0.225,0.3221,anxious,0.35,0.0
0.258333,N3,0.3104,0.2097,0.2046,0.3572,anxious,0.35,0.0
0.266667,N3,0.3062,0.189,0.1982,0.3273,melancholic,0.35,0.0
0.275,N3,0.3106,0.2027,0.214,0.3223,anxious,0.35,0.0
0.283333,N3,0.2717,0.2,0.2385,0.3255,anxious,0.35,0.0
0.291667,N3,0.2918,0.237,0.1703,0.3219,anxious,0.35,0.0
0.3,N2,0.4405,0.3126,0.2862,0.3524,anxious,0.465,0.0
0.308333,N2,0.4604,0.2738,0.2579,0.3307,neutral,0.442,0.0
0.316667,N3,0.2931,0.2013,0.2323,0.2901,anxious,0.35,0.0
0.325,N3,0.3049,0.2172,0.2239,0.3475,serene,0.35,0.0
0.333333,N3,0.2786,0.2185,0.1825,0.2852,curious,0.35,0.0
0.341667,N3,0.2997,0.1892,0.2061,0.3363,neutral,0.35,0.0
0.35,N3,0.323,0.2167,0.2074,0.3135,serene,0.35,0.0
0.358333,N3,0.2632,0.1885,0.2157,0.3297,anxious,0.35,0.0
0.366667,N3,0.3349,0.1808,0.191,0.3217,anxious,0.35,0.0
0.375,N3,0.2698,0.2035,0.2292,0.3343,melancholic,0.35,0.0
0.383333,N3,0.3143,0.186,0.1906,0.3173,anxious,0.334,0.0
0.391667,N3,0.3065,0.2061,0.2106,0.3213,anxious,0.35,0.0
0.4,N3,0.2732,0.1917,0.2063,0.314,melancholic,0.35,0.0
0.408333,N3,0.306,0.1756,0.1842,0.3276,neutral,0.35,0.0
0.416667,N3,0.325,0.1914,0.1471,0.3421,anxious,0.35,0.0
0.425,N3,0.3176,0.1891,0.2182,0.326,anxious,0.35,0.0
0.433333,N3,0.2986,0.2598,0.2043,0.3407,anxious,0.35,0.0
0.441667,N3,0.2924,0.2177,0.2567,0.3203,melancholic,0.35,0.0
0.45,N3,0.3005,0.1621,0.234,0.3268,anxious,0.35,0.0
0.458333,N3,0.3148,0.208,0.2029,0.319,joyful,0.35,0.0
0.466667,N3,0.2867,0.2093,0.1751,0.334,neutral,0.35,0.0
0.475,N3,0.2912,0.1826,0.2229,0.3079,joyful,0.35,0.0
0.483333,N3,0.3566,0.2025,0.2032,0.3,neutral,0.35,0.0
0.491667,N3,0.3054,0.2079,0.1806,0.3163,anxious,0.35,0.0
0.5,N3,0.2925,0.1922,0.1949,0.3414,curious,0.35,0.0
0.508333,N3,0.3464,0.1986,0.1845,0.3359,fearful,0.35,0.0
0.516667,N3,0.2837,0.2084,0.2151,0.3337,anxious,0.35,0.0
0.525,N3,0.2798,0.2079,0.2211,0.3231,anxious,0.35,0.0
0.533333,N3,0.3361,0.2002,0.1717,0.3486,anxious,0.35,0.0
0.541667,N3,0.3045,0.2095,0.2117,0.3037,melancholic,0.35,0.0
0.55,N3,0.304,0.2663,0.22,0.2994,fearful,0.35,0.0
0.558333,N3,0.3286,0.1933,0.1968,0.328,anxious,0.35,0.0
0.566667,N3,0.2648,0.1703,0.1795,0.3061,neutral,0.35,0.0
0.575,N3,0.3022,0.2169,0.2142,0.2739,curious,0.35,0.0
0.583333,N3,0.296,0.1558,0.2024,0.3071,neutral,0.35,0.0
0.591667,N3,0.2875,0.2253,0.2093,0.3173,anxious,0.35,0.0
0.6,N3,0.2831,0.2412,0.1991,0.3096,anxious,0.347,0.0
0.608333,N3,0.323,0.225,0.1898,0.3314,anxious,0.35,0.0
0.616667,N3,0.2836,0.1921,0.2144,0.3232,anxious,0.35,0.0
0.625,N3,0.3031,0.1825,0.1954,0.2885,melancholic,0.35,0.0
0.633333,N3,0.2696,0.2262,0.1682,0.2739,anxious,0.35,0.0
0.641667,N3,0.3046,0.2031,0.1752,0.3085,anxious,0.35,0.0
0.65,N3,0.3195,0.1809,0.2388,0.292,curious,0.35,0.0
0.658333,N3,0.3274,0.1948,0.2296,0.2783,anxious,0.35,0.0
0.666667,N3,0.32,0.1795,0.2092,0.3386,anxious,0.35,0.0
0.675,N3,0.3157,0.2068,0.1888,0.2994,melancholic,0.35,0.0
0.683333,N3,0.2712,0.1933,0.2043,0.2926,neutral,0.35,0.0
0.691667,N3,0.3051,0.2465,0.1627,0.3059,anxious,0.35,0.0
0.7,N3,0.2814,0.1711,0.2056,0.2915,anxious,0.35,0.0
0.708333,N3,0.2966,0.1936,0.1858,0.3373,joyful,0.35,0.0
0.716667,N3,0.3055,0.1724,0.2041,0.2967,anxious,0.35,0.0
0.725,N3,0.3011,0.1992,0.203,0.2462,neutral,0.35,0.0
0.733333,N3,0.2881,0.2203,0.2001,0.2674,anxious,0.35,0.0
0.741667,N3,0.2991,0.1874,0.1619,0.291,anxious,0.35,0.0
0.75,N3,0.2875,0.1983,0.1988,0.251,anxious,0.35,0.0
0.758333,N3,0.3085,0.1873,0.1763,0.2823,anxious,0.35,0.0
