time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5064,0.3003,0.3158,0.3597,anxious,0.371,0.0
0.008333,N1,0.5029,0.3101,0.298,0.3355,fearful,0.361,0.0
0.016667,N1,0.5023,0.2993,0.3001,0.3567,curious,0.366,0.0
0.025,N1,0.4945,0.2924,0.3153,0.3464,neutral,0.476,0.0
0.033333,N1,0.4823,0.2979,0.2792,0.3424,neutral,0.324,0.0
0.041667,N1,0.5156,0.273,0.2866,0.3366,neutral,0.417,0.0
0.05,N1,0.4822,0.2825,0.3376,0.3663,melancholic,0.365,0.0
0.058333,N1,0.5012,0.2932,0.3065,0.3696,serene,0.341,0.0
0.066667,N1,0.519,0.2997,0.3041,0.3341,curious,0.382,0.0
0.075,N1,0.5001,0.2728,0.3057,0.3461,neutral,0.334,0.0
0.083333,N2,0.4872,0.2968,0.2931,0.3157,neutral,0.416,0.0
0.091667,N2,0.3975,0.2417,0.2599,0.3353,curious,0.422,0.0
0.1,N2,0.4674,0.2794,0.247,0.3563,neutral,0.424,0.0
0.108333,N2,0.4425,0.2844,0.2443,0.2998,fearful,0.453,0.0
0.116667,N2,0.463,0.2654,0.2578,0.3015,melancholic,0.401,0.0
0.125,N2,0.4406,0.2855,0.2856,0.3081,curious,0.383,0.0
0.133333,N2,0.4605,0.2897,0.3048,0.3495,neutral,0.391,0.0
0.141667,N2,0.4809,0.3066,0.2385,0.3513,neutral,0.421,0.0
0.15,N2,0.4897,0.3158,0.2984,0.3395,anxious,0.411,0.0
0.158333,N2,0.4452,0.252,0.261,0.3168,neutral,0.402,0.0
0.166667,N2,0.4395,0.2796,0.2659,0.2901,neutral,0.447,0.0
0.175,N2,0.4405,0.2551,0.2699,0.36,joyful,0.449,0.0
0.183333,N2,0.444,0.2781,0.2996,0.3118,curious,0.419,0.0
0.191667,N2,0.4257,0.2932,0.2766,0.3368,melancholic,0.388,0.0
0.2,N2,0.4631,0.2689,0.3121,0.3265,neutral,0.451,0.0
0.208333,N2,0.458,0.2706,0.3152,0.3087,neutral,0.4,0.0
0.216667,N2,0.4402,0.2945,0.2697,0.3402,neutral,0.425,0.0
0.225,N2,0.4573,0.2922,0.2701,0.3171,anxious,0.439,0.0
0.233333,N2,0.4822,0.2949,0.2835,0.3279,melancholic,0.413,0.0
0.241667,N2,0.4447,0.3006,0.2965,0.308,serene,0.417,0.0
0.25,N2,0.4559,0.2449,0.2843,0.3539,anxious,0.391,0.0
0.258333,N2,0.4387,0.2721,0.2667,0.3344,joyful,0.391,0.0
0.266667,N2,0.4749,0.2803,0.2876,0.3086,neutral,0.437,0.0
0.275,N2,0.4385,0.2828,0.2992,0.334,joyful,0.355,0.0
0.283333,N2,0.49,0.273,0.2435,0.3273,serene,0.437,0.0
0.291667,N2,0.4545,0.2798,0.2879,0.2963,melancholic,0.345,0.0
0.3,N2,0.4614,0.2956,0.2802,0.2953,curious,0.42,0.0
0.308333,N2,0.4048,0.2646,0.293,0.3005,curious,0.461,0.0
0.316667,N2,0.4625,0.2634,0.247,0.2995,joyful,0.418,0.0
0.325,N2,0.4745,0.2846,0.2419,0.3308,neutral,0.446,0.0
0.333333,N2,0.4806,0.2591,0.2757,0.3206,neutral,0.419,0.0
0.341667,N2,0.4451,0.3035,0.2642,0.3489,neutral,0.391,0.0
0.35,N3,0.2855,0.214,0.2122,0.3419,serene,0.35,0.0
0.358333,N3,0.3331,0.2337,0.1745,0.2873,curious,0.35,0.0
0.366667,N3,0.2652,0.1907,0.1995,0.3186,curious,0.35,0.0
0.375,N3,0.3047,0.2137,0.2014,0.3043,curious,0.349,0.0
0.383333,N3,0.3308,0.2266,0.2142,0.3296,anxious,0.35,0.0
0.391667,N3,0.297,0.2131,0.1773,0.3429,anxious,0.35,0.0
0.4,N3,0.2665,0.1837,0.1968,0.3054,joyful,0.35,0.0
0.408333,N3,0.2709,0.2003,0.1995,0.2798,joyful,0.35,0.0
0.416667,N3,0.2751,0.1952,0.2149,0.3016,neutral,0.341,0.0
0.425,N3,0.3156,0.1978,0.2289,0.3269,fearful,0.35,0.0
0.433333,N3,0.2916,0.1878,0.1771,0.3111,anxious,0.334,0.0
0.441667,N3,0.3198,0.1813,0.2016,0.3147,joyful,0.35,0.0
0.45,N3,0.3027,0.1973,0.1785,0.3217,joyful,0.35,0.0
0.458333,N3,0.2989,0.1567,0.1893,0.3258,serene,0.35,0.0
0.466667,N3,0.2928,0.1631,0.2003,0.3222,anxious,0.344,0.0
0.475,N3,0.3075,0.1838,0.1946,0.3406,neutral,0.35,0.0
0.483333,N3,0.3039,0.187,0.2046,0.3279,neutral,0.347,0.0
0.491667,N3,0.2683,0.2009,0.1895,0.3018,anxious,0.35,0.0
0.5,N3,0.2683,0.1798,0.2154,0.2466,joyful,0.332,0.0
0.508333,N3,0.3062,0.2187,0.2044,0.3027,curious,0.35,0.0
0.516667,N3,0.3161,0.1767,0.203,0.3264,joyful,0.344,0.0
0.525,N3,0.3045,0.2048,0.2167,0.262,anxious,0.35,0.0
0.533333,N3,0.3212,0.17,0.1929,0.2818,melancholic,0.35,0.0
0.541667,N3,0.322,0.1783,0.2229,0.2729,joyful,0.35,0.0
0.55,N3,0.2951,0.1875,0.2191,0.3239,neutral,0.35,0.0
0.558333,N3,0.2939,0.1837,0.1807,0.3083,serene,0.35,0.0
0.566667,N3,0.2827,0.198,0.1697,0.3302,curious,0.35,0.0
0.575,N3,0.3248,0.2195,0.1906,0.3177,anxious,0.35,0.0
0.583333,N3,0.2983,0.185,0.2031,0.2903,melancholic,0.35,0.0
0.591667,N3,0.322,0.1647,0.1925,0.3272,neutral,0.345,0.0
0.6,N3,0.2822,0.207,0.1879,0.2952,joyful,0.34,0.0
0.608333,N3,0.3027,0.1705,0.2167,0.3258,neutral,0.35,0.0
0.616667,N3,0.2591,0.1905,0.2296,0.3066,melancholic,0.336,0.0
0.625,N3,0.339,0.1641,0.2095,0.3158,curious,0.35,0.0
0.633333,N3,0.2745,0.1847,0.2044,0.292,melancholic,0.35,0.0
0.641667,N3,0.2975,0.1587,0.23,0.291,neutral,0.332,0.0
0.65,N3,0.2982,0.1581,0.1805,0.3207,neutral,0.35,0.0
0.658333,N3,0.3137,0.2032,0.1868,0.3093,curious,0.35,0.0
0.666667,N3,0.2736,0.1617,0.208,0.3498,joyful,0.305,0.0
0.675,N3,0.3051,0.183,0.2214,0.3279,curious,0.35,0.0
0.683333,N3,0.3019,0.2161,0.2254,0.3491,melancholic,0.35,0.0
0.691667,N3,0.2965,0.2224,0.1547,0.3082,melancholic,0.35,0.0
0.7,N3,0.287,0.1867,0.2169,0.2828,neutral,0.316,0.0
0.708333,N3,0.3048,0.1428,0.1881,0.3356,curious,0.35,0.0
0.716667,N3,0.3045,0.2121,0.1941,0.268,curious,0.34,0.0
0.725,N3,0.2849,0.2158,0.1524,0.2846,anxious,0.342,0.0
0.733333,N3,0.2989,0.1348,0.2071,0.2968,curious,0.332,0.0
0.741667,N3,0.306,0.2028,0.1886,0.2903,anxious,0.318,0.0
0.75,N3,0.2797,0.1647,0.2034,0.2435,neutral,0.334,0.0
0.758333,N3,0.3068,0.2131,0.2061,0.3029,melancholic,0.308,0.0
0.766667,N3,0.3114,0.2064,0.2249,0.3162,curious,0.35,0.0
0.775,N3,0.3118,0.191,0.2282,0.2538,neutral,0.35,0.0
0.783333,N3,0.2955,0.2121,0.2101,0.2735,neutral,0.319,0.0
0.791667,N3,0.315,0.1854,0.2255,0.2886,anxious,0.337,0.0
0.8,N3,0.3173,0.2122,0.2069,0.2845,curious,0.35,0.0
0.808333,N3,0.3127,0.1571,0.2145,0.2762,neutral,0.35,0.0
0.816667,N3,0.2955,0.1887,0.1989,0.2757,neutral,0.346,0.0
0.825,N3,0.3164,0.2081,0.1965,0.2757,joyful,0.35,0.0
0.833333,N3,0.3286,0.194,0.1969,0.2943,curious,0.326,0.0
0.841667,N3,0.2799,0.1999,0.191,0.3122,neutral,0.35,0.0
0.85,N3,0.2842,0.169,0.1766,0.2887,anxious,0.35,0.0
0.858333,N3,0.2809,0.1894,0.2234,0.2846,neutral,0.344,0.0
0.866667,N2,0.4367,0.2785,0.2895,0.2817,anxious,0.437,0.0
0.875,N2,0.4619,0.2834,0.2825,0.2902,anxious,0.425,0.0
0.883333,N2,0.4836,0.3224,0.2722,0.3251,anxious,0.402,0.0
0.891667,N2,0.4555,0.2622,0.2433,0.2833,anxious,0.421,0.0
0.9,N2,0.4748,0.2821,0.2746,0.2513,melancholic,0.438,0.0
0.908333,N2,0.4554,0.294,0.2689,0.2674,melancholic,0.389,0.0
0.916667,N2,0.4567,0.2782,0.2786,0.2545,neutral,0.431,0.0
0.925,N2,0.4735,0.3144,0.2639,0.2811,curious,0.456,0.0
0.933333,N2,0.4654,0.2801,0.2953,0.2878,joyful,0.421,0.0
0.941667,N2,0.4735,0.2824,0.2519,0.2731,curious,0.455,0.0
0.95,N2,0.4512,0.2591,0.2635,0.2481,serene,0.413,0.0
0.958333,N2,0.4697,0.2767,0.2568,0.2993,anxious,0.401,0.0
0.966667,N2,0.4232,0.2971,0.2933,0.258,melancholic,0.382,0.0
0.975,N2,0.4455,0.2847,0.2879,0.2835,fearful,0.437,0.0
0.983333,N2,0.4545,0.2739,0.3106,0.2834,neutral,0.442,0.0
0.991667,N2,0.476,0.2635,0.3053,0.2771,neutral,0.416,0.0
