time_hours,node_id,node_label,activation
0.0,event::design_discussion,design discussion,0.4308
0.0,mem::teeth_loosening,teeth_loosening,0.3625
0.0,mem::school_corridor,school_corridor,0.3501
0.0,mem::loud_crowd,loud_crowd,0.3458
0.0,mem::falling,falling,0.3422
0.0,mem::flying,flying,0.3355
0.0,mem::bright_light,bright_light,0.3255
0.0,mem::being_late,being_late,0.2975
0.0,event::code_review,code review,0.2924
0.0,mem::cold_water,cold_water,0.2801
0.0,mem::dread,dread,0.274
0.0,mem::joy,joy,0.2567
0.833333,mem::teeth_loosening,teeth_loosening,0.4263
0.833333,mem::school_corridor,school_corridor,0.4225
0.833333,mem::loud_crowd,loud_crowd,0.4212
0.833333,mem::falling,falling,0.4202
0.833333,mem::being_late,being_late,0.4063
0.833333,event::code_review,code review,0.4048
0.833333,mem::cold_water,cold_water,0.4011
0.833333,mem::dread,dread,0.3991
0.833333,mem::being_chased,being_chased,0.366
0.833333,mem::grief,grief,0.3645
0.833333,mem::childhood_home,childhood_home,0.3473
0.833333,event::design_discussion,design discussion,0.3149
