time_hours,node_id,node_label,activation
0.0,event::code_review,code review,0.473
0.0,mem::bright_light,bright_light,0.4275
0.0,mem::wonder,wonder,0.4074
0.0,mem::recurring_journey,recurring_journey,0.3747
0.0,mem::flying,flying,0.3589
0.0,event::design_discussion,design discussion,0.3542
0.0,mem::being_late,being_late,0.3485
0.0,mem::being_chased,being_chased,0.3406
0.0,mem::joy,joy,0.3176
0.0,mem::familiar_face,familiar_face,0.2443
0.0,mem::falling,falling,0.2084
0.0,mem::cold_water,cold_water,0.1934
0.833333,event::code_review,code review,0.3867
0.833333,mem::bright_light,bright_light,0.3726
0.833333,mem::wonder,wonder,0.3666
0.833333,mem::flying,flying,0.3517
0.833333,event::design_discussion,design discussion,0.3502
0.833333,mem::joy,joy,0.3389
0.833333,mem::familiar_face,familiar_face,0.3164
0.833333,mem::being_late,being_late,0.2478
0.833333,mem::being_chased,being_chased,0.2444
0.833333,mem::recurring_journey,recurring_journey,0.1923
0.833333,mem::falling,falling,0.1846
0.833333,mem::cold_water,cold_water,0.1777
