time_hours,node_id,node_label,activation
0.0,mem::loud_crowd,loud_crowd,0.4515
0.0,mem::school_corridor,school_corridor,0.4392
0.0,mem::teeth_loosening,teeth_loosening,0.432
0.0,mem::dread,dread,0.4185
0.0,mem::falling,falling,0.4112
0.0,mem::being_late,being_late,0.3562
0.0,event::code_review,code review,0.3558
0.0,event::design_discussion,design discussion,0.3087
0.0,mem::bright_light,bright_light,0.2981
0.0,mem::cold_water,cold_water,0.2942
0.0,mem::grief,grief,0.29
0.0,mem::joy,joy,0.2731
0.833333,event::code_review,code review,0.3617
0.833333,event::design_discussion,design discussion,0.3454
0.833333,mem::bright_light,bright_light,0.3417
0.833333,mem::joy,joy,0.3329
0.833333,mem::wonder,wonder,0.3206
0.833333,mem::flying,flying,0.3103
0.833333,mem::familiar_face,familiar_face,0.2768
0.833333,mem::loud_crowd,loud_crowd,0.2646
0.833333,mem::school_corridor,school_corridor,0.2591
0.833333,mem::teeth_loosening,teeth_loosening,0.2558
0.833333,mem::dread,dread,0.2497
0.833333,mem::falling,falling,0.2463
