time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4629
0.0,mem::joy,joy,0.4557
0.0,mem::familiar_face,familiar_face,0.4107
0.0,mem::cold_water,cold_water,0.3956
0.0,event::being_chased,being_chased,0.3791
0.0,mem::falling,falling,0.3671
0.0,mem::wonder,wonder,0.3629
0.0,mem::flying,flying,0.3583
0.0,mem::dread,dread,0.3067
0.0,event::cold_water,cold_water,0.295
0.0,mem::being_late,being_late,0.2859
0.0,mem::teeth_loosening,teeth_loosening,0.2672
0.083333,event::had_a_long_meeting,had a long meeting,0.5355
0.083333,mem::cold_water,cold_water,0.4868
0.083333,mem::joy,joy,0.4834
0.083333,event::being_chased,being_chased,0.4749
0.083333,mem::falling,falling,0.4663
0.083333,mem::familiar_face,familiar_face,0.4464
0.083333,mem::dread,dread,0.4224
0.083333,mem::being_late,being_late,0.4073
0.083333,mem::wonder,wonder,0.407
0.083333,mem::flying,flying,0.4033
0.083333,mem::teeth_loosening,teeth_loosening,0.3937
0.083333,mem::loud_crowd,loud_crowd,0.3542
0.166667,event::had_a_long_meeting,had a long meeting,0.6639
0.166667,mem::cold_water,cold_water,0.6366
0.166667,event::being_chased,being_chased,0.63
0.166667,mem::falling,falling,0.6251
0.166667,mem::dread,dread,0.6006
0.166667,mem::being_late,being_late,0.5919
0.166667,mem::joy,joy,0.591
0.166667,mem::teeth_loosening,teeth_loosening,0.5843
0.166667,mem::familiar_face,familiar_face,0.5674
0.166667,mem::loud_crowd,loud_crowd,0.5623
0.166667,mem::grief,grief,0.5556
0.166667,mem::school_corridor,school_corridor,0.5476
0.25,mem::joy,joy,0.667
0.25,mem::familiar_face,familiar_face,0.652
0.25,mem::wonder,wonder,0.6358
0.25,mem::flying,flying,0.6344
0.25,event::had_a_long_meeting,had a long meeting,0.621
0.25,event::cold_water,cold_water,0.6131
0.25,mem::bright_light,bright_light,0.6001
0.25,mem::cold_water,cold_water,0.5956
0.25,event::being_chased,being_chased,0.5894
0.25,mem::falling,falling,0.5848
0.25,mem::dread,dread,0.5618
0.25,mem::being_late,being_late,0.5537
0.333333,mem::joy,joy,0.7069
0.333333,mem::familiar_face,familiar_face,0.6973
0.333333,mem::wonder,wonder,0.687
0.333333,mem::flying,flying,0.686
0.333333,event::cold_water,cold_water,0.6727
0.333333,mem::bright_light,bright_light,0.6642
0.333333,event::had_a_long_meeting,had a long meeting,0.6525
0.333333,mem::cold_water,cold_water,0.634
0.333333,event::being_chased,being_chased,0.6295
0.333333,mem::falling,falling,0.6262
0.333333,mem::dread,dread,0.6096
0.333333,mem::being_late,being_late,0.6036
0.416667,mem::joy,joy,0.7361
0.416667,mem::familiar_face,familiar_face,0.7302
0.416667,mem::wonder,wonder,0.7235
0.416667,mem::flying,flying,0.7228
0.416667,event::cold_water,cold_water,0.7144
0.416667,mem::bright_light,bright_light,0.7089
