time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4607,0.3946,0.3077,0.3478,serene,0.382,0.0
0.008333,N1,0.5085,0.3635,0.3303,0.3384,anxious,0.386,0.0
0.016667,N1,0.4954,0.3763,0.3019,0.3763,fearful,0.393,0.0
0.025,N1,0.4729,0.3696,0.2773,0.3867,joyful,0.468,0.0
0.033333,N1,0.4848,0.3959,0.3256,0.3549,fearful,0.374,0.0
0.041667,N1,0.5212,0.3427,0.2987,0.2918,joyful,0.488,0.0
0.05,N1,0.4611,0.3592,0.3072,0.343,neutral,0.418,0.0
0.058333,N1,0.4937,0.3527,0.269,0.3405,anxious,0.441,0.0
0.066667,N1,0.4912,0.3858,0.3014,0.3535,anxious,0.39,0.0
0.075,N1,0.4827,0.3648,0.3148,0.361,serene,0.351,0.0
0.083333,N2,0.4665,0.3401,0.2737,0.3728,anxious,0.5,0.0
0.091667,N2,0.4957,0.3131,0.2835,0.3989,fearful,0.489,0.0
0.1,N2,0.4496,0.3224,0.2375,0.3128,joyful,0.521,0.0
0.108333,N2,0.4534,0.3536,0.2614,0.3448,fearful,0.445,0.0
0.116667,N2,0.4838,0.3477,0.2703,0.3256,curious,0.46,0.0
0.125,N2,0.4514,0.325,0.2855,0.3562,anxious,0.415,0.0
0.133333,N2,0.4582,0.3206,0.2623,0.3202,curious,0.472,0.0
0.141667,N2,0.4594,0.3262,0.2617,0.3375,melancholic,0.451,0.0
0.15,N2,0.4334,0.3315,0.3027,0.3363,melancholic,0.408,0.0
0.158333,N2,0.4264,0.3314,0.2816,0.3429,anxious,0.484,0.0
0.166667,N2,0.4415,0.354,0.2993,0.2847,curious,0.474,0.0
0.175,N2,0.4548,0.3324,0.2848,0.3403,anxious,0.467,0.0
0.183333,N2,0.4375,0.339,0.2687,0.3471,anxious,0.448,0.0
0.191667,N2,0.4566,0.3558,0.3303,0.3302,serene,0.486,0.0
0.2,N2,0.4706,0.3109,0.2637,0.3342,fearful,0.446,0.0
0.208333,N2,0.4481,0.3429,0.2503,0.3255,melancholic,0.45,0.0
0.216667,N2,0.4256,0.3305,0.2482,0.3379,curious,0.448,0.0
0.225,N2,0.4455,0.3103,0.2725,0.3119,anxious,0.421,0.0
0.233333,N2,0.4265,0.3322,0.2453,0.3222,joyful,0.451,0.0
0.241667,N2,0.4402,0.3393,0.2823,0.3744,serene,0.472,0.0
0.25,N2,0.479,0.34,0.3227,0.3173,anxious,0.475,0.0
0.258333,N2,0.4118,0.3317,0.2757,0.3171,melancholic,0.452,0.0
0.266667,N2,0.4302,0.3089,0.294,0.3521,anxious,0.513,0.0
0.275,N2,0.4519,0.3152,0.2435,0.3358,anxious,0.426,0.0
0.283333,N2,0.4468,0.3464,0.2856,0.3132,melancholic,0.502,0.0
0.291667,N2,0.4734,0.3394,0.263,0.3043,anxious,0.471,0.0
0.3,N2,0.4706,0.3602,0.2909,0.3382,neutral,0.479,0.0
0.308333,N2,0.4577,0.3479,0.2957,0.326,fearful,0.439,0.0
0.316667,N2,0.4943,0.3321,0.2711,0.3244,anxious,0.489,0.0
0.325,N2,0.4383,0.3041,0.2715,0.3507,anxious,0.513,0.0
0.333333,N2,0.4144,0.3209,0.2815,0.3556,anxious,0.477,0.0
0.341667,N2,0.432,0.3523,0.2676,0.3221,fearful,0.514,0.0
0.35,N2,0.4496,0.3371,0.3044,0.3216,joyful,0.508,0.0
0.358333,N2,0.4681,0.3465,0.2413,0.3401,melancholic,0.495,0.0
0.366667,N2,0.4361,0.3304,0.2957,0.3292,melancholic,0.434,0.0
0.375,N2,0.4665,0.3144,0.2727,0.3029,melancholic,0.444,0.0
0.383333,N3,0.3028,0.2232,0.17,0.3098,joyful,0.35,0.0
0.391667,N3,0.3161,0.2452,0.223,0.3113,fearful,0.35,0.0
0.4,N3,0.2851,0.2509,0.1998,0.2879,curious,0.35,0.0
0.408333,N3,0.2776,0.2484,0.2128,0.32,anxious,0.35,0.0
0.416667,N3,0.2661,0.2447,0.226,0.3106,serene,0.35,0.0
0.425,N3,0.3133,0.2287,0.1849,0.3236,anxious,0.35,0.0
0.433333,N3,0.3154,0.2606,0.2178,0.2831,anxious,0.35,0.0
0.441667,N3,0.3,0.2152,0.2135,0.2876,fearful,0.35,0.0
0.45,N3,0.2635,0.2662,0.1982,0.3267,joyful,0.35,0.0
0.458333,N3,0.2587,0.2395,0.2099,0.2915,anxious,0.35,0.0
