time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5138,0.2957,0.2822,0.3383,joyful,0.392,0.0
0.083333,N2,0.4595,0.3056,0.2847,0.3328,curious,0.468,0.0
0.166667,N2,0.4554,0.2615,0.3171,0.3189,neutral,0.465,0.0
0.25,N2,0.4327,0.2606,0.2546,0.3105,anxious,0.454,0.0
0.333333,N3,0.2925,0.2087,0.2059,0.3097,joyful,0.35,0.0
0.416667,N3,0.343,0.1891,0.2001,0.3384,joyful,0.35,0.0
0.5,N3,0.3139,0.2121,0.2045,0.2869,neutral,0.35,0.0
0.583333,N3,0.2967,0.2547,0.1731,0.3089,neutral,0.35,0.0
0.666667,N3,0.297,0.1792,0.2412,0.2768,joyful,0.35,0.0
0.75,N3,0.29,0.2185,0.176,0.2625,neutral,0.334,0.0
0.833333,N3,0.3176,0.1807,0.1945,0.2912,neutral,0.35,0.0
0.916667,N3,0.2754,0.2004,0.2159,0.3045,joyful,0.35,0.0
