time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5194,0.2759,0.3301,0.3565,neutral,0.381,0.0
0.008333,N1,0.4947,0.2989,0.3061,0.3868,neutral,0.4,0.0
0.016667,N1,0.515,0.2999,0.2984,0.3502,joyful,0.415,0.0
0.025,N1,0.4901,0.303,0.2857,0.3659,neutral,0.324,0.0
0.033333,N1,0.5086,0.2916,0.2736,0.344,joyful,0.378,0.0
0.041667,N1,0.5219,0.2965,0.2897,0.3645,curious,0.349,0.0
0.05,N1,0.486,0.3117,0.2782,0.331,neutral,0.364,0.0
0.058333,N1,0.5188,0.3055,0.3182,0.3315,neutral,0.308,0.0
0.066667,N1,0.4747,0.334,0.3456,0.3417,joyful,0.377,0.0
0.075,N1,0.5098,0.289,0.3176,0.3535,melancholic,0.337,0.0
0.083333,N1,0.5238,0.3097,0.2767,0.3373,joyful,0.385,0.0
0.091667,N1,0.5008,0.3175,0.3057,0.3309,serene,0.369,0.0
0.1,N2,0.4755,0.2946,0.2785,0.3439,serene,0.402,0.0
0.108333,N2,0.4429,0.2889,0.2753,0.3261,curious,0.419,0.0
0.116667,N2,0.4388,0.3232,0.2756,0.326,melancholic,0.482,0.0
0.125,N2,0.4309,0.2575,0.2506,0.3265,fearful,0.371,0.0
0.133333,N2,0.4323,0.2815,0.2594,0.3768,joyful,0.382,0.0
0.141667,N2,0.4551,0.2846,0.2885,0.3079,neutral,0.457,0.0
0.15,N2,0.4,0.2975,0.2776,0.3253,neutral,0.381,0.0
0.158333,N2,0.4306,0.3013,0.3137,0.342,joyful,0.366,0.0
0.166667,N2,0.4215,0.3,0.2613,0.3512,curious,0.42,0.0
0.175,N2,0.4679,0.2818,0.2934,0.3382,curious,0.355,0.0
0.183333,N2,0.4529,0.3195,0.2741,0.338,neutral,0.372,0.0
0.191667,N2,0.4552,0.2785,0.2662,0.3324,melancholic,0.342,0.0
0.2,N2,0.4384,0.2921,0.2891,0.32,neutral,0.439,0.0
0.208333,N2,0.4582,0.2701,0.2812,0.3358,neutral,0.398,0.0
0.216667,N2,0.4756,0.2833,0.2565,0.2817,joyful,0.447,0.0
0.225,N2,0.4705,0.2958,0.2895,0.358,melancholic,0.408,0.0
0.233333,N2,0.4736,0.242,0.2417,0.3361,anxious,0.424,0.0
0.241667,N2,0.417,0.2735,0.269,0.3573,neutral,0.38,0.0
0.25,N2,0.4536,0.2758,0.2974,0.3291,anxious,0.325,0.0
0.258333,N2,0.423,0.263,0.2782,0.3309,anxious,0.44,0.0
0.266667,N2,0.4502,0.2686,0.2442,0.31,neutral,0.376,0.0
0.275,N2,0.4687,0.2789,0.2974,0.3212,neutral,0.424,0.0
0.283333,N2,0.4846,0.2617,0.3005,0.3283,joyful,0.439,0.0
0.291667,N2,0.4159,0.2456,0.2785,0.3458,neutral,0.32,0.0
0.3,N2,0.4821,0.2818,0.2659,0.3437,neutral,0.415,0.0
0.308333,N2,0.4294,0.2876,0.2815,0.2973,curious,0.444,0.0
0.316667,N2,0.4976,0.3012,0.2834,0.3234,anxious,0.404,0.0
0.325,N2,0.4372,0.3212,0.2414,0.362,joyful,0.446,0.0
0.333333,N2,0.4736,0.2783,0.276,0.3209,curious,0.438,0.0
0.341667,N2,0.4641,0.2613,0.2629,0.3185,neutral,0.451,0.0
0.35,N2,0.4475,0.29,0.2677,0.3002,neutral,0.427,0.0
0.358333,N2,0.4627,0.2725,0.2872,0.2991,neutral,0.406,0.0
0.366667,N2,0.4414,0.3021,0.294,0.314,anxious,0.392,0.0
0.375,N2,0.484,0.3008,0.2879,0.3139,melancholic,0.44,0.0
0.383333,N2,0.4314,0.2737,0.2722,0.2943,anxious,0.438,0.0
0.391667,N2,0.4675,0.3123,0.2841,0.3458,joyful,0.349,0.0
0.4,N2,0.4695,0.2752,0.272,0.3301,curious,0.439,0.0
0.408333,N2,0.4568,0.2802,0.2981,0.3497,melancholic,0.397,0.0
0.416667,N3,0.3035,0.217,0.1978,0.2986,neutral,0.35,0.0
0.425,N3,0.3021,0.1818,0.1701,0.3151,neutral,0.31,0.0
0.433333,N3,0.2909,0.2142,0.212,0.2922,joyful,0.35,0.0
0.441667,N3,0.3041,0.1915,0.19,0.3117,neutral,0.35,0.0
0.45,N3,0.2969,0.1995,0.2154,0.299,curious,0.32,0.0
0.458333,N3,0.331,0.1712,0.1788,0.3026,joyful,0.35,0.0
0.466667,N3,0.2861,0.2147,0.1746,0.3037,curious,0.341,0.0
0.475,N3,0.271,0.1893,0.2119,0.2992,curious,0.335,0.0
0.483333,N3,0.2951,0.1835,0.1873,0.291,neutral,0.35,0.0
0.491667,N3,0.3156,0.2001,0.1963,0.3141,anxious,0.35,0.0
0.5,N3,0.2798,0.2031,0.2014,0.332,curious,0.348,0.0
0.508333,N3,0.3048,0.196,0.2092,0.2884,joyful,0.35,0.0
0.516667,N3,0.2751,0.2367,0.1944,0.3133,anxious,0.35,0.0
0.525,N3,0.2478,0.1783,0.2116,0.3333,anxious,0.35,0.0
0.533333,N3,0.295,0.185,0.2462,0.2939,melancholic,0.287,0.0
0.541667,N3,0.3059,0.2245,0.2161,0.3177,joyful,0.35,0.0
0.55,N3,0.2979,0.1708,0.2004,0.2947,neutral,0.35,0.0
0.558333,N3,0.2957,0.2241,0.2288,0.2827,joyful,0.327,0.0
0.566667,N3,0.3135,0.1695,0.1822,0.339,curious,0.35,0.0
0.575,N3,0.3081,0.177,0.1767,0.2926,neutral,0.35,0.0
