time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5196,0.3046,0.3476,0.3711,curious,0.42,0.0
0.083333,N2,0.4233,0.2752,0.2951,0.3176,curious,0.435,0.0
0.166667,N2,0.4726,0.2984,0.2503,0.3089,joyful,0.476,0.0
0.25,N2,0.4995,0.2796,0.2612,0.3533,neutral,0.422,0.0
0.333333,N2,0.4686,0.2565,0.2745,0.3187,curious,0.383,0.0
0.416667,N3,0.3146,0.1817,0.2039,0.3512,melancholic,0.35,0.0
0.5,N3,0.2803,0.1985,0.2225,0.3256,neutral,0.35,0.0
0.583333,N3,0.2684,0.1926,0.2143,0.2672,anxious,0.35,0.0
0.666667,N3,0.2944,0.229,0.204,0.323,neutral,0.349,0.0
0.75,N3,0.2903,0.1577,0.2191,0.2729,neutral,0.35,0.0
0.833333,N3,0.2762,0.2264,0.1949,0.2807,neutral,0.35,0.0
0.916667,N3,0.32,0.1976,0.1823,0.2459,neutral,0.35,0.0
