time_hours,node_id,node_label,activation
0.0,event::had_a_long_meeting,had a long meeting,0.4714
0.0,mem::childhood_home,childhood_home,0.3712
0.0,mem::loud_crowd,loud_crowd,0.3592
0.0,mem::being_late,being_late,0.3453
0.0,mem::familiar_face,familiar_face,0.3203
0.0,mem::being_chased,being_chased,0.2678
0.0,mem::teeth_loosening,teeth_loosening,0.2224
0.0,mem::recurring_journey,recurring_journey,0.2161
0.0,mem::dread,dread,0.202
0.0,mem::school_corridor,school_corridor,0.1941
0.0,mem::wonder,wonder,0.1896
0.0,mem::grief,grief,0.1868
0.083333,event::had_a_long_meeting,had a long meeting,0.7343
0.083333,mem::childhood_home,childhood_home,0.7006
0.083333,mem::loud_crowd,loud_crowd,0.6966
0.083333,mem::being_late,being_late,0.692
0.083333,mem::being_chased,being_chased,0.6659
0.083333,mem::teeth_loosening,teeth_loosening,0.6506
0.083333,mem::dread,dread,0.6437
0.083333,mem::school_corridor,school_corridor,0.641
0.083333,mem::grief,grief,0.6386
0.083333,mem::falling,falling,0.6357
0.083333,mem::cold_water,cold_water,0.6255
0.083333,mem::familiar_face,familiar_face,0.2997
0.166667,event::had_a_long_meeting,had a long meeting,0.7809
0.166667,mem::childhood_home,childhood_home,0.7643
0.166667,mem::loud_crowd,loud_crowd,0.7624
0.166667,mem::being_late,being_late,0.7599
0.166667,mem::being_chased,being_chased,0.7472
0.166667,mem::teeth_loosening,teeth_loosening,0.7397
0.166667,mem::dread,dread,0.7362
0.166667,mem::school_corridor,school_corridor,0.7349
0.166667,mem::grief,grief,0.7338
0.166667,mem::falling,falling,0.7324
0.166667,mem::cold_water,cold_water,0.7273
0.166667,mem::familiar_face,familiar_face,0.3563
0.25,event::had_a_long_meeting,had a long meeting,0.8079
0.25,mem::childhood_home,childhood_home,0.7998
0.25,mem::loud_crowd,loud_crowd,0.7987
0.25,mem::being_late,being_late,0.7976
0.25,mem::being_chased,being_chased,0.7912
0.25,mem::teeth_loosening,teeth_loosening,0.7875
0.25,mem::dread,dread,0.7858
0.25,mem::school_corridor,school_corridor,0.7852
0.25,mem::grief,grief,0.7846
