time_hours,node_id,node_label,activation
0.0,mem::familiar_face,familiar_face,0.4239
0.0,mem::flying,flying,0.3909
0.0,mem::cold_water,cold_water,0.3851
0.0,mem::being_late,being_late,0.3582
0.0,mem::bright_light,bright_light,0.3564
0.0,mem::joy,joy,0.3314
0.0,mem::teeth_loosening,teeth_loosening,0.3295
0.0,mem::recurring_journey,recurring_journey,0.3156
0.0,event::code_review,code review,0.2853
0.0,mem::grief,grief,0.282
0.0,mem::being_chased,being_chased,0.2785
0.0,mem::wonder,wonder,0.2624
0.833333,mem::familiar_face,familiar_face,0.4344
0.833333,mem::flying,flying,0.4254
0.833333,mem::bright_light,bright_light,0.4159
0.833333,mem::joy,joy,0.4093
0.833333,event::code_review,code review,0.3967
0.833333,mem::wonder,wonder,0.3906
0.833333,mem::cold_water,cold_water,0.3358
0.833333,mem::being_late,being_late,0.3264
0.833333,mem::teeth_loosening,teeth_loosening,0.3164
0.833333,mem::grief,grief,0.2997
0.833333,mem::being_chased,being_chased,0.2985
0.833333,mem::falling,falling,0.2904
