time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4904,0.2746,0.2854,0.3391,curious,0.372,0.0
0.083333,N2,0.4546,0.2994,0.2938,0.3769,neutral,0.424,0.0
0.166667,N2,0.4557,0.2727,0.2739,0.3103,anxious,0.477,0.0
0.25,N2,0.4715,0.2951,0.2967,0.3237,melancholic,0.436,0.0
0.333333,N2,0.4725,0.291,0.2831,0.3272,joyful,0.411,0.0
0.416667,N2,0.4401,0.3094,0.2761,0.3136,melancholic,0.443,0.0
0.5,N3,0.2925,0.2246,0.2222,0.3013,melancholic,0.35,0.0
0.583333,N3,0.3152,0.1922,0.1988,0.3253,neutral,0.35,0.0
0.666667,N3,0.3136,0.2477,0.1944,0.3165,neutral,0.35,0.0
0.75,N3,0.3182,0.2006,0.2185,0.3055,anxious,0.35,0.0
0.833333,N3,0.3106,0.2188,0.1851,0.2838,melancholic,0.349,0.0
0.916667,N2,0.4279,0.2564,0.2621,0.2703,neutral,0.413,0.0
