time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4739,0.3188,0.2658,0.3566,curious,0.37,0.0
0.083333,N2,0.4434,0.2947,0.2615,0.3149,neutral,0.448,0.0
0.166667,N2,0.4614,0.2692,0.2856,0.3181,curious,0.421,0.0
0.25,N2,0.4525,0.2908,0.2742,0.352,fearful,0.432,0.0
0.333333,N2,0.452,0.2905,0.2708,0.3292,neutral,0.469,0.0
0.416667,N2,0.4604,0.267,0.2854,0.3557,curious,0.424,0.0
0.5,N3,0.2729,0.2097,0.2244,0.317,neutral,0.35,0.0
0.583333,N3,0.3073,0.2036,0.2002,0.2943,joyful,0.35,0.0
0.666667,N3,0.2693,0.2003,0.2069,0.2863,melancholic,0.35,0.0
0.75,N3,0.2872,0.2264,0.1692,0.2972,neutral,0.35,0.0
0.833333,N3,0.3154,0.1691,0.1895,0.2499,melancholic,0.35,0.0
0.916667,N3,0.3283,0.1935,0.2158,0.2938,neutral,0.35,0.0
