time_hours,node_id,node_label,activation
0.0,mem::childhood_home,childhood_home,0.4248
0.0,mem::school_corridor,school_corridor,0.3957
0.0,mem::wonder,wonder,0.3842
0.0,mem::cold_water,cold_water,0.377
0.0,mem::falling,falling,0.3466
0.0,mem::dread,dread,0.3436
0.0,mem::joy,joy,0.3411
0.0,mem::grief,grief,0.3364
0.0,mem::loud_crowd,loud_crowd,0.2884
0.0,mem::teeth_loosening,teeth_loosening,0.2636
0.0,event::heavy_coffee_crash,heavy coffee crash,0.2469
0.0,mem::being_late,being_late,0.2439
0.083333,mem::childhood_home,childhood_home,0.5983
0.083333,mem::school_corridor,school_corridor,0.582
0.083333,mem::cold_water,cold_water,0.5713
0.083333,mem::falling,falling,0.5544
0.083333,mem::dread,dread,0.5527
0.083333,mem::grief,grief,0.5488
0.083333,mem::loud_crowd,loud_crowd,0.5218
0.083333,mem::teeth_loosening,teeth_loosening,0.5079
0.083333,mem::being_late,being_late,0.4968
0.083333,mem::being_chased,being_chased,0.4932
0.083333,mem::wonder,wonder,0.4203
0.083333,mem::joy,joy,0.3847
0.166667,mem::childhood_home,childhood_home,0.7552
0.166667,mem::school_corridor,school_corridor,0.7491
0.166667,mem::cold_water,cold_water,0.7448
0.166667,mem::falling,falling,0.7386
0.166667,mem::dread,dread,0.7379
0.166667,mem::grief,grief,0.7364
0.166667,mem::loud_crowd,loud_crowd,0.7261
0.166667,mem::teeth_loosening,teeth_loosening,0.7207
0.166667,mem::being_late,being_late,0.7166
0.166667,mem::being_chased,being_chased,0.7152
0.166667,mem::wonder,wonder,0.3932
0.166667,mem::joy,joy,0.3599
0.25,mem::childhood_home,childhood_home,0.8303
0.25,mem::school_corridor,school_corridor,0.8283
0.25,mem::cold_water,cold_water,0.8269
0.25,mem::falling,falling,0.8247
0.25,mem::dread,dread,0.8245
0.25,mem::grief,grief,0.8239
0.25,mem::loud_crowd,loud_crowd,0.8206
0.25,mem::teeth_loosening,teeth_loosening,0.8188
0.25,mem::being_late,being_late,0.8173
0.25,mem::being_chased,being_chased,0.8168
0.25,mem::wonder,wonder,0.3678
0.25,mem::joy,joy,0.3366
0.333333,mem::childhood_home,childhood_home,0.8476
0.333333,mem::school_corridor,school_corridor,0.8469
0.333333,mem::cold_water,cold_water,0.8463
0.333333,mem::falling,falling,0.8454
0.333333,mem::dread,dread,0.8452
0.333333,mem::grief,grief,0.8451
0.333333,mem::loud_crowd,loud_crowd,0.8439
0.333333,mem::teeth_loosening,teeth_loosening,0.8431
0.333333,mem::being_late,being_late,0.8426
0.333333,mem::being_chased,being_chased,0.8424
0.333333,mem::wonder,wonder,0.3442
0.333333,mem::joy,joy,0.315
0.416667,mem::childhood_home,childhood_home,0.858
0.416667,mem::school_corridor,school_corridor,0.8578
0.416667,mem::cold_water,cold_water,0.8575
