time_hours,node_id,node_label,activation
0.0,mem::school_corridor,school_corridor,0.4248
0.0,mem::teeth_loosening,teeth_loosening,0.4232
0.0,event::had_a_long_meeting,had a long meeting,0.421
0.0,mem::childhood_home,childhood_home,0.401
0.0,mem::falling,falling,0.3978
0.0,mem::wonder,wonder,0.3833
0.0,mem::being_chased,being_chased,0.3623
0.0,mem::cold_water,cold_water,0.3623
0.0,mem::dread,dread,0.3291
0.0,mem::being_late,being_late,0.3011
0.0,mem::grief,grief,0.2876
0.0,mem::loud_crowd,loud_crowd,0.2287
0.083333,mem::wonder,wonder,0.6795
0.083333,mem::flying,flying,0.6021
0.083333,mem::bright_light,bright_light,0.6019
0.083333,mem::joy,joy,0.5849
0.083333,mem::familiar_face,familiar_face,0.5772
0.083333,mem::school_corridor,school_corridor,0.3974
0.083333,mem::teeth_loosening,teeth_loosening,0.3959
0.083333,event::had_a_long_meeting,had a long meeting,0.3938
0.083333,mem::childhood_home,childhood_home,0.3752
0.083333,mem::falling,falling,0.3722
0.083333,mem::being_chased,being_chased,0.3389
0.083333,mem::cold_water,cold_water,0.3389
0.166667,mem::wonder,wonder,0.7147
0.166667,mem::flying,flying,0.6653
0.166667,mem::bright_light,bright_light,0.6652
0.166667,mem::joy,joy,0.6544
0.166667,mem::familiar_face,familiar_face,0.6494
0.166667,mem::school_corridor,school_corridor,0.538
0.166667,mem::teeth_loosening,teeth_loosening,0.537
0.166667,event::had_a_long_meeting,had a long meeting,0.5356
0.166667,mem::childhood_home,childhood_home,0.5238
0.166667,mem::falling,falling,0.5218
0.166667,mem::being_chased,being_chased,0.5007
0.166667,mem::cold_water,cold_water,0.5007
0.25,mem::wonder,wonder,0.7599
0.25,mem::flying,flying,0.7323
0.25,mem::bright_light,bright_light,0.7323
0.25,mem::joy,joy,0.7262
0.25,mem::familiar_face,familiar_face,0.7235
0.25,mem::school_corridor,school_corridor,0.5934
0.25,mem::teeth_loosening,teeth_loosening,0.5928
0.25,event::had_a_long_meeting,had a long meeting,0.5917
0.25,mem::childhood_home,childhood_home,0.5832
0.25,mem::falling,falling,0.5817
0.25,mem::being_chased,being_chased,0.5664
0.25,mem::cold_water,cold_water,0.5664
0.333333,mem::wonder,wonder,0.796
0.333333,mem::flying,flying,0.7824
0.333333,mem::bright_light,bright_light,0.7824
0.333333,mem::joy,joy,0.7794
0.333333,mem::familiar_face,familiar_face,0.7781
0.333333,mem::school_corridor,school_corridor,0.6356
0.333333,mem::teeth_loosening,teeth_loosening,0.6351
0.333333,event::had_a_long_meeting,had a long meeting,0.6343
0.333333,mem::childhood_home,childhood_home,0.6282
0.333333,mem::falling,falling,0.627
0.333333,mem::being_chased,being_chased,0.616
0.333333,mem::cold_water,cold_water,0.616
0.416667,mem::wonder,wonder,0.7913
0.416667,mem::flying,flying,0.7828
0.416667,mem::bright_light,bright_light,0.7828
0.416667,mem::joy,joy,0.7807
0.416667,mem::familiar_face,familiar_face,0.7799
0.416667,mem::school_corridor,school_corridor,0.6623
0.416667,mem::teeth_loosening,teeth_loosening,0.6621
0.416667,event::had_a_long_meeting,had a long meeting,0.6615
0.416667,mem::childhood_home,childhood_home,0.6569
0.416667,mem::falling,falling,0.6562
0.416667,mem::being_chased,being_chased,0.6482
0.416667,mem::cold_water,cold_water,0.6482
0.5,mem::wonder,wonder,0.7749
0.5,mem::flying,flying,0.7687
0.5,mem::bright_light,bright_light,0.7687
0.5,mem::joy,joy,0.7672
0.5,mem::familiar_face,familiar_face,0.7667
0.5,mem::school_corridor,school_corridor,0.7054
0.5,mem::teeth_loosening,teeth_loosening,0.7053
0.5,event::had_a_long_meeting,had a long meeting,0.705
0.5,mem::childhood_home,childhood_home,0.702
0.5,mem::falling,falling,0.7016
0.5,mem::being_chased,being_chased,0.6964
0.5,mem::cold_water,cold_water,0.6964
0.583333,mem::school_corridor,school_corridor,0.7752
0.583333,mem::teeth_loosening,teeth_loosening,0.7752
0.583333,event::had_a_long_meeting,had a long meeting,0.7751
0.583333,mem::childhood_home,childhood_home,0.7735
0.583333,mem::falling,falling,0.7733
0.583333,mem::being_chased,being_chased,0.7708
0.583333,mem::cold_water,cold_water,0.7708
0.583333,mem::dread,dread,0.7682
0.583333,mem::being_late,being_late,0.7663
0.583333,mem::grief,grief,0.7654
0.583333,mem::loud_crowd,loud_crowd,0.7612
0.583333,mem::wonder,wonder,0.7448
0.666667,mem::school_corridor,school_corridor,0.8053
0.666667,mem::teeth_loosening,teeth_loosening,0.8053
0.666667,event::had_a_long_meeting,had a long meeting,0.8052
0.666667,mem::childhood_home,childhood_home,0.8045
0.666667,mem::falling,falling,0.8043
0.666667,mem::being_chased,being_chased,0.8032
0.666667,mem::cold_water,cold_water,0.8032
0.666667,mem::dread,dread,0.8018
0.666667,mem::being_late,being_late,0.8008
0.666667,mem::grief,grief,0.8005
0.666667,mem::loud_crowd,loud_crowd,0.7985
0.666667,mem::wonder,wonder,0.7428
0.75,mem::school_corridor,school_corridor,0.8172
0.75,mem::teeth_loosening,teeth_loosening,0.8172
0.75,event::had_a_long_meeting,had a long meeting,0.8171
0.75,mem::childhood_home,childhood_home,0.817
0.75,mem::falling,falling,0.8168
0.75,mem::being_chased,being_chased,0.8163
0.75,mem::cold_water,cold_water,0.8163
0.75,mem::dread,dread,0.8154
0.75,mem::being_late,being_late,0.815
0.75,mem::grief,grief,0.8149
0.75,mem::loud_crowd,loud_crowd,0.8139
0.75,mem::wonder,wonder,0.7411
0.833333,mem::school_corridor,school_corridor,0.794
0.833333,mem::teeth_loosening,teeth_loosening,0.794
0.833333,event::had_a_long_meeting,had a long meeting,0.7939
0.833333,mem::childhood_home,childhood_home,0.7938
0.833333,mem::falling,falling,0.7936
0.833333,mem::being_chased,being_chased,0.7933
0.833333,mem::cold_water,cold_water,0.7933
0.833333,mem::dread,dread,0.7926
0.833333,mem::being_late,being_late,0.7922
0.833333,mem::grief,grief,0.7922
0.833333,mem::loud_crowd,loud_crowd,0.7915
0.833333,mem::wonder,wonder,0.7739
0.916667,mem::school_corridor,school_corridor,0.8027
0.916667,mem::teeth_loosening,teeth_loosening,0.8027
0.916667,event::had_a_long_meeting,had a long meeting,0.8027
0.916667,mem::childhood_home,childhood_home,0.8026
0.916667,mem::falling,falling,0.8025
0.916667,mem::being_chased,being_chased,0.8023
0.916667,mem::cold_water,cold_water,0.8023
0.916667,mem::dread,dread,0.8019
0.916667,mem::being_late,being_late,0.8016
0.916667,mem::grief,grief,0.8016
0.916667,mem::loud_crowd,loud_crowd,0.8013
0.916667,mem::wonder,wonder,0.7968
