source,target,weight
mem::childhood_home,mem::school_corridor,0.9966
mem::childhood_home,mem::familiar_face,0.9737
mem::childhood_home,mem::recurring_journey,0.9851
mem::childhood_home,mem::falling,0.7618
mem::childhood_home,mem::being_chased,0.7956
mem::childhood_home,mem::flying,0.5255
mem::childhood_home,mem::being_late,0.9049
mem::childhood_home,mem::teeth_loosening,0.8721
mem::childhood_home,mem::cold_water,0.9747
mem::childhood_home,mem::bright_light,0.9112
mem::childhood_home,mem::loud_crowd,0.9839
mem::childhood_home,mem::grief,0.5922
mem::childhood_home,mem::joy,0.4076
mem::childhood_home,mem::dread,0.6205
mem::childhood_home,mem::wonder,0.6983
mem::school_corridor,mem::familiar_face,0.9657
mem::school_corridor,mem::recurring_journey,0.9826
mem::school_corridor,mem::falling,0.8151
mem::school_corridor,mem::being_chased,0.8514
mem::school_corridor,mem::flying,0.4456
mem::school_corridor,mem::being_late,0.9364
mem::school_corridor,mem::teeth_loosening,0.914
mem::school_corridor,mem::cold_water,0.9707
mem::school_corridor,mem::bright_light,0.8737
mem::school_corridor,mem::loud_crowd,0.9945
mem::school_corridor,mem::grief,0.6642
mem::school_corridor,mem::joy,0.3314
mem::school_corridor,mem::dread,0.6822
mem::school_corridor,mem::wonder,0.637
mem::familiar_face,mem::recurring_journey,0.9881
mem::familiar_face,mem::falling,0.6183
mem::familiar_face,mem::being_chased,0.639
mem::familiar_face,mem::flying,0.6975
mem::familiar_face,mem::being_late,0.7551
mem::familiar_face,mem::teeth_loosening,0.7282
mem::familiar_face,mem::cold_water,0.9578
mem::familiar_face,mem::bright_light,0.9197
mem::familiar_face,mem::loud_crowd,0.8988
mem::familiar_face,mem::grief,0.4476
mem::familiar_face,mem::joy,0.6317
mem::familiar_face,mem::dread,0.4719
mem::familiar_face,mem::wonder,0.8413
mem::recurring_journey,mem::falling,0.6986
mem::recurring_journey,mem::being_chased,0.7252
mem::recurring_journey,mem::flying,0.6221
mem::recurring_journey,mem::being_late,0.8395
mem::recurring_journey,mem::teeth_loosening,0.8085
mem::recurring_journey,mem::cold_water,0.9801
mem::recurring_journey,mem::bright_light,0.9271
mem::recurring_journey,mem::loud_crowd,0.9533
mem::recurring_journey,mem::grief,0.5265
mem::recurring_journey,mem::joy,0.5308
mem::recurring_journey,mem::dread,0.5533
mem::recurring_journey,mem::wonder,0.7835
mem::falling,mem::being_chased,0.9839
mem::falling,mem::flying,0.5615
mem::falling,mem::being_late,0.9786
mem::falling,mem::teeth_loosening,0.9499
mem::falling,mem::cold_water,0.789
mem::falling,mem::bright_light,0.4319
mem::falling,mem::loud_crowd,0.8647
mem::falling,mem::grief,0.9712
mem::falling,mem::dread,0.9778
mem::falling,mem::wonder,0.2369
mem::being_chased,mem::flying,0.5146
mem::being_chased,mem::being_late,0.9771
mem::being_chased,mem::teeth_loosening,0.9825
mem::being_chased,mem::cold_water,0.7775
mem::being_chased,mem::bright_light,0.5103
mem::being_chased,mem::loud_crowd,0.8872
mem::being_chased,mem::grief,0.9332
mem::being_chased,mem::dread,0.9195
mem::being_chased,mem::wonder,0.1886
mem::flying,mem::being_late,0.6693
mem::flying,mem::teeth_loosening,0.6029
mem::flying,mem::cold_water,0.529
mem::flying,mem::bright_light,0.7734
mem::flying,mem::loud_crowd,0.3727
mem::flying,mem::joy,0.9578
mem::flying,mem::wonder,0.9089
mem::being_late,mem::teeth_loosening,0.98
mem::being_late,mem::cold_water,0.8815
mem::being_late,mem::bright_light,0.6691
mem::being_late,mem::loud_crowd,0.964
mem::being_late,mem::grief,0.854
mem::being_late,mem::dread,0.8658
mem::being_late,mem::wonder,0.3763
mem::teeth_loosening,mem::cold_water,0.8118
mem::teeth_loosening,mem::bright_light,0.6765
mem::teeth_loosening,mem::loud_crowd,0.9265
mem::teeth_loosening,mem::grief,0.8089
mem::teeth_loosening,mem::dread,0.7888
mem::teeth_loosening,mem::wonder,0.2713
mem::cold_water,mem::bright_light,0.9388
mem::cold_water,mem::loud_crowd,0.9846
mem::cold_water,mem::grief,0.6366
mem::cold_water,mem::joy,0.4734
mem::cold_water,mem::dread,0.6758
mem::cold_water,mem::wonder,0.7636
mem::bright_light,mem::loud_crowd,0.9402
mem::bright_light,mem::grief,0.2173
mem::bright_light,mem::joy,0.6168
mem::bright_light,mem::dread,0.2434
mem::bright_light,mem::wonder,0.784
mem::loud_crowd,mem::grief,0.7255
mem::loud_crowd,mem::joy,0.2677
mem::loud_crowd,mem::dread,0.7479
mem::loud_crowd,mem::wonder,0.5965
mem::grief,mem::joy,0.3483
mem::grief,mem::dread,0.9917
mem::grief,mem::wonder,0.5364
mem::joy,mem::dread,0.3276
mem::joy,mem::wonder,0.9612
mem::dread,mem::wonder,0.5344
